Ticker,Name,Link,Industry,Sector,City,State,Country,Employees,Type,Exchange,Implied Val,Lead Inv,Last Raise,Last Raise Date,Total Raise,Rounds,Last Class,52w Low,52w High,52w Chg,52w % Chg,Founded,Timestamp
COLH.PVT,Collective Health,http://collectivehealth.com,"Health Care, Health Insurance, InsurTech",Health Care,San Mateo,CA,US,501,Private Company,PVT,407625536.0,Anchor Capital,280000000.0,1620086400.0,713283136,6.0,Series F,0.19,0.2,0.0,0.0,2013-10-31,2025-08-27 17:29:40.194106-04:00
FABN.PVT,Farmers Business Network,https://www.fbn.com/,"AgTech, Agriculture, E-Commerce, Farming, Marketplace, Sustainability",Agriculture and Farming,San Carlos,CA,US,501,Private Company,PVT,403810496.0,Acre Venture Partners,300000000.0,1637193600.0,873100416,9.0,Series G,6.45,9.09,-29.04,-29.04,2014-01-01,2025-08-27 17:29:40.472071-04:00
SESC.PVT,SecurityScorecard,https://securityscorecard.com/,"Cyber Security, Risk Management, Security, Software",Privacy and Security,New York,NY,US,501,Private Company,PVT,359509408.0,Accomplice,180000016.0,1616025600.0,293589952,6.0,Series E,1.74,2.0,-13.0,-13.0,2013-07-01,2025-08-27 17:29:40.767476-04:00
HTWO.PVT,H2O.ai,http://h2o.ai,"Analytics, Artificial Intelligence (AI), Machine Learning, Software",Software,Mountain View,CA,US,251,Private Company,PVT,274988608.0,Barclays Investment Bank,91031376.0,1636243200.0,744029376,7.0,Series E,4.25,4.63,8.94,8.94,2011-01-01,2025-08-27 17:29:41.046460-04:00
OUTR.PVT,Outreach,https://www.outreach.io,"Artificial Intelligence (AI), CRM, Enterprise Software, SaaS, Sales",Software,Seattle,WA,US,501,Private Company,PVT,265285504.0,23 Capital,201026672.0,1622073600.0,490857248,9.0,Series G,1.75,3.75,-53.33,-53.33,2011-01-01,2025-08-27 17:29:41.324663-04:00
SNAL.PVT,SnapLogic,http://www.snaplogic.com,"Cloud Computing, Cloud Data Services, Enterprise Software, Information Technology, PaaS, SaaS",Data and Analytics,San Mateo,CA,US,251,Private Company,PVT,144445168.0,Andreessen Horowitz,82500000.0,1639353600.0,518075072,9.0,Series H,1.05,1.95,-46.15,-46.15,2006-01-01,2025-08-27 17:29:41.617398-04:00
SIFT.PVT,Sift,http://sift.com,"Analytics, Big Data, Fraud Detection, Network Security, Predictive Analytics",Privacy and Security,San Francisco,CA,US,251,Private Company,PVT,141980272.0,Andreessen Horowitz,25000362.0,1632441600.0,389165408,6.0,Series E-1,2.0,3.7,-45.95,-45.95,2011-06-01,2025-08-27 17:29:41.889733-04:00
DATO.PVT,DataRobot,http://datarobot.com,"Enterprise Software, Machine Learning",Data and Analytics,Boston,,US,501,Private Company,PVT,94318440.0,Accomplice,330000000.0,1627344000.0,3361022720,8.0,Series G,0.4,2.25,-80.0,-80.0,2012-06-01,2025-08-27 17:29:42.198425-04:00
COHR.PVT,Cohere,https://cohere.com,"Artificial Intelligence (AI), Generative AI, Machine Learning, Natural Language Processing",Artificial Intelligence,Toronto,,CA,251,Private Company,PVT,,NVIDIA,,,0,,,100.0,125.0,15.28,15.28,2019-01-01,2025-08-27 17:29:42.607893-04:00
SISE.PVT,Sisense,http://www.sisense.com,"Analytics, Artificial Intelligence (AI), Big Data, Business Intelligence, Data Visualization, Enterprise Software, Information Technology, Software",Data and Analytics,New York,NY,US,501,Private Company,PVT,,Access Industries,,,0,,,0.4,0.4,0.0,0.0,2010-09-22,2025-08-27 17:29:42.906920-04:00
