CIK,Ticker,Name
,BTC-USD,Bitcoin USD
,ETH-USD,Ethereum USD
,XRP-USD,XRP USD
,USDT-USD,Tether USDt USD
,BNB-USD,BNB USD
,SOL-USD,Solana USD
,USDC-USD,USD Coin USD
,STETH-USD,Lido Staked ETH USD
,TRX-USD,TRON USD
,DOGE-USD,Dogecoin USD
,WTRX-USD,Wrapped TRON USD
,ADA-USD,Cardano USD
,WSTETH-USD,Lido wstETH USD
,LINK-USD,Chainlink USD
,WETH-USD,WETH USD
,WBTC-USD,Wrapped Bitcoin USD
,HYPE32196-USD,Hyperliquid USD
,WBETH-USD,Wrapped Beacon ETH USD
,XLM-USD,Stellar USD
,SUI20947-USD,Sui USD
,USDE29470-USD,Ethena USDe USD
,WEETH-USD,Wrapped eETH USD
,BCH-USD,Bitcoin Cash USD
,AETHWETH-USD,Aave Ethereum WETH USD
,HBAR-USD,Hedera USD
,AVAX-USD,Avalanche USD
,LEO-USD,UNUS SED LEO USD
,LTC-USD,Litecoin USD
,TON11419-USD,Toncoin USD
,USDS33039-USD,USDS USD
,BTCB-USD,Bitcoin BEP2 USD
,SHIB-USD,Shiba Inu USD
,UNI7083-USD,Uniswap USD
,DOT-USD,Polkadot USD
,AETHUSDT-USD,Aave Ethereum USDT USD
,SUSDE-USD,Ethena Staked USDe USD
,DAI-USD,Dai USD
,CBBTC32994-USD,Coinbase Wrapped BTC USD
,BGB-USD,Bitget Token USD
,OKB-USD,OKB USD
,XMR-USD,Monero USD
,CRO-USD,Cronos USD
,AAVE-USD,Aave USD
,PEPE24478-USD,Pepe USD
,MNT27075-USD,Mantle USD
,ENA-USD,Ethena USD
,TAO22974-USD,Bittensor USD
,ETC-USD,Ethereum Classic USD
,NEAR-USD,NEAR Protocol USD
,APT21794-USD,Aptos USD
,ONDO-USD,Ondo USD
,PI35697-USD,Pi USD
,JITOSOL-USD,Jito Staked SOL USD
,ICP-USD,Internet Computer USD
,ARB11841-USD,Arbitrum USD
,POL28321-USD,POL (prev. MATIC) USD
,USD136148-USD,World Liberty Financial USD USD
,KAS-USD,Kaspa USD
,GT-USD,GateToken USD
,ALGO-USD,Algorand USD
,ATOM-USD,Cosmos USD
,VET-USD,VeChain USD
,RETH-USD,Rocket Pool ETH USD
,FTN-USD,Fasttoken USD
,BNSOL-USD,Binance Staked SOL USD
,PENGU34466-USD,Pudgy Penguins USD
,JLP-USD,Jupiter Perps LP USD
,RENDER-USD,Render USD
,RSETH-USD,Kelp DAO Restaked ETH USD
,WLD-USD,Worldcoin USD
,SEI-USD,Sei USD
,IP-USD,Story USD
,BONK-USD,Bonk USD
,BFUSD-USD,BFUSD USD
,TRUMP35336-USD,OFFICIAL TRUMP USD
,FLR-USD,Flare USD
,FIL-USD,Filecoin USD
,BBTC31369-USD,BounceBit BTC USD
,FET-USD,Artificial Superintelligence Alliance USD
,KCS-USD,KuCoin Token USD
,LSETH-USD,Liquid Staked ETH USD
,JUP29210-USD,Jupiter USD
,USDTB34691-USD,Ethena Labs (USDtb) USD
,FDUSD-USD,First Digital USD USD
,XDC-USD,XDC Network USD
,LBTC33652-USD,Lombard Staked BTC USD
,SKY33038-USD,Sky USD
,FORM23635-USD,Four USD
,INJ-USD,Injective USD
,WBNB-USD,Wrapped BNB USD
,QNT-USD,Quant USD
,EZETH-USD,Renzo Restaked ETH USD
,METH29035-USD,Mantle Staked Ether USD
,TIA-USD,Celestia USD
,OP-USD,Optimism USD
,USDF35721-USD,Falcon USD USD
,PYUSD-USD,PayPal USD USD
,SPX28081-USD,SPX6900 USD
,SOLVBTC-USD,SolvBTC USD
