Ticker,Price,Type,Exchange,Prev Close,Open,High,Low,Mkt Cap,Vol,10d Avg Vol,3m Avg Vol,Sh,52w High,52w Low,52w Chg,50d Avg,200d Avg,Timestamp
AAPL,230.27999877929688,EQUITY,NMS,221.2895,220.82000732421875,230.99000549316406,219.25,3527636206979.5312,78350000,67786430,54778412,15318899712,260.1000061035156,169.2100067138672,0.01752679055611948,206.08940032958984,221.13205001831054,2025-08-08 14:12:38
APUS,1.5700000524520874,EQUITY,ASE,1.69,1.6200000047683716,1.659999966621399,1.5449999570846558,19679165.65746069,29379,69330,110366,12534500,4.0,1.3700000047683716,-0.28636362798943027,1.81471999168396,1.8171128957502303,2025-08-08 14:12:37
MSFT,522.780029296875,EQUITY,NMS,522.3,522.5599975585938,524.6599731445312,519.4099731445312,3916500823714.5,8594124,23881110,19646965,7491680256,555.4500122070312,344.7900085449219,0.28279405189070767,494.38219970703125,435.02260009765627,2025-08-08 14:12:37
TSLA,330.05841064453125,EQUITY,NMS,320.9183,321.42999267578125,334.989990234375,320.9800109863281,1064586895332.4688,70342815,88819350,106273738,3225449984,488.5400085449219,194.6699981689453,0.6113499450683594,320.6431982421875,323.4864498138428,2025-08-08 14:12:37
