CIK,Ticker,Name
,SPAX.PVT,SpaceX
,OPAI.PVT,OpenAI
,ANTH.PVT,Anthropic
,STRI.PVT,Stripe
,XAAI.PVT,xAI
,DATB.PVT,Databricks
,FIGR.PVT,Figure AI
,ANIN.PVT,Anduril Industries
,SCAI.PVT,Scale AI
,RAMP.PVT,Ramp
,RIPL.PVT,Ripple
,PEAI.PVT,Perplexity
,RIPP.PVT,Rippling
,FANA.PVT,Fanatics
,EPGA.PVT,Epic Games
,KLAR.PVT,Klarna
,KRAK.PVT,Kraken
,NEUR.PVT,Neuralink
,GLEA.PVT,Glean
,PLAI.PVT,Plaid
,GROQ.PVT,Groq
,DISO.PVT,Discord
,SHAI.PVT,Shield AI
,NURO.PVT,Nuro
,SAAQ.PVT,SandboxAQ
,NETS.PVT,Netskope
,REMA.PVT,Redwood Materials
,PSIQ.PVT,PsiQuantum
,CESY.PVT,Cerebras Systems
,COHS.PVT,Cohesity
,ARWO.PVT,Arctic Wolf
,TANI.PVT,Tanium
,VERC.PVT,Vercel
,AIR.PVT,Airtable
,MERC.PVT,Mercury
,EQSH.PVT,EquipmentShare
,BREX.PVT,Brex
,THFD.PVT,The Farmer's Dog
,POSM.PVT,Postman
,ZIPL.PVT,Zipline
,UPGR.PVT,Upgrade
,REPI.PVT,Replit
,ADDE.PVT,Addepar
,HARN.PVT,Harness
,LAMD.PVT,Lambda
,LIG.PVT,Lightmatter
,WORA.PVT,Workato
,CHAA.PVT,Chainalysis
,MOTV.PVT,Motive
,AUAN.PVT,Automation Anywhere
,RAPP.PVT,Rappi
,TURO.PVT,Turo
,CIHE.PVT,Cityblock Health
,WHOO.PVT,WHOOP
,NEFJ.PVT,Neo4j
,FLEP.PVT,Flexport
,FLOQ.PVT,FloQast
,GERO.PVT,Gecko Robotics
,ATTE.PVT,Attentive
,SANS.PVT,SambaNova Systems
,CONS.PVT,Consensys
,TATE.PVT,TAE Technologies
,SIXS.PVT,6sense
,LIDE.PVT,Liquid Death
,PATR.PVT,Patreon
,VECR.PVT,Vectra
,DTMR.PVT,Dataminr
,THSP.PVT,ThoughtSpot
,EISL.PVT,Eight Sleep
,GUID.PVT,Guideline
,WORR.PVT,Workrise
,INTC.PVT,Intercom
,DRUV.PVT,Druva
,GREE.PVT,Greenlight
,DRAG.PVT,Dragos
,IMPF.PVT,Impossible Foods
,BLOO.PVT,Bloomreach
,BIGI.PVT,BigID
,SIST.PVT,SingleStore
,MAPB.PVT,Mapbox
,ZOCD.PVT,Zocdoc
,COLH.PVT,Collective Health
,FABN.PVT,Farmers Business Network
,SESC.PVT,SecurityScorecard
,HTWO.PVT,H2O.ai
,OUTR.PVT,Outreach
,SNAL.PVT,SnapLogic
,SIFT.PVT,Sift
,DATO.PVT,DataRobot
,COHR.PVT,Cohere
,SISE.PVT,Sisense
