CIK,Ticker,Name
,FGPMX,Franklin Gold and Precious Metals R6
,FGADX,Franklin Gold and Precious Metals Adv
,RYMPX,Rydex Precious Metals H
,RYPMX,Rydex Precious Metals Inv
,RYMNX,Rydex Precious Metals A
,INIYX,VanEck International Investors Gold Y
,INIIX,VanEck International Investors Gold I
,INIVX,VanEck International Investors Gold A
,USERX,U.S. Global Investors Gold & Precious Metals Fund
,AGGNX,American Century Global Gold I
,FEURX,First Eagle Gold R6
,SGGDX,First Eagle Gold A
,FEGIX,First Eagle Gold I
,GRHAX,Goehring & Rozencwajg Resources Retail
,GRHIX,Goehring & Rozencwajg Resources Instl
,BIPIX,ProFunds Biotechnology UltraSector Fund
,BIPSX,ProFunds Biotechnology UltraSector Fund
,LAMGX,Lord Abbett Micro Cap Growth A
,LCMGX,Lord Abbett Micro Cap Growth Fund
,LFMGX,Lord Abbett Micro Cap Growth F
,LMIYX,Lord Abbett Micro Cap Growth I
,AVALX,Aegis Value I
,ENPSX,ProFunds UltraSector Energy Fund
,ENPIX,ProFunds UltraSector Energy Fund
,BUIOX,Buffalo Early Stage Growth Instl
,DVSMX,Driehaus Small Cap Growth Investor
,DNSMX,Driehaus Small Cap Growth Institutional
,FIQRX,Fidelity Advisor Global Commodity Stk Z
,FFGIX,Fidelity Advisor Global Commodity Stk I
,FBTIX,Fidelity Advisor Biotechnology Fund
,FIJYX,Fidelity Advisor Biotechnology Z
,FBTAX,Fidelity Advisor Biotechnology Fund
,DRESX,Driehaus Emerging Markets Small Cap Growth Fund
,MLXIX,Catalyst Energy Infrastructure I
,HNRIX,Hennessy Energy Transition Instl
,FANIX,Fidelity Advisor Energy I
,HNRGX,Hennessy Energy Transition Investor
,FNARX,Fidelity Natural Resources Fund
,RYBIX,Rydex Basic Materials Inv
,FSENX,Fidelity Select Energy Portfolio
,FANAX,Fidelity Advisor Energy A
,FIKAX,Fidelity Advisor Energy Z
,WISGX,Segall Bryant & Hamill Small Cap GrInstl
,FGROX,Emerald Growth Institutional
,JOMMX,JOHCM Emerging Mkts Discovery Instl
,JOMEX,JOHCM Emerging Mkts Discovery Advisor
,HSPGX,Emerald Growth A
,WTSGX,Segall Bryant & Hamill Small Cap Gr Ret
,JAGLX,Janus Henderson Global Life Sciences T
,JFNAX,Janus Henderson Global Life Sciences Fund
,JFNNX,Janus Henderson Global Life Sciences Fund Class N Shares
,JNGLX,Janus Henderson Global Life Sciences D
,JFNIX,Janus Henderson Global Life Sciences Fund
,JFNCX,Janus Henderson Global Life Sciences Fund
,PSCNX,Penn Capital Special Sits Sm Cp Eq Inst
,JFNSX,Janus Henderson Global Life Sciences Fund
,FFGRX,Emerald Growth Investor
,AUERX,Auer Growth
,NEAIX,Needham Aggressive Growth Institutional
,STSIX,American Beacon Stephens Small Cap Growth Fund
,NEAGX,Needham Aggressive Growth Retail
,NPSGX,Nicholas Partners Small Cap Gr Instl
,QISGX,Federated Hermes MDT Small Cap Growth IS
,SPWYX,American Beacon Stephens Sm Cp Gr Y
,QASGX,Federated Hermes MDT Small Cap Growth A
,MISMX,Matthews EM Sm Coms Instl
,MSMLX,Matthews EM Sm Coms Inv
,RYPNX,Royce Small-Cap Opportunity Invmt
,QLSGX,Federated Hermes MDT Small Cap Growth R6
