Ticker,Price,Type,Exchange,Prev Close,Open,High,Low,Mkt Cap,Vol,10d Avg Vol,3m Avg Vol,Sh,52w High,52w Low,52w Chg,50d Avg,200d Avg,Timestamp
-27 15:39:01.250058-04:00,,,,,,,,,,,,,,,,,,
000001.SS,3800.349853515625,INDEX,SHH,3868.382080078125,3869.611572265625,3887.197998046875,3800.349853515625,,4258971276.0,426545927.0,66048424.0,,3888.597900390625,2689.695068359375,0.3461591280520108,3578.5372119140625,3397.138225097656,2025-08-27 15:39:01.594066-04:00
A,118.69000244140624,EQUITY,NYQ,118.3000030517578,118.5,119.1999969482422,117.51000213623048,33715674593.998047,1692000.0,1303970.0,1772493.0,284064992.0,153.83999633789062,96.43000030517578,-0.1672630080829937,117.8418000793457,124.05284992218016,2025-08-28 01:21:48.020159-04:00
AA,31.799999237060547,EQUITY,NYQ,31.950000762939453,31.43000030517578,31.90900039672852,31.01000022888184,8233497056.863525,3697100.0,4792130.0,5875382.0,258915008.0,47.77000045776367,21.530000686645508,-0.0206344920989833,30.15959995269776,32.92045003890991,2025-08-28 01:55:01.519168-04:00
AAA,25.09320068359375,ETF,PCX,25.065000534057617,25.11000061035156,25.13999938964844,25.06999969482422,,6856.0,9240.0,10243.0,,25.39999961853028,24.32999992370605,-0.0028246000323405,24.99878002166748,25.02428994178772,2025-08-27 15:19:13.300398-04:00
AAAU,33.525001525878906,ETF,BTS,33.470001220703125,33.400001525878906,33.55500030517578,33.3306999206543,,1321221.0,1448620.0,2622287.0,,34.04999923706055,24.46999931335449,0.3490528795314426,33.071600189208986,30.133800106048582,2025-08-27 15:28:04.617221-04:00
AACB,10.140000343322754,EQUITY,NGM,10.140000343322754,10.140000343322754,10.140000343322754,10.140000343322754,280624509.5014572,0.0,32220.0,66915.0,27675000.0,10.18000030517578,9.850000381469728,0.0263158123350435,10.127600059509277,10.06533333749482,2025-08-28 02:25:25.195675-04:00
AACBR,0.2300000041723251,EQUITY,NGM,0.2296999990940094,0.2300000041723251,0.2300000041723251,0.2300000041723251,,805.0,,,,0.2300000041723251,0.2300000041723251,,,,2025-08-27 20:43:43.003909-04:00
AACBU,10.329999923706056,EQUITY,NGM,10.329999923706056,10.329999923706056,10.329999923706056,10.329999923706056,260057748.0793,0.0,70.0,3764.0,25175000.0,11.350000381469728,10.0,0.0329999923706054,10.36340009689331,10.22073881661714,2025-08-27 15:46:59.336238-04:00
AACG,2.009999990463257,EQUITY,NCM,1.820000052452088,1.820000052452088,2.0899999141693115,1.820000052452088,63565244.69840527,53500.0,68890.0,229310.0,31624500.0,2.299999952316284,0.5,2.349999850988394,1.2603999984264374,1.0017999976873395,2025-08-28 01:09:31.046356-04:00
