Ticker,Name,Type,Exchange,Beta,52w High,52w Low,52w % Chg,Total Assets,Net Assets,Return (3m),Return (TTM),Yield,Expense R,Holding Turnover,Last Capital Gain,Risk Rating,Overall Rating,Last Div,Div Rate,Div Yield,Div Rate (TTM),Div Yield (TTM),50d Avg,50d Chg,50d % Chg,200d Avg,200d Chg,200d % Chg,Inception,First Trade,Timestamp
FGPMX,Franklin Gold and Precious Metals R6,Fund,Nasdaq,0.87,35.53,19.17,50.42337,1477019648.0,1477019650.0,5.08941,58.67082,0.078200005,0.0055,0.145,-67.0,3.0,3.0,2.3908,2.3908,7.82,,,32.7186,3.6013985,0.1100719,27.16115,9.15885,0.33720404,851990400.0,1490707800000,2025-08-26 19:23:41.036490-04:00
FGADX,Franklin Gold and Precious Metals Adv,Fund,Nasdaq,0.88,34.94,18.86,50.21496,1477019648.0,1477019650.0,5.06993,58.65892,0.0788,0.0067000003,0.145,-67.0,3.0,3.0,2.3694,2.3694,7.88,,,32.175,3.545002,0.110178776,26.7178,9.002201,0.33693647,851990400.0,852042600000,2025-08-26 19:23:41.411761-04:00
RYMPX,Rydex Precious Metals H,Fund,Nasdaq,0.87,174.28,99.33,52.917435,102034408.0,102034408.0,8.63189,48.58283,0.0,0.0154,4.52,-40.0,4.0,3.0,3.59452,3.59452,0.0,,,156.7628,20.807205,0.1327305,130.0253,47.54471,0.36565736,1093996800.0,1059658200000,2025-08-26 19:23:41.707599-04:00
RYPMX,Rydex Precious Metals Inv,Fund,Nasdaq,0.87,196.4,111.78,53.28182,102034408.0,102034408.0,8.69565,48.79368,0.0,0.0128999995,4.52,-40.0,4.0,3.0,3.59452,3.59452,0.0,,,176.6214,23.488602,0.13298842,146.4081,53.701904,0.366796,1093996800.0,754669800000,2025-08-26 19:23:42.006419-04:00
RYMNX,Rydex Precious Metals A,Fund,Nasdaq,0.87,181.65,103.53,52.904045,102034408.0,102034408.0,8.63143,48.59715,0.0,0.0154,4.52,-40.0,4.0,3.0,3.59452,3.59452,0.0,,,163.3932,21.686798,0.13272767,135.52545,49.55455,0.36564755,1093996800.0,1093959000000,2025-08-26 19:23:42.368526-04:00
INIYX,VanEck International Investors Gold Y,Fund,Nasdaq,0.77,19.34,10.72,55.59131,934521600.0,934521600.0,5.12658,53.93883,0.048699997,0.011,,-17.0,3.0,4.0,0.8085,0.8085,4.87,,,17.57,2.1399994,0.121798486,14.63185,5.078149,0.3470613,-438393600.0,1272893400000,2025-08-26 19:23:42.644874-04:00
INIIX,VanEck International Investors Gold I,Fund,Nasdaq,0.77,26.43,14.63,58.548294,934521600.0,934521600.0,5.14365,53.93487,0.036199998,0.01,,-17.0,3.0,4.0,0.8222,0.8222,3.62,,,24.0054,2.9346008,0.12224753,19.94155,6.998451,0.3509482,-438393600.0,1159795800000,2025-08-26 19:23:42.967680-04:00
INIVX,VanEck International Investors Gold A,Fund,Nasdaq,0.77,18.61,10.33,55.212677,934521600.0,934521600.0,5.12821,53.75,0.048499998,0.014199999,,-17.0,3.0,4.0,0.775,0.775,4.85,,,16.9104,2.059599,0.121794805,14.09275,4.8772497,0.34608218,-438393600.0,315671400000,2025-08-26 19:23:43.250835-04:00
USERX,U.S. Global Investors Gold & Precious Metals Fund,Fund,Nasdaq,0.68,19.85,11.36,56.669296,153714544.0,153714544.0,7.88486,51.49385,0.0098,0.0173,0.58,-42.0,2.0,4.0,0.16876,0.16876,0.98,,,18.2298,1.9801998,0.10862433,15.1164,5.0935993,0.3369585,141868800.0,315671400000,2025-08-26 19:23:43.541182-04:00
AGGNX,American Century Global Gold I,Fund,Nasdaq,0.79,21.63,12.21,57.99854,1033317504.0,1033317500.0,3.41533,51.91763,0.0139999995,0.0046,0.54,13.0,3.0,4.0,0.1179,0.1179,1.4,,,19.6866,2.3733997,0.12055915,16.5043,5.5557003,0.3366214,1190937600.0,1190986200000,2025-08-26 19:23:43.821231-04:00
FEURX,First Eagle Gold R6,Fund,Nasdaq,0.58,42.7,26.14,40.931618,3620849920.0,3620849920.0,3.40321,44.57556,0.0373,0.0083,0.6097,14.0,1.0,5.0,1.417,1.417,3.73,,,39.6472,3.712799,0.09364593,34.1123,9.2477,0.27109575,746755200.0,1488378600000,2025-08-26 19:23:44.166640-04:00
SGGDX,First Eagle Gold A,Fund,Nasdaq,0.58,41.04,25.18,40.603565,3620849920.0,3620849920.0,3.3107,44.3083,0.0364,0.0116,0.6097,14.0,1.0,5.0,1.33,1.33,3.64,,,38.1192,3.5507965,0.09314981,32.82285,8.847149,0.26954237,746755200.0,746803800000,2025-08-26 19:23:44.463959-04:00
FEGIX,First Eagle Gold I,Fund,Nasdaq,0.58,42.56,26.07,40.888,3620849920.0,3620849920.0,3.38613,44.50382,0.0367,0.0093,0.6097,14.0,1.0,5.0,1.391,1.391,3.67,,,39.522,3.6980019,0.09356819,34.0101,9.2099,0.27079895,746755200.0,1053005400000,2025-08-26 19:23:44.753540-04:00
GRHAX,Goehring & Rozencwajg Resources Retail,Fund,Nasdaq,0.84,16.08,10.76,20.649647,526843744.0,526843744.0,19.84,20.61192,0.0321,0.0128999995,0.24,10.0,4.0,5.0,0.48044,0.48044,3.21,,,15.3276,0.52240086,0.034082364,13.60205,2.2479506,0.16526558,1483056000.0,1483021800000,2025-08-26 19:23:45.035310-04:00
GRHIX,Goehring & Rozencwajg Resources Instl,Fund,Nasdaq,0.84,16.31,10.9,20.932007,526843744.0,526843744.0,19.96843,20.92283,0.033299997,0.0095999995,0.24,10.0,5.0,5.0,0.50581,0.50581,3.33,,,15.549,0.53100014,0.034150116,13.78845,2.2915497,0.16619343,1483056000.0,1483021800000,2025-08-26 19:23:45.328579-04:00
BIPIX,ProFunds Biotechnology UltraSector Fund,Fund,Nasdaq,1.56,73.53,30.47,-40.166008,62773968.0,62773968.0,3.05732,-11.3716,0.002,0.0156,1.96,7.0,5.0,4.0,0.10468,0.10468,0.2,8.07,0.1897484,40.9204,2.4295998,0.059373803,45.4634,-2.1134033,-0.046485815,961372800.0,961421400000,2025-08-26 19:23:45.609306-04:00
BIPSX,ProFunds Biotechnology UltraSector Fund,Fund,Nasdaq,1.56,46.04,15.86,-50.538116,62773968.0,62773968.0,2.79138,-11.88077,0.0,0.0256,1.96,7.0,5.0,3.0,,,0.0,8.07,0.3658205,21.24,1.2399998,0.058380403,24.8776,-2.3976002,-0.09637587,961372800.0,961421400000,2025-08-26 19:23:45.877887-04:00
LAMGX,Lord Abbett Micro Cap Growth A,Fund,Nasdaq,1.11,18.8,12.93,12.911391,179307856.0,179307856.0,13.7189,-3.92045,0.0,0.0138,1.22,-181.0,5.0,3.0,,,0.0,,,16.872,1.2480011,0.07396877,16.549,1.571001,0.09493027,931478400.0,1591104600000,2025-08-26 19:23:46.164425-04:00
LCMGX,Lord Abbett Micro Cap Growth Fund,Fund,Nasdaq,1.1,22.3,15.3,12.034082,179307856.0,179307856.0,13.48123,-4.36242,0.0,0.021300001,1.22,-181.0,4.0,3.0,,,0.0,,,19.91,1.460001,0.07333004,19.575,1.7950001,0.091698594,931478400.0,1598621400000,2025-08-26 19:23:46.449635-04:00
LFMGX,Lord Abbett Micro Cap Growth F,Fund,Nasdaq,1.11,23.27,16.02,13.196934,179307856.0,179307856.0,13.78188,-3.76319,0.0,0.0113,1.22,-181.0,4.0,3.0,,,0.0,,,20.9154,1.5545998,0.074328,20.49925,1.9707489,0.096137606,931478400.0,1598621400000,2025-08-26 19:23:46.758479-04:00
LMIYX,Lord Abbett Micro Cap Growth I,Fund,Nasdaq,1.1,23.27,16.02,13.20368,179307856.0,179307856.0,13.72762,-3.80909,0.0,0.0113,1.22,-181.0,5.0,3.0,,,0.0,,,20.9132,1.5567989,0.07444097,20.49775,1.97225,0.09621788,931478400.0,931527000000,2025-08-26 19:23:47.026125-04:00
AVALX,Aegis Value I,Fund,Nasdaq,0.79,49.91,35.03,26.675129,583066880.0,583066880.0,14.98759,29.22476,0.0076,0.0145000005,0.09,23.0,4.0,5.0,0.37135,0.37135,0.76,,,47.1018,3.1182022,0.06620134,41.60975,8.610252,0.20692873,895190400.0,895239000000,2025-08-26 19:23:47.309810-04:00
ENPSX,ProFunds UltraSector Energy Fund,Fund,Nasdaq,1.1,41.29,27.85,-8.344549,17501880.0,17501880.0,12.1943,0.14952,0.0257,0.026099999,1.58,51.0,5.0,2.0,0.85908,0.85908,2.57,0.23,0.0067547727,33.1224,0.8276024,0.024986185,34.2493,-0.29929733,-0.008738787,961372800.0,961421400000,2025-08-26 19:23:47.639125-04:00
ENPIX,ProFunds UltraSector Energy Fund,Fund,Nasdaq,1.1,48.86,32.89,-7.9799356,17501880.0,17501880.0,12.47519,0.73641,0.0317,0.0161,1.58,51.0,5.0,2.0,1.25813,1.25813,3.17,0.23,0.0056987116,39.2256,1.0144005,0.025860675,40.47955,-0.23954773,-0.005917747,961372800.0,961421400000,2025-08-26 19:23:47.943485-04:00
BUIOX,Buffalo Early Stage Growth Instl,Fund,Nasdaq,1.16,17.9,13.49,4.285717,67646216.0,67646216.0,12.51691,-0.47876,0.0,0.0135,0.18,9.0,3.0,2.0,,,0.0,,,16.4358,1.1641998,0.07083317,16.2186,1.3814011,0.08517388,1085097600.0,1562074200000,2025-08-26 19:23:48.275064-04:00
DVSMX,Driehaus Small Cap Growth Investor,Fund,Nasdaq,1.16,25.86,16.69,3.9928198,994575488.0,994575490.0,15.13903,-2.4007,0.0111,0.009,1.12,15.0,5.0,4.0,0.24802,0.24802,1.11,,,21.9858,1.5242004,0.06932659,21.81445,1.6955509,0.077726044,1503273600.0,1503322200000,2025-08-26 19:23:48.571538-04:00
