Ticker,Name,Chart,Twitter,Type,Exchange,52w Low,52w High,52w % Chg,Mkt Cap,Float,50d Avg,50d Avg Chg,50d Avg % Chg,200d Avg,200d Avg Chg,200d Avg % Chg,First Trade,Timestamp
HYPE32196-USD,Hyperliquid,https://coinmarketcap.com/currencies/hyperliquid,"""https://twitter.com/HyperliquidX""",Cryptocurrency,CCC,3.200276,49.861584,655.7313,14384899072,333928192,43.374313,-0.29648972,-0.006835606,29.11099,13.966833,0.4797787,1732838400000,2025-08-25 19:13:37.642648-04:00
WBETH-USD,Wrapped Beacon ETH,https://coinmarketcap.com/currencies/wrapped-beacon-eth,"""https://twitter.com/binance""",Cryptocurrency,CCC,1481.8654,5333.2725,83.14707,14426637312,3064161,4042.603,665.58154,0.16464183,2799.1387,1909.0459,0.6820119,1682553600000,2025-08-25 19:13:37.903910-04:00
XLM-USD,Stellar,https://coinmarketcap.com/currencies/stellar,"""https://twitter.com/StellarOrg""",Cryptocurrency,CCC,0.085808,0.634248,319.65366,11991548928,31346094080,0.4121408,-0.029587567,-0.07178995,0.31020305,0.072350174,0.2332349,1510185600000,2025-08-25 19:13:38.162437-04:00
SUI20947-USD,Sui,https://coinmarketcap.com/currencies/sui,"""https://twitter.com/SuiNetwork""",Cryptocurrency,CCC,0.742588,5.351852,297.07645,11726038016,3511924480,3.6752167,-0.33629584,-0.09150368,3.1323483,0.20657253,0.065948136,1683072000000,2025-08-25 19:13:38.443086-04:00
USDE29470-USD,Ethena USDe,https://coinmarketcap.com/currencies/ethena-usde,"""https://twitter.com/ethena_labs""",Cryptocurrency,CCC,0.992855,1.005143,0.1580596,12129453056,12120679424,1.0008417,-0.00011789799,-0.00011779883,1.0001389,0.00058496,0.0005848788,1708387200000,2025-08-25 19:13:38.712928-04:00
WEETH-USD,Wrapped eETH,https://coinmarketcap.com/currencies/wrapped-eeth,"""https://twitter.com/ether_fi""",Cryptocurrency,CCC,1500.4746,5298.907,82.37883,11946520576,2542754,4030.2688,667.99097,0.16574353,2791.7021,1906.5576,0.6829373,1702425600000,2025-08-25 19:13:38.975237-04:00
BCH-USD,Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash,,Cryptocurrency,CCC,250.79257,639.68524,70.45258,10824799232,19916466,549.91907,-6.4089966,-0.011654436,417.34045,126.16962,0.30231822,1510185600000,2025-08-25 19:13:39.242465-04:00
AETHWETH-USD,Aave Ethereum WETH,https://coinmarketcap.com/currencies/aave-ethereum-weth,"""https://twitter.com/aave""",Cryptocurrency,CCC,2116.1245,4953.368,91.45417,10790262784,2466918,3737.4883,636.4971,0.17030075,3106.925,1267.0603,0.4078181,1747008000000,2025-08-25 19:13:39.527340-04:00
HBAR-USD,Hedera,https://coinmarketcap.com/currencies/hedera,"""https://twitter.com/hedera""",Cryptocurrency,CCC,0.041675,0.400257,342.2943,9741740032,42392928256,0.2428815,-0.013085142,-0.05387459,0.19965364,0.030142725,0.15097508,1568678400000,2025-08-25 19:13:39.796874-04:00
AVAX-USD,Avalanche,https://coinmarketcap.com/currencies/avalanche,"""https://twitter.com/Avax""",Cryptocurrency,CCC,14.703358,55.697445,-0.8894563,9852356608,422275296,23.110825,0.22077179,0.009552744,21.456446,1.8751507,0.08739335,1594598400000,2025-08-25 19:13:40.142284-04:00
LEO-USD,UNUS SED LEO,https://coinmarketcap.com/currencies/unus-sed-leo,"""https://twitter.com/bitfinex""",Cryptocurrency,CCC,5.340762,10.00882,63.570724,8838773760,923042112,9.109495,0.46620464,0.051177878,9.213205,0.36249447,0.039345097,1558396800000,2025-08-25 19:13:40.508900-04:00
LTC-USD,Litecoin,https://coinmarketcap.com/currencies/litecoin,"""https://twitter.com/litecoin""",Cryptocurrency,CCC,59.499466,146.60947,87.09296,8279695360,76226728,110.99781,-2.3784866,-0.02142823,98.34825,10.271072,0.10443574,1410912000000,2025-08-25 19:13:40.779017-04:00
TON11419-USD,Toncoin,https://coinmarketcap.com/currencies/toncoin,"""https://twitter.com/ton_blockchain""",Cryptocurrency,CCC,2.384469,7.196993,-35.49064,8003174400,2567282176,3.2622044,-0.14483237,-0.044397086,3.2403893,-0.12301731,-0.037963744,1630022400000,2025-08-25 19:13:41.026817-04:00
USDS33039-USD,USDS,https://coinmarketcap.com/currencies/usds,"""https://twitter.com/SkyEcosystem""",Cryptocurrency,CCC,0.910063,1.582084,-8.574825,7923449856,7915829248,0.9996065,0.0013562441,0.001356778,1.0000548,0.00090789795,0.0009078482,1726704000000,2025-08-25 19:13:41.287918-04:00
BTCB-USD,Bitcoin BEP2,https://coinmarketcap.com/currencies/bitcoin-bep2,,Cryptocurrency,CCC,52651.625,124121.26,79.90642,7184949760,65215,116479.5,-6307.1562,-0.05414821,100771.83,9400.516,0.09328516,1560816000000,2025-08-25 19:13:41.575413-04:00
SHIB-USD,Shiba Inu,https://coinmarketcap.com/currencies/shiba-inu,"""https://twitter.com/shibtoken""",Cryptocurrency,CCC,1e-05,3.3e-05,-13.333332,7078217216,589245957799936,1.324e-05,-1.2276696e-06,-0.092724286,1.328e-05,-1.2676692e-06,-0.09545702,1596240000000,2025-08-25 19:13:41.828732-04:00
UNI7083-USD,Uniswap,https://coinmarketcap.com/currencies/uniswap,"""https://twitter.com/Uniswap""",Cryptocurrency,CCC,4.575012,19.392145,73.06731,6100070400,628739840,9.979244,-0.2771864,-0.027776292,7.557443,2.1446147,0.28377518,1600387200000,2025-08-25 19:13:42.142183-04:00
DOT-USD,Polkadot,https://coinmarketcap.com/currencies/polkadot-new,"""https://twitter.com/Polkadot""",Cryptocurrency,CCC,3.024011,11.600307,-9.935432,6014035456,1610815360,3.9559875,-0.22245264,-0.056231886,4.1522093,-0.41867447,-0.10083173,1597881600000,2025-08-25 19:13:42.421753-04:00
AETHUSDT-USD,Aave Ethereum USDT,https://coinmarketcap.com/currencies/aave-ethereum-usdt,"""https://twitter.com/aave""",Cryptocurrency,CCC,0.973943,1.001531,0.07827282,6992985600,6991510528,1.0000374,0.00017356873,0.00017356224,1.0000219,0.00018906593,0.00018906179,1747008000000,2025-08-25 19:13:42.673299-04:00
SUSDE-USD,Ethena Staked USDe,https://coinmarketcap.com/currencies/ethena-staked-usde,"""https://twitter.com/ethena_labs""",Cryptocurrency,CCC,1.079206,1.262267,8.768808,5588272128,4689741312,1.1853015,0.006293416,0.0053095487,1.1710266,0.02056837,0.017564394,1708560000000,2025-08-25 19:13:42.931308-04:00
DAI-USD,Dai,https://coinmarketcap.com/currencies/multi-collateral-dai,"""https://twitter.com/MakerDAO""",Cryptocurrency,CCC,0.998874,1.011713,0.014305115,5365508096,5365382656,0.9999811,4.2259693e-05,4.226049e-05,0.9999693,5.4061413e-05,5.406307e-05,1574380800000,2025-08-25 19:13:43.186934-04:00
CBBTC32994-USD,Coinbase Wrapped BTC,https://coinmarketcap.com/currencies/coinbase-wrapped-btc,"""https://twitter.com/coinbase""",Cryptocurrency,CCC,57559.207,124197.78,95.401024,5595018240,50725,116472.13,-6172.367,-0.05299437,100757.664,9542.102,0.09470348,1726099200000,2025-08-25 19:13:43.446836-04:00
BGB-USD,Bitget Token,https://coinmarketcap.com/currencies/bitget-token-new,"""https://twitter.com/bitgetglobal""",Cryptocurrency,CCC,0.644062,8.485087,370.94473,5108354048,1139992064,4.564537,-0.08349371,-0.018291824,4.6563973,-0.175354,-0.03765873,1627516800000,2025-08-25 19:13:43.748691-04:00
OKB-USD,OKB,https://coinmarketcap.com/currencies/okb,"""https://twitter.com/okx""",Cryptocurrency,CCC,35.040924,257.02878,426.14044,3602092800,21000000,71.719444,99.808784,1.3916558,55.573433,115.954796,2.086515,1556582400000,2025-08-25 19:13:44.139945-04:00
XMR-USD,Monero,https://coinmarketcap.com/currencies/monero,"""https://twitter.com/monero""",Cryptocurrency,CCC,135.39589,420.3805,65.377464,4910139392,18446744,298.5058,-32.32663,-0.108294815,274.99445,-8.815277,-0.0320562,1510185600000,2025-08-25 19:13:44.439238-04:00
CRO-USD,Cronos,https://coinmarketcap.com/currencies/cronos,"""https://twitter.com/cronos_chain""",Cryptocurrency,CCC,0.068267,0.234775,84.140396,5187103744,33583298560,0.13263226,0.021822602,0.16453464,0.1004981,0.053956755,0.53689325,1544745600000,2025-08-25 19:13:44.728328-04:00
AAVE-USD,Aave,https://coinmarketcap.com/currencies/aave,"""https://twitter.com/aave""",Cryptocurrency,CCC,115.03402,399.0657,170.47243,4792237056,15217175,299.27335,15.649567,0.05229188,234.7196,80.20331,0.34169838,1601596800000,2025-08-25 19:13:45.034805-04:00
PEPE24478-USD,Pepe,https://coinmarketcap.com/currencies/pepe,"""https://twitter.com/pepecoineth""",Cryptocurrency,CCC,5e-06,2.8e-05,22.222221,4078126080,420689899159552,1.164e-05,-1.9460986e-06,-0.1671906,1e-05,-3.0609863e-07,-0.030609863,1681689600000,2025-08-25 19:13:45.348243-04:00
MNT27075-USD,Mantle,https://coinmarketcap.com/currencies/mantle,"""https://twitter.com/0xMantle""",Cryptocurrency,CCC,0.517794,1.416708,98.19205,3835277056,3365794304,0.8967119,0.24277455,0.27073863,0.78528756,0.35419887,0.45104352,1689552000000,2025-08-25 19:13:45.614765-04:00
ENA-USD,Ethena,https://coinmarketcap.com/currencies/ethena,"""https://twitter.com/ethena_labs""",Cryptocurrency,CCC,0.195271,1.327725,122.16413,4114916096,6621875200,0.55451006,0.06690246,0.120651476,0.4026531,0.21875942,0.543295,1712016000000,2025-08-25 19:13:45.887715-04:00
TAO22974-USD,Bittensor,https://coinmarketcap.com/currencies/bittensor,"""https://twitter.com/opentensor""",Cryptocurrency,CCC,169.5307,741.29144,7.2339773,3150212608,9801960,380.73932,-59.353302,-0.1558896,348.60214,-27.216125,-0.07807217,1677974400000,2025-08-25 19:13:46.162621-04:00
ETC-USD,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic,"""https://twitter.com/eth_classic""",Cryptocurrency,CCC,12.876909,39.915676,19.394266,3240318208,153258608,21.309875,-0.16706085,-0.007839598,18.61523,2.527584,0.13578044,1510185600000,2025-08-25 19:13:46.412361-04:00
NEAR-USD,NEAR Protocol,https://coinmarketcap.com/currencies/near-protocol,"""https://twitter.com/NEARProtocol""",Cryptocurrency,CCC,1.802325,8.237303,-44.51473,2982244352,1249403648,2.6466835,-0.25974917,-0.09814138,2.6318197,-0.24488544,-0.093047954,1602633600000,2025-08-25 19:13:46.668135-04:00
APT21794-USD,Aptos,https://coinmarketcap.com/currencies/aptos,"""https://twitter.com/aptos""",Cryptocurrency,CCC,3.770871,15.287568,-34.081795,2909713152,686367040,4.7249136,-0.48561764,-0.1027781,5.132565,-0.89326906,-0.1740395,1666137600000,2025-08-25 19:13:46.935533-04:00
ONDO-USD,Ondo,https://coinmarketcap.com/currencies/ondo-finance,"""https://twitter.com/OndoFoundation""",Cryptocurrency,CCC,0.542022,2.141296,39.646267,2805777152,3159107584,0.9675131,-0.07935804,-0.082022704,0.9337424,-0.04558736,-0.0488222,1705536000000,2025-08-25 19:13:47.186285-04:00
PI35697-USD,Pi,https://coinmarketcap.com/currencies/pi,"""https://twitter.com/PiCoreTeam""",Cryptocurrency,CCC,0.3323859,1.618792,-57.56726,2662041344,7940920832,0.41392368,-0.07869288,-0.19011447,0.57644606,-0.24121526,-0.41845244,1743120000000,2025-08-25 19:13:47.440260-04:00
JITOSOL-USD,Jito Staked SOL,https://coinmarketcap.com/currencies/jito-staked-sol,"""https://twitter.com/jito_foundation""",Cryptocurrency,CCC,114.159004,340.10358,41.34419,2811739392,12280720,216.77571,12.179871,0.05618651,188.9331,40.022476,0.2118341,1667520000000,2025-08-25 19:13:47.759483-04:00
ICP-USD,Internet Computer,https://coinmarketcap.com/currencies/internet-computer,"""https://twitter.com/dfinity""",Cryptocurrency,CCC,4.217187,15.560539,-34.918438,2613397760,537461376,5.4323254,-0.56984043,-0.104898065,5.5125093,-0.6500244,-0.11791806,1620604800000,2025-08-25 19:13:48.098062-04:00
ARB11841-USD,Arbitrum,https://coinmarketcap.com/currencies/arbitrum,"""https://twitter.com/arbitrum""",Cryptocurrency,CCC,0.245019,1.237897,1.141119,2748351744,5295779840,0.44672987,0.07224026,0.16170906,0.3856878,0.13328233,0.34557053,1679529600000,2025-08-25 19:13:48.407505-04:00
POL28321-USD,POL (prev. MATIC),https://coinmarketcap.com/currencies/polygon-ecosystem-token,"""https://twitter.com/0xPolygon""",Cryptocurrency,CCC,0.153313,0.763379,-49.73987,2435597568,10488911872,0.23054346,0.0016634166,0.0072151977,0.22830676,0.0039001256,0.01708283,1698624000000,2025-08-25 19:13:48.677872-04:00
USD136148-USD,World Liberty Financial USD,https://coinmarketcap.com/currencies/usd1,"""https://twitter.com/worldlibertyfi""",Cryptocurrency,CCC,0.990972,1.014722,0.07326603,2456120576,2455756288,1.0000745,7.379055e-05,7.378505e-05,1.0001583,-1.001358e-05,-1.0011995e-05,1744502400000,2025-08-25 19:13:48.939466-04:00
KAS-USD,Kaspa,https://coinmarketcap.com/currencies/kaspa,"""https://twitter.com/KaspaCurrency""",Cryptocurrency,CCC,0.053095,0.189031,-46.40397,2238267136,26620657664,0.09126138,-0.0071812943,-0.0786893,0.08712707,-0.003046982,-0.034971703,1654041600000,2025-08-25 19:13:49.241156-04:00
GT-USD,GateToken,https://coinmarketcap.com/currencies/gatetoken,"""https://twitter.com/gatechain_io""",Cryptocurrency,CCC,7.08239,25.952312,135.54199,2098383744,122910592,16.971218,0.10122299,0.005964392,19.802553,-2.730112,-0.13786668,1566777600000,2025-08-25 19:13:49.490998-04:00
ALGO-USD,Algorand,https://coinmarketcap.com/currencies/algorand,"""https://twitter.com/AlgoFoundation""",Cryptocurrency,CCC,0.10589,0.602763,101.66159,2140670976,8720581632,0.25597632,-0.01050289,-0.04103071,0.22190371,0.023569718,0.10621597,1561075200000,2025-08-25 19:13:49.746681-04:00
ATOM-USD,Cosmos,https://coinmarketcap.com/currencies/cosmos,"""https://twitter.com/cosmos""",Cryptocurrency,CCC,3.41722,10.638888,-2.2721827,2041076224,460655168,4.5810504,-0.15023899,-0.032795753,4.4802747,-0.049463272,-0.011040232,1552521600000,2025-08-25 19:13:50.022720-04:00
VET-USD,VeChain,https://coinmarketcap.com/currencies/vechain,"""https://twitter.com/vechainofficial""",Cryptocurrency,CCC,0.017871,0.079013,8.696377,2081410688,85985042432,0.02463678,-0.00043012016,-0.017458456,0.025583165,-0.0013765041,-0.053805076,1533254400000,2025-08-25 19:13:50.284662-04:00
RETH-USD,Rocket Pool ETH,https://coinmarketcap.com/currencies/rocket-pool-eth,"""https://twitter.com/rocket_pool""",Cryptocurrency,CCC,1591.7411,5615.2275,81.73945,2042246656,409622,4278.457,707.2173,0.16529727,2964.9006,2020.7737,0.6815654,1637625600000,2025-08-25 19:13:50.540789-04:00
FTN-USD,Fasttoken,https://coinmarketcap.com/currencies/fasttoken,"""https://twitter.com/fasttoken_com""",Cryptocurrency,CCC,2.101882,4.609788,81.08628,1979742848,436261504,4.5425515,-0.0045785904,-0.0010079336,4.2880135,0.24995947,0.058292605,1674172800000,2025-08-25 19:13:50.809619-04:00
BNSOL-USD,Binance Staked SOL,https://coinmarketcap.com/currencies/binance-staked-sol,"""https://twitter.com/binance""",Cryptocurrency,CCC,99.71955,301.27524,61.64143,2037099264,10195260,189.20924,10.599228,0.056018554,165.27579,34.532684,0.20893976,1726099200000,2025-08-25 19:13:51.110854-04:00
PENGU34466-USD,Pudgy Penguins,https://coinmarketcap.com/currencies/pudgy-penguins,"""https://twitter.com/pudgypenguins""",Cryptocurrency,CCC,0.003715,0.046272,-16.01271,1895992448,62860394496,0.03281332,-0.0026513673,-0.080801554,0.0151305,0.015031454,0.99345386,1735948800000,2025-08-25 19:13:51.474307-04:00
JLP-USD,Jupiter Perps LP,https://coinmarketcap.com/currencies/jupiter-perps-lp,"""https://twitter.com/JupiterExchange""",Cryptocurrency,CCC,2.975972,5.546473,67.20219,1848555904,353330752,5.0164165,0.21538353,0.042935733,4.370831,0.86096907,0.19698064,1703635200000,2025-08-25 19:13:51.721048-04:00
RENDER-USD,Render,https://coinmarketcap.com/currencies/render,"""https://twitter.com/rendernetwork""",Cryptocurrency,CCC,2.530211,11.62184,-39.140053,1762303616,518583456,3.845223,-0.4469204,-0.11622743,3.8846092,-0.48630667,-0.12518805,1591833600000,2025-08-25 19:13:51.974222-04:00
RSETH-USD,Kelp DAO Restaked ETH,https://coinmarketcap.com/currencies/kelp-dao-restaked-eth,"""https://twitter.com/kelpdao""",Cryptocurrency,CCC,1475.8646,5082.031,83.50608,1883125888,405058,3940.7441,708.2783,0.17973213,2728.227,1920.7954,0.7040453,1706659200000,2025-08-25 19:13:52.375173-04:00
WLD-USD,Worldcoin,https://coinmarketcap.com/currencies/worldcoin-org,"""https://twitter.com/worldcoin""",Cryptocurrency,CCC,0.581716,4.170077,-41.824436,1717742080,1959851008,1.0455012,-0.16903561,-0.16167901,1.0146116,-0.13814598,-0.13615651,1646265600000,2025-08-25 19:13:52.636947-04:00
SEI-USD,Sei,https://coinmarketcap.com/currencies/sei,"""https://twitter.com/SeiNetwork""",Cryptocurrency,CCC,0.131577,0.735163,-6.6811266,1698945408,6006666752,0.31776625,-0.034922957,-0.109901406,0.23979987,0.04304342,0.17949726,1692057600000,2025-08-25 19:13:52.971553-04:00
IP-USD,Story,https://coinmarketcap.com/currencies/story-protocol,"""https://twitter.com/StoryProtocol""",Cryptocurrency,CCC,2.456238,7.09579,8.107079,1684497536,303859360,5.302367,0.24130821,0.045509525,4.455517,1.0881586,0.24422725,1742601600000,2025-08-25 19:13:53.254629-04:00
BONK-USD,Bonk,https://coinmarketcap.com/currencies/bonk1,"""https://twitter.com/bonk_inu""",Cryptocurrency,CCC,9e-06,5.9e-05,10.000002,1610600960,80823650877440,2.722e-05,-7.2926523e-06,-0.26791522,1.83e-05,1.627348e-06,0.08892612,1672358400000,2025-08-25 19:13:53.509308-04:00
BFUSD-USD,BFUSD,https://coinmarketcap.com/currencies/bfusd,"""https://twitter.com/binance""",Cryptocurrency,CCC,0.998018,1.001005,-0.004899502,1700012288,1700000128,0.99927926,0.0007278919,0.0007284169,0.99927926,0.0007278919,0.0007284169,1755475200000,2025-08-25 19:13:53.793355-04:00
TRUMP35336-USD,OFFICIAL TRUMP,https://coinmarketcap.com/currencies/official-trump,"""https://twitter.com/GetTrumpMemes""",Cryptocurrency,CCC,6.243426,75.35182,-69.81123,1632918272,199999280,9.401756,-1.2371359,-0.13158561,11.145621,-2.981001,-0.26745936,1737158400000,2025-08-25 19:13:54.127152-04:00
FLR-USD,Flare,https://coinmarketcap.com/currencies/flare,"""https://twitter.com/FlareNetworks""",Cryptocurrency,CCC,0.010903,0.03821,50.886322,1596803456,71970177024,0.0217566,0.00043041632,0.019783253,0.0184389,0.003748117,0.20327227,1673308800000,2025-08-25 19:13:54.412924-04:00
FIL-USD,Filecoin,https://coinmarketcap.com/currencies/filecoin,"""https://twitter.com/Filecoin""",Cryptocurrency,CCC,1.980521,8.379741,-38.37611,1493331328,684878208,2.54453,-0.3640964,-0.14308985,2.7319796,-0.5515461,-0.20188515,1513123200000,2025-08-25 19:13:54.712088-04:00
BBTC31369-USD,BounceBit BTC,https://coinmarketcap.com/currencies/bouncebit-btc,"""https://twitter.com/bounce_bit""",Cryptocurrency,CCC,52483.688,125124.305,80.61837,1583111936,14399,116178.305,-6237.6875,-0.05369064,100614.086,9326.531,0.09269608,1719360000000,2025-08-25 19:13:54.989439-04:00
FET-USD,Artificial Superintelligence Alliance,https://coinmarketcap.com/currencies/artificial-superintelligence-alliance,"""https://twitter.com/ASI_Alliance""",Cryptocurrency,CCC,0.346308,2.197802,-49.05867,1480469632,2378124032,0.71056944,-0.08803266,-0.1238903,0.6739619,-0.0514251,-0.076302685,1551484800000,2025-08-25 19:13:55.252704-04:00
KCS-USD,KuCoin Token,https://coinmarketcap.com/currencies/kucoin-token,"""https://twitter.com/kucoincom""",Cryptocurrency,CCC,7.117792,14.585032,53.062893,1595470336,127421936,11.748707,0.77245235,0.065747865,11.292431,1.2287283,0.1088099,1510185600000,2025-08-25 19:13:55.513330-04:00
LSETH-USD,Liquid Staked ETH,https://coinmarketcap.com/currencies/liquid-staked-eth,"""https://twitter.com/liquid_col""",Cryptocurrency,CCC,1524.4764,5325.2524,82.769135,1586131072,335404,4062.0486,666.95776,0.16419247,2821.4788,1907.5276,0.67607373,1678147200000,2025-08-25 19:13:55.779171-04:00
JUP29210-USD,Jupiter,https://coinmarketcap.com/currencies/jupiter-ag,"""https://twitter.com/JupiterExchange""",Cryptocurrency,CCC,0.306375,1.433076,-41.98829,1404281728,3058272256,0.51157296,-0.052398086,-0.10242544,0.52334094,-0.06416607,-0.12260854,1706659200000,2025-08-25 19:13:56.031854-04:00
USDTB34691-USD,Ethena Labs (USDtb),https://coinmarketcap.com/currencies/ethena-labs-usdtb,"""https://twitter.com/ethena_labs""",Cryptocurrency,CCC,0.999053,1.001854,-0.03299117,1449503488,1449215488,0.999865,0.0003337264,0.00033377146,0.9999564,0.00024229288,0.00024230343,1745712000000,2025-08-25 19:13:56.294718-04:00
FDUSD-USD,First Digital USD,https://coinmarketcap.com/currencies/first-digital-usd,"""https://twitter.com/FDLabsHQ""",Cryptocurrency,CCC,0.88111,1.005045,-0.16662478,1448829696,1452465920,0.99809664,-0.00060015917,-0.00060130365,0.9983178,-0.0008212924,-0.00082267635,1690329600000,2025-08-25 19:13:56.550141-04:00
XDC-USD,XDC Network,https://coinmarketcap.com/currencies/xdc-network,"""https://twitter.com/XDC_Network_""",Cryptocurrency,CCC,0.025335,0.155944,213.8184,1417096448,17739497472,0.08540188,-0.0055181906,-0.06461439,0.07495384,0.004929848,0.06577179,1523577600000,2025-08-25 19:13:56.863794-04:00
LBTC33652-USD,Lombard Staked BTC,https://coinmarketcap.com/currencies/lombard-staked-btc,"""https://twitter.com/lombard_finance""",Cryptocurrency,CCC,66248.695,127777.1,70.02115,1422341376,12879,116344.59,-5908.7734,-0.050786834,100639.37,9796.453,0.097342156,1729814400000,2025-08-25 19:13:57.151705-04:00
SKY33038-USD,Sky,https://coinmarketcap.com/currencies/sky,"""https://twitter.com/SkyEcosystem""",Cryptocurrency,CCC,0.034298,0.101433,-4.92999,1450270336,23446061056,0.08047134,-0.018615726,-0.23133363,0.06772459,-0.0058689825,-0.08665954,1727136000000,2025-08-25 19:13:57.434062-04:00
FORM23635-USD,Four,https://coinmarketcap.com/currencies/binaryx-new,"""https://twitter.com/Four_FORM_""",Cryptocurrency,CCC,0.80755,4.190275,246.47646,1307574016,381867264,3.5338368,-0.10967851,-0.031036664,2.7551339,0.66902447,0.2428283,1741910400000,2025-08-25 19:13:57.731026-04:00
