Ticker,Name,Chart,Twitter,Type,Exchange,52w Low,52w High,52w % Chg,Mkt Cap,Float,50d Avg,50d Avg Chg,50d Avg % Chg,200d Avg,200d Avg Chg,200d Avg % Chg,First Trade,Timestamp
BTC-USD,Bitcoin,https://coinmarketcap.com/currencies/bitcoin,,Cryptocurrency,CCC,52598.7,124457.12,80.43455,2189121159168,19911534,116490.45,-6548.086,-0.056211352,100787.1,9155.266,0.09083767,1410912000000,2025-08-25 19:13:32.349232-04:00
ETH-USD,Ethereum,https://coinmarketcap.com/currencies/ethereum,"""https://twitter.com/ethereum""",Cryptocurrency,CCC,1386.7993,4953.733,78.25589,527871508480,120707096,3762.8516,610.3091,0.16219324,2616.7117,1756.449,0.67124283,1510185600000,2025-08-25 19:13:32.700606-04:00
XRP-USD,XRP,https://coinmarketcap.com/currencies/xrp,"""https://twitter.com/Ripple""",Cryptocurrency,CCC,0.493585,3.65021,415.0678,170147430400,59482263552,3.0365067,-0.17603326,-0.057972293,2.4656448,0.39482856,0.16013196,1510185600000,2025-08-25 19:13:33.075775-04:00
USDT-USD,Tether USDt,https://coinmarketcap.com/currencies/tether,"""https://twitter.com/tether_to""",Cryptocurrency,CCC,0.996926,1.002985,-0.031495094,167183466496,167150534656,1.0001802,1.66893e-05,1.6686294e-05,1.0000782,0.00011873245,0.00011872317,1510185600000,2025-08-25 19:13:33.389067-04:00
BNB-USD,BNB,https://coinmarketcap.com/currencies/bnb,"""https://twitter.com/bnbchain""",Cryptocurrency,CCC,473.1689,899.70013,59.62745,117107646464,139287296,775.5375,65.22583,0.08410403,663.5074,177.25592,0.2671499,1510185600000,2025-08-25 19:13:33.650110-04:00
SOL-USD,Solana,https://coinmarketcap.com/currencies/solana,"""https://twitter.com/solana""",Cryptocurrency,CCC,96.588066,294.33496,30.918634,101033943040,540560448,177.68341,9.222504,0.051904134,157.13547,29.770447,0.18945721,1586476800000,2025-08-25 19:13:34.211849-04:00
USDC-USD,USDC,https://coinmarketcap.com/currencies/usd-coin,"""https://twitter.com/circle""",Cryptocurrency,CCC,0.998165,1.002697,-0.013399124,68066553856,68069822464,0.999892,6.0021877e-05,6.002836e-05,0.9999161,3.59416e-05,3.5944617e-05,1538956800000,2025-08-25 19:13:34.565920-04:00
STETH-USD,Lido Staked ETH,https://coinmarketcap.com/currencies/steth,"""https://twitter.com/lidofinance""",Cryptocurrency,CCC,1390.9485,4939.702,78.059135,38241542144,8753115,3756.4326,612.4741,0.16304675,2613.8435,1755.0632,0.67144924,1608681600000,2025-08-25 19:13:34.940698-04:00
TRX-USD,TRON,https://coinmarketcap.com/currencies/tron,"""https://twitter.com/trondao""",Cryptocurrency,CCC,0.146687,0.440675,123.71557,32535808000,94665793536,0.32713297,0.01655832,0.05061648,0.27076992,0.072921365,0.26931116,1510185600000,2025-08-25 19:13:35.255923-04:00
DOGE-USD,Dogecoin,https://coinmarketcap.com/currencies/dogecoin,"""https://twitter.com/dogecoin""",Cryptocurrency,CCC,0.089373,0.48351,120.14777,31471253504,150670557184,0.21999387,-0.011119276,-0.050543573,0.19927004,0.009604558,0.048198707,1510185600000,2025-08-25 19:13:35.586456-04:00
WTRX-USD,Wrapped TRON,https://coinmarketcap.com/currencies/wrapped-tron,"""https://twitter.com/justinsuntron""",Cryptocurrency,CCC,0.146934,0.437017,123.661995,30079154176,87422902272,0.32708076,0.016984195,0.05192661,0.27074704,0.073317915,0.2707986,1646438400000,2025-08-25 19:13:35.932180-04:00
ADA-USD,Cardano,https://coinmarketcap.com/currencies/cardano,"""https://twitter.com/cardano""",Cryptocurrency,CCC,0.305104,1.318681,147.87836,29883101184,35724890112,0.7963688,0.040109634,0.050365653,0.7222413,0.11423713,0.15817031,1510185600000,2025-08-25 19:13:36.198968-04:00
WSTETH-USD,Lido wstETH,https://coinmarketcap.com/currencies/lido-finance-wsteth,"""https://twitter.com/LidoFinance""",Cryptocurrency,CCC,1697.5742,5962.777,83.09078,17538080768,3306272,4541.645,762.8423,0.16796607,3145.1086,2159.3787,0.68658316,1633564800000,2025-08-25 19:13:36.465690-04:00
LINK-USD,Chainlink,https://coinmarketcap.com/currencies/chainlink,"""https://twitter.com/chainlink""",Cryptocurrency,CCC,9.337709,30.805128,117.815544,15879137280,678099968,19.228058,4.189047,0.21786116,15.825293,7.591812,0.4797265,1510185600000,2025-08-25 19:13:36.754576-04:00
WETH-USD,WETH,https://coinmarketcap.com/currencies/weth,,Cryptocurrency,CCC,1418.4865,4939.419,78.10285,14797864960,3375317,3761.7666,622.37354,0.16544715,2615.8118,1768.3284,0.67601514,1515888000000,2025-08-25 19:13:37.039190-04:00
WBTC-USD,Wrapped Bitcoin,https://coinmarketcap.com/currencies/wrapped-bitcoin,"""https://twitter.com/WrappedBTC""",Cryptocurrency,CCC,52719.67,123958.4,80.502,14015107072,127204,116394.79,-6217.3906,-0.0534164,100681.83,9495.57,0.09431265,1548806400000,2025-08-25 19:13:37.295829-04:00
