Mkt Cap,EV
4267342299136.0,4236353994752.0
3748101619712.0,3776719880192.0
3337605873664.0,3400402468864.0
2420510556160.0,2357096087552.0
2420480409600.0,2367617761280.0
2367074336768.0,2453303984128.0
1856722698240.0,1880867471360.0
1396878082048.0,
1362124996608.0,149049868288.0
1328343285760.0,
1179051622400.0,4344065294336.0
1054520901632.0,839170195456.0
1053947265024.0,-214081159168.0
1032498774016.0,1021832921088.0
801469628416.0,451585081344.0
781761970176.0,884788494336.0
667081703424.0,669506338816.0
654906818560.0,758511304704.0
636323102720.0,669809836032.0
583296352256.0,
535102783488.0,545413726208.0
512549978112.0,524344557568.0
471048814592.0,-1137046716416.0
465674797056.0,494696202240.0
430924267520.0,462588313600.0
430030782464.0,434577014784.0
395682873344.0,457043083264.0
371804372992.0,401650679808.0
370512035840.0,364443205632.0
370094309376.0,433638670336.0
357459394560.0,362749886464.0
333323304960.0,-282076774400.0
331874304000.0,-283396636672.0
320712900608.0,315162558464.0
317982769152.0,316357443584.0
313405243392.0,291004678144.0
304486645760.0,162005172224.0
304097329152.0,341782265856.0
291924213760.0,284649259008.0
290538455040.0,399916793856.0
289159282688.0,286802411520.0
284950822912.0,291291463680.0
283960377344.0,2117194481664.0
279303061504.0,157207117824.0
279113203712.0,157577461760.0
274736201728.0,328790179840.0
271609397248.0,318362451968.0
265675161600.0,266112778240.0
265399189504.0,277738586112.0
257109901312.0,26022485426176.0
256681426944.0,163873374208.0
256527384576.0,158244093952.0
253171335168.0,23684985126912.0
252477997056.0,192019759104.0
250115227648.0,189575479296.0
249464619008.0,150727999488.0
249323749376.0,267715969024.0
246706110464.0,270511996928.0
245752184832.0,161947566080.0
245504491520.0,272311320576.0
245312962560.0,270481932288.0
244621230080.0,319168380928.0
244569440256.0,321612251136.0
235013488640.0,230218203136.0
229936791552.0,157091905536.0
229740724224.0,236958384128.0
226537046016.0,1914889830400.0
225634516992.0,93075996672.0
225409728512.0,248788205568.0
223515033600.0,277428273152.0
223005638656.0,278290989056.0
221425385472.0,
216733089792.0,-27265267712.0
215008903168.0,238309326848.0
214470393856.0,419670720512.0
214449963008.0,217571082240.0
212568342528.0,260744560640.0
211082887168.0,471164878848.0
210507481088.0,368958275584.0
209240588288.0,250264256512.0
208937435136.0,251937177600.0
203965546496.0,249912999936.0
200733736960.0,153223430144.0
199316439040.0,95659139072.0
196509138944.0,201470296064.0
195772694528.0,233359556608.0
194638069760.0,
192901742592.0,5349918638080.0
192236371968.0,3933541761024.0
192160497664.0,-99516325888.0
189860888576.0,362559602688.0
185084526592.0,184428625920.0
182673588224.0,215776247808.0
182472900608.0,191211470848.0
181987934208.0,181020786688.0
180408418304.0,-138402906112.0
180090798080.0,340359610368.0
179551748096.0,339529826304.0
177679892480.0,173749420032.0
176059285504.0,481776697344.0
175833743360.0,479510790144.0
175256616960.0,-43828849410048.0
174560165888.0,303752740864.0
174170898432.0,180258799616.0
174118584320.0,-43829994455040.0
173934379008.0,153342590976.0
170448928768.0,-23426543616.0
169727229952.0,203998298112.0
168659927040.0,184800264192.0
168441167872.0,167010942976.0
166587744256.0,168689991680.0
166306283520.0,172496764928.0
165944541184.0,156395683840.0
165585764352.0,472173740032.0
164967743488.0,159220875264.0
159225937920.0,207773368320.0
158913314816.0,152199397376.0
158198431744.0,158381228032.0
156670787584.0,258472902656.0
155894923264.0,168867758080.0
155127922688.0,184627412992.0
153408897024.0,164450566144.0
153239994368.0,182028500992.0
149925003264.0,150793011200.0
147123208192.0,164478763008.0
146346065920.0,193411268608.0
146002984960.0,166979305472.0
145984274432.0,152790155264.0
145826742272.0,-1745526980608.0
144107667456.0,166125010944.0
143419654144.0,178059542528.0
142565687296.0,
142169047040.0,97243308032.0
141877755904.0,140423331840.0
141871939584.0,97615200256.0
141645561856.0,141805846528.0
141178175488.0,136388435968.0
139078008832.0,290145828864.0
138887610368.0,178860212224.0
138252828672.0,178986909696.0
138039312384.0,165302550528.0
136755658752.0,153163726848.0
135583997952.0,137573761024.0
134765166592.0,27668312064.0
134456434688.0,145874452480.0
133611913216.0,166714097664.0
132848312320.0,137569484800.0
131827761152.0,193233305600.0
130504998912.0,
129584062464.0,136574656512.0
129450418176.0,160202932224.0
128271278080.0,127694077952.0
127864832000.0,77402177536.0
127573262336.0,182691184640.0
127078981632.0,78443036672.0
126872879104.0,-16119146496.0
126676631552.0,157986996224.0
125150920704.0,156915056640.0
124599885824.0,75413389312.0
124549668864.0,123852218368.0
124386967552.0,131340820480.0
124058247168.0,215361552384.0
123873837056.0,135632855040.0
123513815040.0,126574018560.0
123435769856.0,68696875008.0
122548445184.0,125684441088.0
122446028800.0,120892440576.0
121705660416.0,202302537728.0
121647792128.0,202400169984.0
120978522112.0,125409771520.0
120347459584.0,126983700480.0
118975438848.0,578278457344.0
118502129664.0,123455053824.0
118422110208.0,134837460992.0
118374531072.0,136701132800.0
116722786304.0,140332498944.0
115121455104.0,117513805824.0
113694957568.0,137010028544.0
112510238720.0,114498658304.0
111653814272.0,124561203200.0
111162744832.0,131433701376.0
110687764480.0,89750118400.0
109663600640.0,126897586176.0
109422551040.0,125975461888.0
106859765760.0,-43462019776512.0
106326786048.0,100853776384.0
106257776640.0,-43497574891520.0
106187759616.0,-47053074432.0
104739667968.0,102415646720.0
104558092288.0,214365126656.0
104405549056.0,124470411264.0
104086740992.0,177315495936.0
103786741760.0,123977916416.0
103203627008.0,100688740352.0
102859497472.0,140453576704.0
102595371008.0,122526302208.0
101905170432.0,96254820352.0
100666155008.0,125154115584.0
