Div Rate,Div Yield
0.04,0.00022805018
3.32,0.0065756897
1.01,0.004468829
1.01,0.0050672283
1.01,0.0050452068
0.0,0.0
2.05,0.0027416681
1.16,0.0013957053
2.3,0.007899165
1.59,0.0019875
19.0,0.08311461
0.0,0.0
0.0,0.0
0.0,0.0
5.3,0.01813578
0.858,0.008365019
2.36,0.0068618613
1.8,0.007657619
5.6,0.007938308
5.662,0.008873079
2.94,0.0049605183
0.0,0.0
19.0,1.1020753
3.92,0.036119048
5.02,0.028069783
4.78,0.004806097
4.55,0.011325734
4.076,0.02555326
0.0,0.0
6.47,0.030934736
1.04,0.021509824
5.3,0.20841527
5.3,0.21242484
2.35,0.00866104
2.35,0.008622903
6.68,0.04359744
7.619,0.5079333
1.99,0.028147101
3.36,0.0045405403
3.52,0.013590208
3.36,0.0044830483
1.28,0.004804083
7.619,0.06376266
1.04,0.050485436
1.04,0.050363194
8.51,0.028381804
5.4,0.03124096
0.0,0.0
1.62,0.024139473
90.0,0.4518299
1.04,0.04837209
1.04,0.050144646
90.0,4.556962
1.04,0.04110672
1.04,0.04164998
3.13,0.03887233
1.6,0.020470828
3.13,0.01950642
1.04,0.048964217
3.862,0.030349705
3.862,0.031975493
11.65,0.21574074
11.65,0.2145488
1.616,0.006557111
3.775,0.026193451
2.32,0.017517366
0.66,0.01009792
0.66,0.051886793
5.78,0.011982752
6.98,0.022294622
6.69,0.027581941
1.77,0.003127761
12.0,0.016650941
3.16,0.037325773
0.47,0.48958334
3.04,0.009857329
1.418,0.04007914
1.418,0.019669859
1.11,0.037909836
2.57,0.016412286
1.0,0.008544087
5.488,0.036409475
4.26,0.02590138
1.6,0.06543967
0.0,0.0
5.74,0.013647495
4.02,0.005749839
0.0,0.0
1.6,0.0013087934
5.8,0.042493954
2.71,0.060142033
36.7,0.0065073464
1.64,0.0033144036
5.38,0.026796833
0.0,0.0
5.56,0.42736354
0.9,0.024449876
0.9,0.024677817
0.0,0.0
4.583,0.053148557
20.0,0.7072136
64.0,4.055767
0.0,0.0
20.62,0.018272692
64.0,4.1639557
1.04,0.010888912
2.24,0.024042074
0.0,0.0
3.74,0.00671418
0.0,0.0
2.0,0.00957121
3.44,0.022130726
0.0,0.0
20.0,0.71123755
0.75,0.00124051
9.26,0.031236297
0.0,0.0
5.92,0.023211135
2.163,0.02839328
0.0,0.0
1.832,0.02882316
1.6,0.011571563
1.832,0.02946285
0.0,0.0
3.32,0.008472198
1.7,0.06698188
1.18,0.0055818353
4.9,0.019392118
0.65,0.20700635
3.12,0.026278108
4.7,0.018277979
1.99,0.08518835
0.11,0.011542497
0.0,0.0
0.11,0.011554621
0.0,0.0
0.0,0.0
1.1,0.020526217
3.637,0.05763867
3.637,0.05904221
4.47,0.020599077
1.1,0.0409074
2.4,0.011177868
1.325,0.092013896
3.96,0.011437814
5.36,0.023750445
0.66,0.0060745515
6.33,0.012847053
,
0.46,0.00392458
2.402,0.040704966
1.72,0.010716511
43.0,1.4675769
0.72,0.0052139913
43.0,1.5226629
4.14,0.056166057
2.402,0.040739484
0.9,0.022647206
1.6,0.08825152
0.92,0.00927887
3.92,0.038858052
1.28,0.038449984
3.3,0.015545506
6.02,0.019480309
3.92,0.07757768
0.92,0.0037570957
0.0,0.0
1.035,0.016625436
1.035,0.016405135
0.993,0.014865268
0.993,0.014880862
0.0,0.0
0.0,0.0
3.73,0.049806383
3.12,0.032880176
2.81,0.030143745
6.75,0.007684076
4.08,0.06037289
1.57,0.020587465
2.75,0.016567262
3.7,0.0132294055
0.0,0.0
0.41,0.021155832
0.41,0.021704607
122.0,4.615967
0.0,0.0
122.0,7.2922897
0.268,0.0042910897
0.0,0.0
3.715,0.077347495
13.05,0.02926009
2.9,0.030548826
3.345,0.015837317
0.0,0.0
0.125,0.0053101103
1.86,0.010259239
0.0,0.0
2.44,0.027259525
3.94,0.035759665
5.2,5.0
0.0,0.0
3.73,0.06153085
2.46,0.050973892
4.8,0.017479336
3.73,0.061419398
6.64,0.03169451
1.481,0.004713408
4.18,0.03357969
3.14,0.18757468
0.34,0.005308353
3.14,0.018774292
0.0,0.0
0.875,0.014738084
0.0,0.0
2.76,0.0067287534
0.0,0.0
3.56,0.008350926
6.69,0.009004402
3.715,0.15708245
3.15,0.013693866
3.58,0.006952131
5.2,0.18584703
3.01,0.008198731
2.66,0.037560012
0.643,0.013522608
0.323,0.009533648
2.45,0.0074440935
0.643,0.013205998
0.323,0.057168145
2.84,0.004040174
0.0,0.0
1.56,0.007197896
1.86,0.014476962
0.0,0.0
8.49,0.014328146
5.84,0.01839486
2.0,0.09737098
1.51,0.064612746
2.986,0.006374621
140.0,4.028777
4.206,0.032224946
3.5,0.33751205
2.86,0.01848142
4.206,0.17433473
12.0,0.54545456
1.88,0.029760962
6.28,0.05570833
2.77,0.0074064173
0.63,0.015722485
140.0,21.406729
5.82,0.019108908
2.52,0.008827548
0.0,0.0
0.0,0.0
2.27,0.012914604
0.63,0.032457497
0.0,0.0
2.5,0.008260639
3.775,0.17073722
0.0,0.0
0.0,0.0
