EPS Gr %,EPS Qtr Gr %,Rev Gr %
0.012,-0.011,0.107
0.15,0.121,0.024
1.098,1.079,0.565
-0.245,-0.257,-0.086
,,
4.602,4.678,0.366
0.016,0.004,-0.022
0.083,0.043,0.077
0.11,0.096,0.021
-0.306,-0.236,0.219
0.11,0.096,0.021
3.656,3.34,0.694
0.016,0.004,-0.022
1.129,1.108,0.011
0.203,0.119,0.019
0.722,0.686,0.336
2.666,2.539,-0.057
1.98,1.831,0.021
0.07,0.072,0.026
0.106,0.098,0.075
2.666,2.539,-0.057
0.316,0.322,0.246
-0.287,-0.29,0.158
0.155,0.138,-0.021
0.155,0.138,-0.021
0.063,0.05,0.08
0.063,0.05,0.08
0.146,0.159,0.108
-0.015,-0.015,0.338
-0.223,-0.22,0.003
-0.212,-0.154,0.021
0.013,-0.002,0.084
0.467,0.438,0.236
-0.362,-0.375,0.002
-0.862,-0.859,-0.12
0.074,0.185,0.396
0.346,0.331,0.081
0.181,0.182,0.103
-0.016,-0.016,-0.079
-0.016,-0.016,-0.079
0.033,0.015,0.056
3.643,4.08,0.382
0.033,0.015,0.056
0.244,0.251,0.188
,,0.249
0.161,0.173,0.312
-0.787,-0.792,0.002
-0.275,-0.269,0.079
0.079,0.076,0.121
,,0.198
,,0.002
0.345,0.347,0.098
,,0.121
-0.473,-0.471,0.038
-0.34,-0.337,0.086
-0.037,-0.053,0.007
,,
-0.223,-0.22,0.003
-0.228,-0.22,0.006
0.161,0.161,0.104
-0.223,-0.22,0.003
-0.595,-0.593,0.032
0.035,0.031,0.114
0.104,0.093,0.047
1.651,1.688,0.089
226.576,5.326,-0.223
1.651,1.688,0.089
,,0.027
0.253,0.253,0.19
-0.298,-0.303,0.202
0.235,0.131,0.064
1.0,1.053,0.45
0.177,0.158,0.083
0.19,0.176,0.011
0.161,0.173,0.312
0.065,0.068,0.19
0.063,0.047,0.045
-0.037,-0.053,0.007
-0.143,-0.152,0.007
-0.432,-0.423,0.084
0.006,-0.009,0.022
,,-0.013
0.417,0.417,0.104
0.006,-0.009,0.022
,,-0.013
-0.107,-0.143,0.234
0.114,0.073,0.059
0.089,0.082,0.08
0.0,-0.032,0.051
,-0.137,-0.082
0.281,0.249,0.013
0.147,0.12,0.089
0.144,0.132,0.033
,,
0.039,0.029,0.044
0.015,0.004,0.008
0.284,0.273,0.094
0.244,0.38,0.205
-0.351,-0.369,0.014
0.284,0.273,0.094
0.266,0.223,0.141
0.095,0.067,0.077
0.059,0.053,0.049
0.081,0.105,0.105
0.232,0.23,0.013
0.015,0.004,0.008
0.048,-0.01,0.11
,,0.178
,,
,,0.209
-0.628,-0.628,0.026
0.232,0.23,0.013
0.064,0.067,0.093
0.102,0.291,0.117
0.17,0.151,0.111
0.016,0.157,0.127
36.934,38.527,0.029
0.169,0.158,0.052
1.501,1.416,0.208
-0.267,-0.261,0.131
0.137,0.115,0.045
0.013,0.024,-0.022
0.216,0.148,0.08
0.016,-0.005,0.006
1.501,1.416,0.208
0.187,0.223,0.054
0.266,0.223,0.141
,,-0.026
,,-0.026
0.144,0.132,0.033
0.032,0.017,0.057
-0.068,-0.145,-0.066
0.08,0.074,0.046
-0.068,-0.145,-0.066
0.813,0.781,0.04
-0.083,-0.089,-0.027
,,
0.144,0.132,0.033
0.27,0.218,0.097
-0.098,-0.113,0.098
0.056,0.06,0.048
0.033,-0.012,0.059
0.386,0.284,0.131
,,0.158
0.47,0.941,-0.083
0.47,0.941,-0.083
0.386,0.284,0.131
0.359,0.362,0.114
-0.059,-0.044,0.043
0.012,-0.033,0.034
0.538,0.53,0.092
0.022,0.016,0.01
-0.216,-0.242,0.14
0.032,0.022,0.088
-0.036,-0.066,0.054
0.175,0.151,0.042
0.032,0.022,0.088
-0.266,-0.281,0.026
1.26,1.264,0.356
0.023,0.021,-0.157
0.14,0.149,0.136
0.104,0.106,-0.089
0.252,0.125,0.026
0.17,0.151,0.111
0.371,0.364,0.027
,,0.278
-0.102,-0.139,-0.034
0.252,0.125,0.026
0.17,0.151,0.111
0.303,0.307,0.142
0.17,0.151,0.111
0.125,0.127,0.028
0.024,0.025,0.012
0.17,0.151,0.111
,,0.257
-0.317,-0.33,-0.082
-0.317,-0.33,-0.082
-0.166,-0.204,-0.113
0.194,0.118,0.051
-0.317,-0.33,-0.082
-0.1,-0.104,0.105
-0.747,-0.748,0.004
0.049,0.042,0.022
-0.747,-0.748,0.004
0.032,-0.028,0.036
0.102,0.045,0.054
-0.231,-0.294,-0.013
0.22,0.149,0.111
-0.231,-0.294,-0.013
0.463,0.434,-0.039
1.852,1.826,0.074
0.123,0.066,0.029
0.104,0.093,0.047
,,0.633
,,0.173
,0.235,0.056
-0.397,-0.397,0.152
,,
,,
-0.363,-0.364,0.126
-0.678,-0.697,-0.098
2.578,2.602,0.111
0.123,0.066,0.029
0.074,0.187,0.073
-0.17,-0.129,0.328
-0.086,-0.115,-0.072
0.262,0.253,0.145
0.241,0.243,0.132
0.163,0.159,0.136
0.151,0.113,0.139
0.455,0.422,0.087
0.067,0.052,-0.013
,,0.138
0.07,0.444,0.712
-0.014,-0.019,0.017
-0.642,-0.659,-0.19
,,0.138
,,
-0.03,-0.043,0.03
0.005,-0.022,0.045
13.786,11.867,0.126
0.466,0.373,
0.119,0.122,0.132
-0.236,-0.179,-0.171
-0.311,-0.324,-0.064
0.151,0.128,0.086
0.19,0.179,0.104
0.206,0.218,0.211
-0.234,-0.243,0.001
3.5,3.51,0.188
-0.234,-0.243,0.001
-0.733,-0.747,0.03
-0.137,-0.13,0.125
-0.248,-0.241,0.054
5.867,5.372,0.058
0.222,0.226,-0.017
2.808,2.777,0.901
0.157,0.174,0.191
1.053,1.036,0.166
-0.251,-0.354,-0.018
-0.137,-0.13,0.125
-0.236,-0.179,-0.171
2.808,2.777,0.901
-0.133,-0.107,0.139
-0.369,-0.348,-0.004
0.901,0.848,0.471
-0.195,-0.229,-0.027
0.382,0.382,0.383
0.381,0.35,0.093
-0.593,-0.598,0.16
0.271,0.251,0.024
,,0.164
-0.103,-0.109,0.039
-0.357,-0.355,-0.144
0.885,0.715,0.139
0.636,0.596,0.248
226.576,5.326,-0.223
0.488,0.446,0.106
-0.039,-0.088,-0.065
,,4.839
-0.338,-0.308,0.016
-0.098,-0.136,-0.126
-0.086,-0.197,-0.108
-0.219,-0.218,0.102
0.057,0.062,0.013
0.274,0.248,0.056
0.305,0.304,-0.084
,,4.839
0.305,0.304,-0.084
0.804,0.82,0.351
-0.18,-0.243,-0.074
0.049,0.054,0.071
0.053,0.062,0.061
-0.075,-0.09,0.119
0.338,0.279,0.022
0.007,-0.018,0.026
,0.235,0.056
0.048,0.026,0.056
-0.241,-0.277,-0.07
0.714,0.654,0.162
0.0,-0.086,-0.003
-0.195,-0.229,-0.027
,,0.003
0.008,0.078,0.612
0.398,0.412,0.167
0.077,0.064,0.075
-0.428,-0.502,-0.012
-0.052,-0.074,0.043
,,0.083
-0.494,-0.511,0.224
1.811,1.758,-0.016
-0.428,-0.502,-0.012
0.769,0.643,0.061
1.811,1.758,-0.016
,,0.05
0.082,0.082,0.103
-0.135,-0.127,0.012
-0.936,-0.94,0.281
0.125,0.127,0.028
0.159,0.159,-0.042
,,0.001
,,0.001
,,2.067
0.327,0.333,0.204
-0.05,-0.064,-0.016
-0.202,-0.216,-0.009
0.348,0.33,-0.013
0.348,0.33,-0.013
0.163,0.138,0.091
-0.748,-0.606,-0.059
-0.195,-0.229,-0.027
1.238,1.192,0.164
-0.158,-0.189,-0.146
0.389,0.47,0.086
,,0.223
-0.118,-0.162,-0.16
-0.24,-0.282,0.007
1.39,1.389,0.683
0.223,0.211,-0.032
-0.494,-0.511,0.224
0.069,0.061,0.025
0.303,0.299,0.102
-0.045,-0.008,0.162
0.303,0.299,0.102
-0.17,-0.172,-0.037
,,0.226
,,0.124
-0.045,-0.008,0.162
0.345,0.348,0.158
0.15,0.146,0.045
-0.34,-0.337,0.086
6.295,6.241,-0.04
0.039,0.019,0.096
,,0.777
7.352,7.441,0.976
-0.122,-0.161,0.0
0.06,0.052,-0.057
0.06,0.052,-0.057
-0.489,-0.165,0.413
8.545,8.565,0.127
4.939,5.141,0.095
8.143,9.167,0.419
3.14,3.128,0.113
0.316,0.304,0.047
,,
0.356,0.332,0.31
-0.222,-0.211,0.04
0.273,0.268,0.082
0.444,0.432,0.179
0.657,0.569,0.201
3.14,3.128,0.113
-0.338,-0.308,0.016
0.287,0.272,0.045
,,0.416
0.043,0.042,0.044
-0.108,-0.132,0.028
-0.158,-0.178,0.078
0.627,0.632,-0.001
-0.549,-0.555,-0.078
-0.6,-0.183,0.163
0.41,0.348,0.076
-0.789,-0.677,0.153
0.273,0.273,0.149
,,0.05
0.273,0.273,0.149
-0.109,-0.107,0.027
0.384,0.306,0.15
0.172,0.218,0.116
0.081,0.057,0.006
,,
-0.653,-0.653,0.26
,,0.051
4.939,5.141,0.095
4.939,5.141,0.095
