EPS Gr %,EPS Qtr Gr %,Rev Gr %
-0.123,-0.116,0.437
0.451,0.449,0.222
0.194,0.172,0.13
14.933,15.0,0.091
0.125,0.123,0.241
,,0.075
0.118,0.094,0.057
1.504,0.472,0.127
1.504,0.472,0.127
,,-0.079
,-0.137,-0.082
-0.808,-0.816,0.061
0.062,0.005,0.045
0.08,0.08,-0.005
,,0.072
14.933,15.0,0.091
,,0.236
-0.224,-0.119,-0.039
-0.0,-0.138,0.309
,,0.195
0.061,0.115,0.266
-0.119,-0.121,0.035
-0.156,-0.183,-0.108
-0.04,-0.039,0.022
0.023,-0.026,0.041
0.048,0.044,0.03
0.731,1.146,0.28
0.716,0.724,0.236
0.227,0.235,0.057
,,0.067
,-0.137,-0.082
0.162,0.084,0.033
0.048,0.044,0.03
-0.105,-0.248,0.077
0.049,0.004,-0.016
,,-0.002
0.724,0.699,0.097
,,-0.411
0.342,0.29,-0.016
,,-0.013
,-0.137,-0.082
-0.121,-0.121,-0.038
-0.395,-0.375,0.11
-0.416,-0.416,0.179
,,-0.169
-0.071,-0.097,0.01
0.049,0.004,-0.016
0.656,0.66,0.141
0.142,0.145,0.065
,,
0.009,-0.026,-0.013
,,
0.574,0.535,0.141
0.25,0.249,0.047
19.564,13.951,-0.081
,-0.137,-0.082
,,-0.239
1.979,2.197,0.726
,,
,,0.05
0.319,0.327,0.182
0.09,0.076,0.208
0.218,0.23,0.041
19.564,13.951,-0.081
,,0.236
0.202,0.162,0.005
,0.75,0.135
-0.272,-0.272,0.053
-0.701,-0.738,0.018
-0.416,-0.416,0.179
0.454,0.455,0.448
0.032,-0.105,0.061
1.333,1.401,0.282
,-0.137,-0.082
,,0.134
-0.272,-0.272,0.053
1.314,1.227,0.18
0.053,0.042,0.055
0.18,0.189,0.185
,,0.009
,-0.137,-0.082
0.22,0.626,0.559
,-0.137,-0.082
0.319,0.327,0.182
,,0.375
0.244,0.292,0.2
-0.228,-0.242,-0.066
,,0.139
0.255,0.266,0.098
-0.5,-0.504,0.045
0.222,0.213,0.194
,-0.137,-0.082
0.473,0.425,0.205
-0.547,-0.587,-0.085
-0.547,-0.587,-0.085
,-0.137,-0.082
0.141,0.098,-0.084
-0.138,-0.136,0.217
,,49.999
0.172,0.233,0.056
,,0.319
2.667,6.511,0.219
0.308,0.411,0.05
,-0.137,-0.082
,-0.137,-0.082
,-0.137,-0.082
0.075,0.045,-0.018
,-0.137,-0.082
0.266,0.267,-0.033
,-0.137,-0.082
,-0.137,-0.082
,,0.266
0.242,0.215,0.131
0.075,0.045,-0.018
,-0.137,-0.082
,,0.266
0.344,0.327,0.039
-0.081,-0.153,0.148
,-0.137,-0.082
0.734,0.731,0.124
-0.71,-0.494,0.316
,,-0.07
-0.082,-0.108,0.18
0.246,0.235,0.061
,,-0.043
,,-0.03
,,0.04
,,0.141
0.266,0.21,0.042
,0.063,0.022
0.165,0.181,0.102
0.778,0.832,0.323
-0.122,-0.117,0.061
,-0.137,-0.082
,,13.538
0.04,0.051,0.119
-0.23,-0.261,0.01
0.234,0.23,0.078
,,0.025
0.232,0.193,0.133
0.183,0.19,0.097
,,0.022
0.296,0.315,0.091
9.184,11.53,0.135
,,0.068
,,
,,
0.031,-0.026,0.12
-0.192,0.27,0.423
0.026,0.024,0.072
0.396,0.299,0.04
,,
1.324,1.271,0.411
0.007,-0.059,-0.0
0.969,0.964,0.061
-0.889,-0.89,0.266
,,0.16
0.969,0.964,0.061
,,
-0.23,-0.232,0.008
-0.23,-0.232,0.008
-0.109,-0.113,0.148
0.234,0.215,-0.04
0.362,1.145,0.777
3.378,3.548,0.095
-0.06,-0.063,0.076
0.053,0.145,0.126
0.115,0.115,0.071
0.682,0.619,0.094
7.5,6.888,0.04
,,0.048
0.423,0.38,0.062
7.5,6.888,0.04
7.5,6.888,0.04
0.682,0.619,0.094
0.254,0.824,0.133
0.369,0.367,-0.013
-0.06,-0.063,0.076
0.19,0.184,0.024
7.5,6.888,0.04
0.198,0.283,0.176
0.389,0.368,-0.135
-0.478,-0.491,0.013
-0.047,-0.034,-0.023
172.057,151.301,0.002
-0.938,-0.945,-0.185
-0.342,-0.304,-0.011
-0.938,-0.945,-0.185
0.015,0.014,0.103
,,
0.215,0.181,0.066
0.025,0.045,0.115
,,
,,
0.12,0.14,0.08
1.714,1.25,0.042
0.454,0.447,0.124
0.601,-0.003,0.07
,,0.036
-0.052,-0.093,0.152
-0.052,-0.093,0.152
-0.144,-0.153,-0.014
0.383,0.368,0.054
-0.746,-0.734,-0.019
-0.587,-0.587,-0.056
,,
-0.875,-0.871,-0.001
-0.089,0.034,0.224
0.349,0.392,0.052
-0.198,-0.202,-0.052
0.847,0.771,0.408
-0.073,-0.081,0.012
0.34,0.332,0.163
-0.166,-0.229,-0.04
0.349,0.392,0.052
,,-0.188
-0.131,-0.089,-0.106
-0.1,-0.165,0.004
-0.892,-0.891,0.183
,,0.675
-0.125,-0.173,0.033
0.203,0.214,0.075
61.952,60.821,-0.077
0.113,0.093,0.069
0.027,0.026,0.134
-0.173,-0.101,0.15
3.012,2.722,0.064
,,0.559
0.347,0.324,-0.024
,,0.16
5.478,5.387,0.184
0.12,0.14,0.08
-0.215,-0.191,0.046
-0.878,-0.884,-0.038
0.081,0.079,0.085
1.618,1.362,0.065
-0.398,-0.414,-0.009
,,-0.728
,,1.499
0.255,0.184,0.092
-0.074,-0.058,0.046
-0.294,-0.336,0.076
,,-0.058
-0.091,-0.141,-0.021
-0.398,-0.414,-0.009
0.244,0.222,0.022
0.017,-0.023,0.014
7.357,7.277,0.372
19.564,13.951,-0.081
0.254,0.196,0.038
0.273,0.214,0.088
,,0.274
0.848,0.871,0.15
0.067,0.038,-0.019
,-0.262,0.149
0.069,0.058,0.057
-0.445,-0.133,0.168
0.268,0.268,0.255
0.172,0.171,0.531
2.144,2.206,0.079
-0.303,-0.304,-0.007
0.108,0.108,0.105
-0.191,-0.207,0.012
-0.067,-0.07,0.202
0.311,0.308,0.195
0.119,0.088,0.066
-0.559,-0.737,0.094
0.133,0.054,0.126
7.956,7.667,-0.059
-0.091,-0.141,-0.021
-0.049,-0.069,0.0
-0.255,-0.219,-0.116
,,0.369
4.0,5.372,0.633
-0.559,-0.737,0.094
0.324,0.137,-0.014
,,0.309
4.636,7.2,0.039
-0.049,-0.076,0.04
-0.391,-0.444,0.006
0.172,0.174,0.151
0.435,0.425,0.145
-0.381,-0.391,-0.032
0.606,0.607,0.303
-0.14,-0.151,-0.1
,,0.021
0.233,0.159,-0.011
19.564,13.951,-0.081
,,0.017
0.017,-0.003,-0.017
-0.654,-0.625,-0.463
29.856,48.597,1.165
-0.007,-0.055,-0.023
-0.236,-0.326,-0.018
0.579,0.667,-0.119
-0.153,-0.19,-0.026
-0.094,-0.01,0.187
,,0.01
0.172,0.171,0.531
0.107,0.098,0.079
0.064,0.006,-0.092
0.172,0.171,0.531
0.145,0.115,-0.136
-0.046,-0.078,0.043
0.1,0.032,0.002
,,0.021
1.083,1.147,0.478
,,0.021
,,
-0.206,-0.207,0.024
,,0.268
-0.149,-0.153,0.067
0.518,0.513,0.402
,,0.954
-0.931,-0.889,1.324
-0.186,0.094,0.232
1.17,0.967,0.204
-0.314,-0.313,-0.006
0.096,0.058,0.031
-0.153,-0.19,-0.026
1.15,1.138,0.112
-0.141,0.125,0.225
0.072,0.036,0.049
,,0.01
0.143,0.119,0.041
2.125,1.982,0.429
3.062,4.007,0.075
-0.603,-0.607,-0.077
-0.603,-0.607,-0.077
0.828,0.658,0.127
-0.186,0.094,0.232
0.172,0.171,0.531
0.261,0.266,0.144
-0.914,-0.826,-0.127
0.899,0.788,0.068
0.08,0.082,0.032
0.441,0.46,0.124
0.429,0.441,0.147
3.82,4.091,0.001
,,0.099
0.386,0.361,0.05
0.11,0.096,0.11
0.2,0.198,0.093
0.261,0.266,0.144
0.133,0.162,0.13
-0.213,-0.219,0.032
0.673,0.687,0.008
0.418,0.398,0.092
0.386,0.361,0.05
,,0.308
0.811,0.479,0.353
-0.217,-0.251,-0.03
,,1.007
10.161,23.829,0.834
-0.328,-0.21,0.054
0.216,0.161,0.046
0.948,1.187,0.269
0.029,0.07,-0.0
,,1.111
,,
1.373,1.352,0.328
-0.277,-0.285,0.189
,,
,,-0.126
0.127,0.126,0.027
-0.192,-0.193,0.012
-0.213,-0.219,0.032
-0.184,-0.164,0.094
0.045,0.049,-0.005
-0.452,-0.453,-0.015
,,5.716
0.86,0.867,0.21
-0.191,-0.207,0.012
0.075,0.075,0.089
,,0.151
,,0.668
,,-0.46
1.6,1.602,0.148
0.045,0.049,-0.005
,,-0.035
-0.138,-0.145,-0.023
-0.59,-0.589,0.569
,,0.36
-0.131,-0.131,0.025
0.252,0.083,0.069
1.788,1.696,0.097
0.361,0.647,0.345
0.284,0.285,0.084
-0.018,-0.027,-0.034
1.657,1.744,0.388
0.653,0.649,-0.063
-0.318,-0.349,
0.057,0.056,0.139
0.856,0.864,0.095
,,0.08
14.268,13.556,-0.059
0.785,0.754,0.107
0.824,0.824,-0.012
-0.232,-0.259,0.038
0.056,0.012,0.085
,,0.36
-0.284,-0.3,0.09
-0.686,-0.673,0.168
0.173,0.156,0.076
-0.066,-0.082,-0.014
0.27,0.259,0.142
3.111,2.741,0.097
-0.115,-0.127,0.03
0.172,0.171,0.531
,,0.066
,,0.367
,,0.167
-0.099,-0.099,0.087
-0.111,-0.085,0.365
0.427,0.244,0.158
0.032,-0.03,0.02
0.339,0.425,0.505
-0.055,-0.021,0.024
0.233,0.323,0.083
-0.333,-0.257,0.234
-0.654,-0.663,-0.072
-0.712,-0.717,-0.487
8.662,7.04,0.106
,,0.293
,,
0.217,0.211,0.051
-0.333,-0.359,0.12
0.786,0.727,0.1
-0.289,-0.311,0.057
,,0.704
0.052,-0.058,-0.003
,,-0.126
-0.05,-0.055,-0.097
-0.17,-0.218,0.279
-0.284,-0.304,-0.028
7.956,7.667,-0.059
0.506,0.516,0.2
-0.155,-0.201,-0.002
0.217,0.212,0.136
0.217,0.212,0.136
0.439,0.44,0.079
-0.384,-0.456,0.038
,,0.154
0.231,0.365,0.14
2.869,2.879,0.077
0.289,0.207,0.029
,,
-0.136,-0.178,-0.032
0.241,0.109,-0.014
0.378,0.311,0.111
0.264,0.261,0.098
0.089,0.227,0.254
0.01,-0.041,0.02
0.299,0.308,0.123
0.087,0.073,0.034
0.241,0.219,-0.0
0.075,0.059,0.074
-0.099,-0.099,0.087
0.172,0.171,0.531
0.594,0.581,0.082
,,0.906
0.172,0.171,0.531
,,
-0.491,-0.491,0.02
0.692,0.702,0.209
0.168,0.09,0.019
0.969,0.964,0.061
,,-0.059
,,
0.155,0.116,0.148
0.005,0.005,0.038
-0.937,-0.933,0.776
,,-0.04
-0.288,-0.316,0.159
-0.318,-0.288,0.075
-0.585,-0.551,0.029
,,0.201
,,0.026
,,
0.78,0.708,0.357
0.385,0.33,0.109
,,0.662
-0.225,-0.25,0.029
-0.191,-0.191,-0.03
0.318,0.326,0.261
-0.358,-0.353,0.071
0.152,0.193,0.089
-0.358,-0.353,0.071
0.084,0.083,-0.015
0.5,0.442,0.089
,,0.721
0.075,0.059,0.074
,,-0.059
,,0.072
0.105,0.085,0.01
-0.171,-0.2,-0.035
,-0.137,-0.082
,,0.064
,,0.584
0.043,-0.003,0.055
0.082,-0.116,-0.021
-0.34,-0.343,0.083
,,0.274
0.244,0.191,0.088
0.064,0.017,0.215
,,0.643
,,0.881
-0.185,-0.187,0.034
-0.037,-0.062,-0.057
1.438,1.613,0.191
,,0.072
,,-0.101
,,0.219
0.702,0.7,0.113
-0.787,-0.785,-0.078
0.058,0.057,0.075
0.095,0.091,-0.054
0.208,0.213,0.17
-0.787,-0.785,-0.078
0.336,0.332,-0.004
0.183,0.166,0.082
,,-0.174
0.039,0.031,0.068
,,
0.25,0.261,0.099
-0.146,-0.129,0.059
0.68,0.703,0.21
-0.112,-0.144,-0.018
-0.043,-0.086,0.02
0.188,0.181,0.033
-0.028,-0.062,0.001
-0.041,-0.117,0.016
,,
,,0.229
,,-0.052
0.641,0.532,0.042
2.033,2.024,0.722
0.013,-0.046,0.003
,,0.235
-0.09,-0.146,-0.006
-0.418,-0.414,-0.042
,,0.206
-0.279,-0.307,-0.009
,,
,,1.592
0.692,0.891,0.227
0.045,0.046,0.099
0.154,0.181,0.132
1.087,0.979,0.004
,,-0.174
,,0.48
,,0.279
,,0.261
0.373,0.389,0.364
-0.045,-0.068,0.027
-0.352,-0.366,-0.04
0.279,0.269,0.093
1.712,1.753,0.05
,,
0.072,0.071,0.125
-0.746,-0.714,-0.003
,,0.084
,,1.111
,,
0.255,0.184,0.092
0.194,0.194,0.091
-0.176,-0.184,-0.008
-0.479,-0.491,-0.206
0.193,0.251,0.2
-0.153,-0.177,-0.049
,,
,,0.027
0.039,0.037,0.244
,,0.405
0.381,0.373,0.191
-0.355,-0.36,0.047
0.039,0.037,0.244
0.084,0.083,-0.015
1.25,1.071,0.238
,,0.297
1.994,2.156,0.381
,,0.051
-0.115,-0.088,0.132
0.0,0.0,-0.004
0.008,-0.009,0.029
,,0.759
,,-0.005
0.268,0.27,0.193
-0.229,-0.183,0.382
,,0.418
,,0.204
-0.837,-0.839,0.018
0.063,0.109,0.179
-0.714,-0.715,0.062
-0.024,0.024,0.287
,,2.171
,,-0.031
-0.35,-0.351,0.033
-0.719,-0.73,-0.021
-0.712,-0.717,-0.487
,,-0.093
,,0.974
0.169,0.169,0.114
0.784,0.677,0.026
0.403,0.377,0.281
-0.597,-0.605,0.074
-0.706,-0.703,-0.054
-0.1,-0.101,0.088
0.286,0.244,0.112
,,0.005
-0.776,-0.774,0.012
0.043,0.044,0.202
,,0.537
-0.153,-0.177,-0.049
0.147,0.16,-0.045
0.282,0.284,-0.045
0.061,0.061,0.018
,,
0.484,0.497,-0.057
-0.145,-0.069,0.508
0.484,0.497,-0.057
0.205,0.215,0.027
0.061,0.061,0.018
-0.148,-0.151,-0.007
-0.245,-0.247,0.009
0.067,0.055,0.076
-0.197,-0.207,-0.008
-0.199,-0.189,-0.09
,,0.256
,,0.055
-0.702,-0.702,-0.179
0.274,0.181,0.025
1.487,1.457,-0.084
,,0.725
0.821,0.824,-0.012
0.868,0.943,0.04
-0.02,-0.047,-0.021
,,-0.306
0.122,0.097,0.115
,,0.223
1.253,1.248,0.052
-0.065,-0.056,0.298
,,0.053
,,0.109
-0.52,-0.213,0.593
,,0.743
0.213,0.21,0.057
0.429,1.805,1.725
-0.263,-0.265,-0.057
-0.35,-0.353,-0.136
,,0.129
,,-0.103
4.58,4.438,0.03
,,0.23
0.103,0.08,0.103
1.7,1.734,0.078
,,-0.02
0.041,-0.067,-0.01
,,-0.02
1.505,1.488,0.52
0.252,0.238,0.028
0.084,0.083,-0.015
-0.182,-0.163,0.101
,,0.096
0.517,0.521,0.418
0.248,0.238,0.076
0.311,0.309,0.109
-0.061,-0.053,-0.008
0.291,0.291,0.333
-0.394,-0.209,0.599
,,0.076
0.571,0.571,0.419
0.67,0.847,0.118
3.819,3.967,0.062
,,-0.046
0.39,0.391,0.033
-0.232,-0.264,-0.104
,,0.026
,,-0.416
-0.188,-0.139,0.065
,,
0.599,0.591,0.194
0.238,0.262,0.109
0.01,0.025,0.175
-0.832,-0.803,0.164
0.084,0.083,-0.015
0.557,0.685,0.539
,,
-0.495,-0.522,-0.013
,,0.888
4.4,4.434,0.494
-0.016,-0.011,0.06
-0.002,-0.054,0.038
,,0.905
,,0.034
0.181,0.141,-0.006
3.25,3.098,0.921
3.819,3.967,0.062
,,267.149
-0.128,-0.154,-0.089
,,1.185
-0.065,-0.09,0.064
0.179,0.178,0.104
0.126,0.058,0.054
,,0.571
,3.0,-0.042
2.489,2.42,0.197
-0.816,-0.816,-0.26
0.033,-0.048,0.154
3.029,3.024,0.61
-0.748,-0.524,0.044
0.104,0.176,0.197
-0.348,-0.307,0.109
-0.186,-0.204,-0.011
,,0.019
,,7.329
,,265.277
,,0.261
0.75,0.903,0.211
-0.196,-0.183,-0.053
,,
-0.9,-0.88,0.024
,,-0.033
,,0.979
,,0.327
-0.257,-0.294,0.075
-0.38,-0.396,0.17
,,-0.054
-0.04,-0.038,-0.036
-0.92,-0.926,0.01
-0.242,-0.231,-0.166
-0.072,-0.079,-0.048
,,0.549
0.641,0.842,0.416
0.084,0.083,-0.015
-0.356,-0.381,
-0.072,-0.079,-0.048
,,0.354
0.151,0.206,0.09
,,0.082
-0.199,-0.189,-0.09
3.187,1.029,0.342
-0.016,0.06,0.166
0.238,0.292,0.413
,,-0.16
,,-0.08
,,0.212
0.083,0.094,0.22
0.783,0.774,0.126
0.0,0.02,0.079
0.032,0.033,0.024
,,0.218
,,
0.254,0.207,0.138
0.415,0.458,0.199
,,-0.026
0.04,0.018,0.081
,,0.94
0.557,0.685,0.539
,,0.109
0.383,0.416,0.291
-0.799,-0.78,0.229
-0.067,-0.074,0.497
-0.664,-0.664,-0.059
,,
0.181,0.142,0.354
0.084,0.083,-0.015
1.434,1.462,0.366
0.6,0.576,0.207
,,-0.443
-0.041,-0.073,-0.092
1.66,1.661,0.132
0.006,0.024,0.055
,,
,,-0.038
-0.206,-0.201,0.093
-0.122,-0.038,0.168
0.225,0.231,0.116
,,-0.167
-0.521,-0.537,-0.056
,,0.296
-0.896,-0.896,-0.683
,,-0.035
-0.684,-0.673,0.022
204.629,213.77,0.069
0.133,0.054,0.126
,,0.345
,,
,,0.602
,,
-0.3,-0.359,-0.105
,,-0.014
0.127,0.088,-0.143
-0.349,-0.223,0.026
,,0.12
,,0.019
,,
-0.052,-0.066,-0.108
0.784,0.677,0.026
,,
4.786,3.328,0.055
7.25,7.765,0.058
0.077,0.067,0.138
,,0.016
0.43,0.256,0.254
,,0.832
0.1,0.11,0.066
0.089,0.052,0.164
-0.395,-0.407,0.002
,,0.761
-0.032,-0.015,0.011
1.625,1.863,0.377
-0.689,-0.69,-0.491
,,-0.077
0.132,0.122,0.029
-0.026,0.038,0.488
,,0.146
-0.357,-0.463,-0.032
0.43,0.413,0.117
,,0.602
-0.201,-0.22,-0.002
16.455,20.5,0.613
0.273,0.269,-0.041
,,-0.033
-0.026,0.038,0.488
0.435,0.427,0.085
,,-0.361
,,
0.034,-0.041,-0.134
,,0.29
,,-0.724
0.386,0.21,0.175
0.091,0.076,0.097
,,0.182
-0.347,-0.342,0.154
,,0.2
,,0.2
-0.138,-0.181,-0.048
0.2,0.127,0.061
0.425,0.363,0.22
,,0.094
-0.571,-0.6,-0.028
6.295,8.734,0.275
-0.571,-0.6,-0.028
,,0.183
,,-0.042
-0.219,-0.258,0.05
11.925,11.5,0.029
0.355,0.356,0.31
,,
0.562,0.5,0.166
,,
0.317,0.174,0.089
-0.105,-0.163,0.034
-0.471,-0.52,-0.104
0.475,0.321,0.037
-0.165,-0.164,-0.071
,,0.175
,,0.344
-0.05,-0.062,0.05
0.975,0.856,0.184
-0.507,-0.5,0.01
-0.471,-0.52,-0.104
-0.028,-0.014,0.031
0.308,0.411,0.05
0.167,0.182,0.066
-0.677,-0.675,-0.029
-0.677,-0.675,-0.029
0.034,-0.041,-0.134
0.089,0.052,0.164
0.0,0.065,0.177
,,0.242
,,
1.422,1.422,0.239
-0.142,-0.211,0.08
-0.114,-0.013,0.13
-0.035,-0.033,0.016
0.18,0.184,0.114
0.211,0.205,0.202
,,0.221
0.084,0.078,0.06
,,
0.182,0.211,0.089
-0.333,-0.323,0.03
0.551,0.554,0.353
-0.146,-0.18,0.047
,,0.2
,,0.016
0.029,0.048,-0.005
-0.141,-0.117,-0.117
0.143,0.16,0.118
-0.137,-0.174,0.048
-0.382,-0.399,-0.07
0.231,0.208,0.096
,,-0.256
,,0.118
,,0.339
,,-0.827
,,1.246
-0.132,-0.131,-0.024
-0.737,-0.733,0.034
,,0.04
-0.09,-0.091,0.003
-0.863,-0.866,-0.091
0.114,0.129,-0.012
,,
,,0.046
0.292,0.247,0.068
0.802,0.795,0.06
-0.985,-0.974,0.158
-0.437,-0.429,0.067
-0.409,-0.387,-0.041
0.014,0.01,0.146
1.508,1.485,0.053
-0.33,-0.329,0.071
0.034,0.027,0.114
0.692,1.119,0.627
,,-0.106
,,0.331
-0.498,-0.51,-0.314
-0.125,-0.196,0.145
-0.106,-0.107,-0.027
-0.796,-0.795,-0.223
0.725,0.885,0.1
0.513,0.513,0.098
0.075,0.066,0.048
,,0.641
,,0.456
0.675,0.672,0.123
-0.585,-0.374,-0.187
0.113,0.099,0.154
-0.403,-0.401,0.091
-0.265,-0.329,0.024
-0.585,-0.374,-0.187
,,
,,
0.084,0.057,0.028
7.777,8.293,1.194
3.2,3.244,0.086
-0.165,0.131,0.073
-0.327,-0.397,-0.009
0.176,0.192,0.053
0.511,0.526,0.356
-0.538,-0.284,0.317
0.513,0.513,0.098
,,0.046
2.208,2.709,-0.875
0.957,1.012,0.087
,,0.077
0.68,0.808,0.551
-0.191,-0.217,-0.061
,,0.181
-0.126,-0.173,-0.05
0.473,0.425,0.205
,-0.357,0.02
0.909,0.987,2.119
-0.04,-0.038,-0.036
-0.796,-0.795,-0.223
,,0.411
0.019,0.044,0.042
-0.568,-0.528,-0.005
,,-0.053
0.082,0.083,0.251
0.692,0.891,0.227
,3.316,0.021
-0.034,-0.037,0.084
-0.008,-0.004,0.052
-0.772,-0.772,0.019
7.777,8.293,1.194
-0.106,-0.124,-0.002
-0.664,-0.667,-0.077
-0.156,-0.196,-0.209
,,
,,-0.062
-0.143,-0.131,0.052
-0.653,-0.672,-0.027
,,
,,
-0.955,-0.955,-0.071
-0.263,-0.284,-0.054
0.053,0.082,0.071
0.196,0.159,0.078
0.093,0.094,0.091
-0.071,-0.085,-0.044
-0.46,-0.507,-0.193
0.259,0.259,0.163
-0.207,-0.231,0.008
-0.289,-0.289,0.019
,,
0.088,0.092,0.015
0.059,0.065,0.011
0.176,0.183,0.196
-0.118,-0.163,-0.02
-0.585,-0.374,-0.187
,,
-0.413,-0.892,0.072
0.059,0.065,0.011
-0.471,-0.462,-0.142
,,0.112
-0.234,-0.169,0.206
-0.213,-0.248,0.095
0.049,0.043,0.012
0.583,0.565,0.02
-0.159,-0.056,-0.183
-0.811,-0.826,-0.134
,,-0.008
,,0.086
,,-0.009
,,0.125
-0.031,-0.033,-0.066
,,
-0.714,-0.703,-0.024
,,0.028
,,0.064
-0.165,-0.184,-0.021
,,0.07
,,-0.003
-0.358,-0.383,-0.005
,,0.139
0.667,0.542,0.243
,,0.309
-0.476,-0.489,0.076
0.173,0.173,0.044
0.692,0.891,0.227
-0.423,-0.448,-0.032
0.286,0.192,-0.021
-0.904,-0.89,-0.036
6.167,5.342,0.043
0.467,0.5,0.052
2.125,2.807,0.605
0.19,0.195,0.057
-0.833,-0.831,0.371
,,-0.057
,,0.49
-0.358,-0.37,0.015
0.097,0.044,0.035
0.21,0.114,0.11
0.095,0.114,0.094
,,0.147
-0.585,-0.374,-0.187
0.056,0.045,0.057
1.278,1.312,0.221
-0.016,-0.036,-0.014
,,-0.827
0.208,0.183,0.05
-0.026,-0.042,-0.146
,,0.539
,,-0.289
,,-0.553
0.071,0.044,0.072
0.045,0.044,-0.007
0.068,0.071,0.078
,,0.266
,0.222,0.371
,,0.055
,,0.244
-0.049,-0.071,0.764
0.952,1.041,0.281
7.5,1.5,-0.39
,,0.134
-0.921,-0.921,-0.255
23.415,23.599,0.218
,,-0.08
,,0.022
,,0.01
-0.66,-0.653,0.207
-0.456,-0.485,-0.219
,,-0.056
,2.122,0.085
,,0.048
0.295,0.986,0.874
2.61,2.74,0.032
-0.377,-0.426,-0.195
0.055,0.057,0.012
-0.029,-0.037,0.046
-0.033,-0.041,0.202
1.759,1.861,0.228
-0.043,-0.086,0.063
0.625,0.643,-0.922
-0.405,-0.407,-0.077
,,-0.827
,,0.045
-0.414,-0.391,0.022
-0.359,-0.326,-0.021
,,0.654
,,-0.044
-0.024,-0.006,0.138
-0.301,-0.139,0.152
,,0.125
2.466,2.466,0.221
-0.138,-0.181,-0.048
,,
0.587,0.544,0.094
0.249,0.313,0.159
,,0.175
,,0.061
,,0.383
,,0.024
,,0.084
-0.705,-0.712,-0.302
-0.203,-0.222,-0.02
-0.123,-0.139,-0.015
,,
,,0.06
0.446,0.446,-0.52
-0.169,-0.17,0.014
0.0,0.013,0.105
0.738,0.745,0.108
-0.616,-0.416,0.026
,,0.079
0.344,0.344,0.087
0.659,0.663,0.107
,,
0.023,0.057,0.05
-0.616,-0.416,0.026
,,
0.553,0.448,0.006
0.587,0.544,0.094
,,0.132
0.018,0.031,0.088
,,0.086
-0.824,-0.835,1.117
0.211,0.204,0.157
16.333,16.633,-0.092
,,0.496
,,-0.075
0.569,0.577,0.062
0.116,0.123,0.016
-0.007,-0.121,-0.015
-0.344,-0.209,-0.097
,,
-0.263,-0.233,-0.018
0.014,0.01,0.037
-0.78,-0.781,0.229
0.48,0.498,0.203
,,0.576
0.116,0.123,0.016
-0.122,-0.038,0.168
0.0,0.013,0.105
0.0,0.013,0.105
0.018,0.04,0.085
56.25,12.023,0.696
-0.423,-0.291,0.116
0.106,0.045,0.009
-0.184,-0.152,-0.009
13.68,13.8,0.053
,,0.061
,,-0.049
0.269,0.28,0.119
,,1.584
0.463,0.5,0.022
0.5,0.589,0.035
0.034,0.015,-0.038
16.333,16.633,-0.092
,,7.401
0.0,0.36,0.049
-0.098,-0.134,-0.038
,,0.278
-0.489,-0.434,-0.136
0.889,0.935,0.136
0.683,0.683,0.506
,,0.108
,,
-0.215,-0.191,-0.058
-0.929,-0.927,-0.432
,,
-0.134,-0.134,-0.016
,,-0.105
,,0.196
0.482,0.412,0.199
0.031,0.132,0.096
0.784,0.885,0.071
,,0.059
,,
,,0.148
0.227,0.222,0.12
,,0.201
7.5,1.5,-0.39
0.023,0.011,0.009
,,0.037
-0.584,-0.509,-0.128
,,0.196
0.5,0.359,0.026
,,0.046
0.288,0.293,0.127
58.667,41.746,-0.124
,,0.908
0.781,0.829,-0.135
-0.312,-0.225,0.234
0.002,0.129,0.218
2.097,2.055,0.044
,,
,,0.026
0.309,0.398,0.108
,,-0.036
,,
-0.054,-0.113,-0.044
,,2.285
,,0.052
,,0.628
,,0.607
,,
-0.118,-0.119,-0.082
2.79,2.736,0.149
-0.313,-0.316,0.061
0.094,0.098,0.007
0.83,0.757,-0.076
-0.484,-0.501,0.062
,,-0.144
,,0.116
0.394,0.411,0.183
-0.254,-0.321,0.079
0.827,0.865,0.101
,,0.143
,,-0.311
-0.313,-0.301,0.09
8.0,4.369,0.023
0.25,0.172,0.213
,,-0.126
,,-0.126
-0.766,-0.718,0.091
,,
-0.469,-0.471,-0.057
0.331,0.368,0.084
0.242,0.277,0.194
0.319,0.422,0.645
0.792,0.78,0.063
,,-0.004
,,
,,0.443
,,0.568
0.111,0.112,0.144
4.824,4.762,0.145
,,-0.045
,,0.364
-0.368,-0.383,-0.242
,,0.0
-0.647,-0.677,-0.395
0.355,0.25,0.02
-0.046,-0.058,0.05
,,-0.149
-0.816,-0.821,0.082
,,1.307
0.702,0.688,-0.055
-0.369,-0.385,-0.024
0.803,-0.064,-0.059
,,-0.138
,,
-0.393,-0.317,0.187
0.142,0.066,0.105
,,0.115
,,-0.06
6.613,6.602,0.266
0.111,0.13,-0.017
0.527,0.547,
-0.72,-0.675,-0.17
,,
0.141,0.151,0.091
0.126,2.216,0.023
-0.256,-0.256,-0.008
,,0.07
,,0.526
-0.958,-0.958,0.539
,,0.166
,,0.386
-0.738,-0.746,0.068
,,-0.44
-0.025,-0.04,-0.045
,,0.47
0.492,0.43,0.264
0.8,3.081,0.375
,,1.515
-0.242,-0.236,0.035
-0.12,-0.113,0.001
,,0.043
0.241,0.155,0.015
,,0.078
,,-0.323
