Op CF,FCF,Op CF M,FCF M
76158001152.0,55443001344.0,0.5127967079979825,0.373315845225335
136162000896.0,61070376960.0,0.48331701857765264,0.2167737865299515
108564996096.0,94873747456.0,0.2656836934639215,0.23217803659831865
133707997184.0,49786499072.0,0.36001173175199513,0.13405124694310086
133707997184.0,49786499072.0,0.36001173175199513,0.13405124694310086
121136996352.0,31024001024.0,0.1807912245234703,0.046301850827208106
102299000832.0,31991250944.0,0.5721292676020976,0.17891798378680018
,,,
23235000320.0,26148749312.0,0.4073028867300829,0.45838007025940375
,,,
2134835593216.0,694674063360.0,0.62767150043963,0.20424388325323803
27412000768.0,28266250240.0,0.07405626599665442,0.07636410651735748
27412000768.0,28266250240.0,0.07405626599665442,0.07636410651735748
15765000192.0,1339624960.0,0.17002804911913466,0.014448069503715159
-148615004160.0,,-0.907583608196002,
37604999168.0,9960500224.0,0.05489091634896858,0.014539050570029435
23484999680.0,18054000640.0,0.6038361785297052,0.4641966745656116
20821000192.0,678000000.0,0.36274150764538127,0.011812052250883939
10938200064.0,-2265437440.0,0.2053809638879271,-0.042536955105285414
,,,
16952999936.0,15459624960.0,0.5605965496810162,0.5112140886365966
9070451712.0,22694656000.0,0.21755238726790452,0.5443253266529129
2134835593216.0,694674063360.0,0.62767150043963,0.20424388325323803
54300999680.0,20748249088.0,0.16464027589753433,0.06290855553985789
23028000768.0,11079499776.0,0.2540964746386696,0.12225385356742095
12426000384.0,5910374912.0,0.04623180828032797,0.021989965503967288
17871998976.0,11005500416.0,0.1082797048708187,0.06667817845113065
17816999936.0,11380124672.0,0.2113924388355471,0.1350211773759901
1729613056.0,1269297536.0,0.502708709873731,0.3689188888549102
19282999296.0,20039749632.0,0.3305959368364312,0.34356998627971985
-22677999616.0,,-0.23033872219448243,
-148615004160.0,,-0.907583608196002,
-148615004160.0,,-0.907583608196002,
7189000192.0,7365875200.0,0.2003232332455437,0.20525189822489934
7189000192.0,7365875200.0,0.2003232332455437,0.20525189822489934
32134000640.0,14433874944.0,0.16978310948258452,0.07626277839879589
163508994048.0,16072999936.0,0.16410847916098936,0.01613192956393155
1300999936.0,1707124992.0,0.027644382869734457,0.03627395788383834
11183800320.0,8555400192.0,0.3477193121871008,0.2659988362746117
25526999040.0,5070750208.0,0.30370483518244284,0.06032872699837645
