Quick R,Curr R,Cash,Debt,Net Debt,D/E,D/EBITDA
0.585,0.936,265900000.0,1512400000.0,1246500000.0,26.589,2.057407065927049
185.861,188.059,129274003456.0,4210512101376.0,4081238097920.0,4142.737,
0.222,0.68,124100000.0,4454900224.0,4330800224.0,79.122,3.4768597012873728
2.114,3.415,3054802944.0,472367008.0,-2582435936.0,2.813,0.17660428306514328
185.861,188.059,129274003456.0,4210512101376.0,4081238097920.0,4142.737,
5.602,6.625,431337984.0,16035000.0,-415302984.0,2.353,0.26753983482105614
0.461,0.919,326662016.0,2957899008.0,2631236992.0,84.303,2.479011166960515
0.437,1.137,457992992.0,6421760000.0,5963767008.0,136.085,3.3798292839268806
185.861,188.059,129274003456.0,4210512101376.0,4081238097920.0,4142.737,
2.212,3.538,880300032.0,2810800128.0,1930500096.0,60.681,1.549760256708567
2.114,3.415,3054802944.0,472367008.0,-2582435936.0,2.813,0.17660428306514328
1.361,1.473,391265984.0,35159000.0,-356106984.0,1.609,0.04472657374238731
0.476,1.729,85391000.0,8210143232.0,8124752232.0,84.594,5.650558988417109
185.861,188.059,129274003456.0,4210512101376.0,4081238097920.0,4142.737,
64.55,70.241,62238998528.0,13313000448.0,-48925998080.0,61.251,2.269906324513897
1.243,1.529,698116992.0,82099000.0,-616017992.0,7.281,-0.581779690995681
1.013,1.75,3815000064.0,4369999872.0,554999808.0,24.946,0.9674562068294019
0.735,0.982,2347788032.0,23803127808.0,21455339776.0,156.177,6.020197818869685
0.573,1.038,592000000.0,5191000064.0,4599000064.0,54.504,5.0496109571984436
0.788,0.792,619000000.0,4108000000.0,3489000000.0,,3.511111111111111
0.979,1.106,2198703104.0,2862774016.0,664070912.0,186.789,2.1651940752733694
1.209,3.128,497624992.0,3781018880.0,3283393888.0,42.752,2.09572140718189
0.735,0.982,2347788032.0,23803127808.0,21455339776.0,156.177,6.020197818869685
,,45376000000.0,14807000064.0,-30568999936.0,,
0.697,1.357,2239000064.0,4264000000.0,2024999936.0,83.789,2.2729211087420045
0.551,0.666,139700000.0,7209500160.0,7069800160.0,91.404,3.801275923609797
0.788,0.792,619000000.0,4108000000.0,3489000000.0,,3.511111111111111
0.794,2.096,6391000064.0,7542000128.0,1151000064.0,32.953,1.1780693968748646
0.794,2.096,6391000064.0,7542000128.0,1151000064.0,32.953,1.1780693968748646
0.176,1.255,4096999936.0,14348999680.0,10251999744.0,108.96,9.936980387811634
1.108,1.454,14340440719360.0,120259352723456.0,105918912004096.0,113.903,2.4549618425187276
,,3409999872.0,15520000000.0,12110000128.0,,
1.26,1.948,331664000.0,1129400064.0,797736064.0,41.649,1.5104039894734023
1.332,1.606,1579084032.0,272086016.0,-1306998016.0,21.871,1.2259329734795577
1.687,1.881,1882468992.0,1495582976.0,-386886016.0,,6.884663432059439
0.165,0.573,61779000.0,6812720128.0,6750941128.0,116.679,5.6616219755840556
1.505,2.794,17578999808.0,7952000000.0,-9626999808.0,50.205,3.850847576975421
1.199,1.997,2038000000.0,8560999936.0,6522999936.0,81.17,1.930327013894653
1.878,2.633,3095000064.0,1684000000.0,-1411000064.0,14.684,0.7781885397412199
4.147,4.254,1099412013056.0,559112978432.0,-540299034624.0,27.547,0.26215342989663554
185.861,188.059,129274003456.0,4210512101376.0,4081238097920.0,4142.737,
1.449,1.602,1426957056.0,259818000.0,-1167139056.0,7.484,0.304529292872616
0.853,1.116,37138534400.0,88907112448.0,51768578048.0,61.424,1.8199112826454158
,,6829000192.0,23142000640.0,16313000448.0,,
185.861,188.059,129274003456.0,4210512101376.0,4081238097920.0,4142.737,
3.042,3.235,920436992.0,706708992.0,-213728000.0,51.866,21.181782520081526
0.417,1.616,1035889024.0,4568187904.0,3532298880.0,149.659,2.3841807139655304
0.982,1.126,192000000.0,4389000192.0,4197000192.0,30.136,1.0663265772594752
0.788,1.774,1718000000.0,13360000000.0,11642000000.0,111.01,4.749377996430925
,,,,,,
1.534,1.845,2409999872.0,2940000000.0,530000128.0,31.313,2.5925925925925926
0.796,1.39,27079174144.0,65494749184.0,38415575040.0,55.627,1.7233555811371588
1.534,1.845,2409999872.0,2940000000.0,530000128.0,31.313,2.5925925925925926
1.354,1.395,1293307008.0,3004278016.0,1710971008.0,63.387,2.4029342288373745
1.034,1.388,2739000064.0,15507000320.0,12768000256.0,90.626,6.019798260869565
1.282,1.864,27467560960.0,74996277248.0,47528716288.0,63.152,5.19650411116595
1.282,1.864,27467560960.0,74996277248.0,47528716288.0,63.152,5.19650411116595
,,141396000768.0,53579001856.0,-87816998912.0,,
0.293,1.448,4919900160.0,4169999872.0,-749900288.0,35.165,2.463447047848447
1.852,2.78,509700000.0,308200000.0,-201500000.0,10.522,0.3903736383889089
0.676,1.167,61000000.0,5011999744.0,4950999744.0,108.344,3.0338981501210656
1.186,2.345,367889984.0,74461000.0,-293428984.0,2.624,0.11110663467507043
0.244,1.059,371092000.0,5329353216.0,4958261216.0,394.125,4.96904305434353
5.48,5.886,2453937920.0,72117000.0,-2381820920.0,2.378,-0.4691329915953267
1.236,1.837,2276800000.0,3239099904.0,962299904.0,128.776,2.6709819564018944
1.08,1.754,367215008.0,1595229952.0,1228014944.0,73.86,1.5114331021343945
1.431,1.768,123646091264.0,68894113792.0,-54751977472.0,20.441,0.6959448237510432
0.748,1.447,143000000.0,1603100032.0,1460100032.0,43.655,1.5143586170413754
1.534,1.845,2409999872.0,2940000000.0,530000128.0,31.313,2.5925925925925926
1.222,3.081,292977984.0,454086016.0,161108032.0,14.094,0.5801399823662676
,,,,,,
0.853,1.116,37138534400.0,88907112448.0,51768578048.0,61.424,1.8199112826454158
0.328,0.572,329000000.0,11306999808.0,10977999808.0,158.251,6.236624493736331
0.452,0.661,527000000.0,4617999872.0,4090999872.0,568.719,3.5064541354692973
0.902,1.862,816000000.0,6849999872.0,6033999872.0,47.451,3.870056424858757
0.039,0.059,54482000.0,5073380864.0,5018898864.0,83.591,4.0907136814339164
2.553,2.85,2421737984.0,42408000.0,-2379329984.0,1.017,0.039973531353907805
0.273,0.825,98100000.0,6844000256.0,6745900256.0,240.14,9.51480684064204
1.685,2.025,690000000.0,5197199872.0,4507199872.0,112.343,3.6527972111329774
0.779,1.689,2737999872.0,18105999360.0,15367999488.0,97.386,4.688244111834478
3.233,4.482,1458300032.0,1300499968.0,-157800064.0,22.659,0.9609131864205379
1.059,1.456,169557000192.0,873204023296.0,703647023104.0,82.884,3.1816853478341125
0.113,0.503,27800000.0,14811700224.0,14783900224.0,148.129,5.544338404110489
0.956,2.065,7136999936.0,12213000192.0,5076000256.0,102.15,6.520555584258172
1.116,1.387,2174000128.0,2235000064.0,60999936.0,34.549,1.293402814814815
0.381,0.8,616400000.0,535300000.0,-81100000.0,142.519,2.641578334418981
4.38,5.039,1463800064.0,4526499840.0,3062699776.0,60.079,3.6604395970660404
1.222,3.081,292977984.0,454086016.0,161108032.0,14.094,0.5801399823662676
0.969,1.162,762057024.0,364472000.0,-397585024.0,,-0.7573711820655887
1.243,1.963,16544000114688.0,27467999870976.0,10923999756288.0,45.334,4.553999668300939
0.774,1.836,124000000.0,3072000000.0,2948000000.0,246.549,5.785310734463277
1.067,1.943,188228992.0,918899008.0,730670016.0,41.623,1.1043649646299005
1.059,1.456,169557000192.0,873204023296.0,703647023104.0,82.884,3.1816853478341125
0.445,0.559,3839000064.0,5341000192.0,1502000128.0,66.763,3.235009076292804
1.363,2.19,68400000.0,1895800064.0,1827400064.0,89.399,1.5484766923537907
0.295,0.441,2446000128.0,38170001408.0,35724001280.0,114.532,11.70499912821832
8.126,8.187,199028998144.0,0.0,-199028998144.0,,0.0
0.444,0.512,89646000.0,1282737024.0,1193091024.0,110.374,3.23729750098648
1.2,1.762,1448000000.0,8348000256.0,6900000256.0,83.689,2.664538916862589
0.611,1.148,93577003008.0,508166012928.0,414589009920.0,98.619,2.6946258204054363
0.77,0.983,1832700032.0,4977299968.0,3144599936.0,47.908,3.1628010861089373
1.677,3.821,10044199936.0,13216400384.0,3172200448.0,44.06,1.7176871332246024
0.198,0.983,4333000192.0,4775000064.0,441999872.0,54.144,1.916131646869984
7.807,8.226,923646976.0,505635008.0,-418011968.0,43.674,-2.3589443708362103
1.402,3.003,676000000.0,3454000128.0,2778000128.0,62.392,2.4052925682451254
1.402,3.003,676000000.0,3454000128.0,2778000128.0,62.392,2.4052925682451254
1.031,1.167,1803576960.0,3186422016.0,1382845056.0,118.077,2.6762711279495757
1.494,1.725,1156162048.0,586550016.0,-569612032.0,26.694,0.4989269485565713
0.772,0.996,26180999168.0,77748002816.0,51567003648.0,75.009,1.6720000697641295
1.676,2.109,615233024.0,871916992.0,256683968.0,41.692,5.761236087801139
1.287,2.16,306236992.0,3033793024.0,2727556032.0,105.093,2.7299962462060363
0.438,0.723,,1600941056.0,,9.713,0.4660055413865508
0.984,1.213,26524307456.0,18873978880.0,-7650328576.0,29.101,1.3183734346853806
1.125,2.472,698980992.0,2857946112.0,2158965120.0,35.538,2.1873136477720023
0.854,3.76,391600000.0,2609999872.0,2218399872.0,115.676,2.5673813417273266
2.573,2.809,1097883008.0,96805000.0,-1001078008.0,9.908,0.9714988208138893
1.313,2.625,140004999168.0,118311002112.0,-21693997056.0,36.801,1.1329650309076877
13.702,14.697,1679299968.0,1190700032.0,-488599936.0,31.538,-3.0656540473738416
0.141,1.006,179602000.0,3652935936.0,3473333936.0,309.008,4.738650741518318
1.349,1.466,2724999936.0,947000000.0,-1777999936.0,14.421,9.194174757281553
1.281,1.808,1155000064.0,2598000128.0,1443000064.0,115.058,3.754335445086705
0.266,0.334,537000000.0,14133999616.0,13596999616.0,100.713,
0.976,1.464,872000000.0,2360000000.0,1488000000.0,65.247,2.4081632653061225
1.363,2.228,890188992.0,958985984.0,68796992.0,28.278,1.0866130506351044
1.48,1.709,2624999936.0,13175000064.0,10550000128.0,158.697,3.0406183891533045
0.666,1.579,79300000.0,7996100096.0,7916800096.0,178.788,5.211901813608581
1.677,3.821,10044199936.0,13216400384.0,3172200448.0,44.06,1.7176871332246024
1.423,1.77,16355999744.0,6906999808.0,-9448999936.0,233.108,2.8960167686981437
2.017,2.937,1720416000.0,312071008.0,-1408344992.0,12.647,0.24237056852317226
2.268,3.469,4767000064.0,9418999808.0,4651999744.0,37.156,2.94343744
0.984,1.213,26524307456.0,18873978880.0,-7650328576.0,29.101,1.3183734346853806
4.348,4.905,2542599936.0,1102589952.0,-1440009984.0,13.707,3.9073856257476054
2.59,2.726,1691044992.0,2341060096.0,650015104.0,68.171,-27.40421758928676
,,30385999872.0,31229999104.0,843999232.0,,
0.281,1.023,1339000064.0,4059000064.0,2720000000.0,146.906,1.5653683625852586
2.268,3.469,4767000064.0,9418999808.0,4651999744.0,37.156,2.94343744
0.298,1.479,3488000000.0,9521999872.0,6033999872.0,96.552,1.4945848624957296
0.33,0.597,295352000.0,5299667968.0,5004315968.0,,5.491508410682932
0.298,1.479,3488000000.0,9521999872.0,6033999872.0,96.552,1.4945848624957296
,,3409999872.0,15520000000.0,12110000128.0,,
1.062,1.818,390000000.0,3224000000.0,2834000000.0,2149.333,2.1493333333333333
0.833,1.296,535060992.0,3059768064.0,2524707072.0,29.527,3.255820554510398
1.509,1.689,36984000.0,1532227968.0,1495243968.0,129.421,3.7032163110625587
2.456,3.382,290957000704.0,468000000.0,-290489000704.0,0.046,0.0019148936410906434
0.849,1.015,225000000.0,4249999872.0,4024999872.0,238.63,3.4864640269616918
3.155,6.628,254826004480.0,21688000512.0,-233138003968.0,1.573,0.11745295424151825
1.418,3.185,239500000.0,1732300032.0,1492800032.0,23.913,1.3173383632626197
6.196,6.216,2899000064.0,148000000.0,-2751000064.0,2.791,0.11149427105069694
6.196,6.216,2899000064.0,148000000.0,-2751000064.0,2.791,0.11149427105069694
0.733,0.922,3300400128.0,7110300160.0,3809900032.0,129.382,2.7856220368814517
,,40501399552.0,29894500352.0,-10606899200.0,,
1.755,5.013,301911008.0,3481612032.0,3179701024.0,2110.784,3.7862170066953866
4.159,5.105,2212999936.0,27758000128.0,25545000192.0,354.327,18.05985769930442
0.874,1.437,1715079936.0,11042962432.0,9327882496.0,77.079,4.677697106212116
2.59,3.555,1883299968.0,2522500096.0,639200128.0,52.091,2.020100930052671
,,3409999872.0,15520000000.0,12110000128.0,,
0.651,2.175,323257984.0,5174689792.0,4851431808.0,65.957,5.619446407453144
1.325,2.04,473159008.0,989969984.0,516810976.0,40.103,1.8017209920094637
0.874,1.437,1715079936.0,11042962432.0,9327882496.0,77.079,4.677697106212116
1.285,1.447,432000000.0,3059000064.0,2627000064.0,96.468,3.6855422457831324
1.007,1.792,87020000.0,5314510848.0,5227490848.0,127.199,2.9547302951042824
1.329,1.502,1346393984.0,87748000.0,-1258645984.0,3.252,0.38399900629732464
2.637,3.439,7507999744.0,4897999872.0,-2609999872.0,80.572,-1.7967716955294288
1.229,1.265,7925587968.0,31283546112.0,23357958144.0,77.35,1.5877770068525723
1.771,2.272,1487821952.0,93629000.0,-1394192952.0,4.281,0.12341625841543631
,,7511570120704.0,15488206766080.0,7976636645376.0,,
0.515,0.838,167000000.0,2916000000.0,2749000000.0,604.979,2.08733008846752
0.277,0.393,4405000192.0,3588000000.0,-817000192.0,23.89,
2.146,2.151,226552992.0,8289573888.0,8063020896.0,77.343,6.498405408456358
0.886,2.099,116200000.0,2585400064.0,2469200064.0,31.194,2.301201593557231
1.236,1.303,129732000.0,6998664192.0,6868932192.0,209.953,3.0691708583755313
1.452,1.721,244959008.0,8644077568.0,8399118560.0,105.091,6.326224886664107
1.853,2.525,876200000.0,497800000.0,-378400000.0,35.634,1.4771513353115726
0.002,0.238,1548000.0,5956016128.0,5954468128.0,139.058,5.905880962765937
0.72,1.105,950000000.0,1600600064.0,650600064.0,48.553,0.9885739190696279
0.448,0.984,261404000.0,1755831040.0,1494427040.0,129.438,2.243357489650943
1.256,1.313,155992992.0,1691725056.0,1535732064.0,94.807,2.0483288112314475
1.18,3.884,444000000.0,2836999936.0,2392999936.0,71.049,2.2768859839486355
3.291,3.584,113493000192.0,36862001152.0,-76630999040.0,33.028,0.5782728290075323
0.28,0.677,200000000.0,20157999104.0,19957999104.0,153.13,6.2389349132492
1.18,3.884,444000000.0,2836999936.0,2392999936.0,71.049,2.2768859839486355
1.557,2.303,656800000.0,2230400000.0,1573600000.0,124.847,2.3880085653104923
0.608,0.999,301000000.0,7375000064.0,7074000064.0,139.757,3.7956766963853275
0.727,0.791,948691968.0,132937000.0,-815754968.0,6.598,0.4502385918738845
1.226,1.465,364115008.0,1620504064.0,1256389056.0,75.191,1.9008355144070983
0.683,1.162,12922404864.0,29377452032.0,16455047168.0,126.018,8.359960427833977
1.129,1.669,125800000.0,1898599936.0,1772799936.0,53.957,2.6572428565875037
0.664,1.837,1352000000.0,4087000064.0,2735000064.0,54.985,2.71021224403183
1.054,1.098,17280999424.0,17577000960.0,296001536.0,63.909,3.7783748909578736
,,,,,,
6.504,7.26,3048699904.0,0.0,-3048699904.0,,0.0
0.77,1.394,819000000.0,4655399936.0,3836399936.0,122.695,5.9608193802816904
2.373,3.553,534920992.0,51368000.0,-483552992.0,2.054,0.07604238344991823
0.111,0.768,39484000.0,2695628032.0,2656144032.0,136.724,2.472908042096611
2.737,3.224,1686000000.0,3326000128.0,1640000128.0,42.527,1.1878571885714286
0.497,0.596,2068557952.0,7522263040.0,5453705088.0,831.966,2.7411727906333923
0.544,0.884,2582000128.0,57730998272.0,55148998144.0,194.715,6.418834677964291
0.638,0.873,50901000.0,2037760000.0,1986859000.0,55.748,1.3087371853502328
,,5094199808.0,3917955072.0,-1176244736.0,,
0.774,1.096,401400000.0,4110599936.0,3709199936.0,57.398,3.058937148554861
0.462,0.487,416767008.0,96213843968.0,95797076960.0,714.051,
0.615,1.04,255700000.0,3550200064.0,3294500064.0,161.255,2.4847424860022396
1.114,1.221,191052000.0,2670660096.0,2479608096.0,88.598,2.8065299119040565
1.238,1.294,390396000.0,3585662976.0,3195266976.0,37.526,2.311688823967895
0.772,0.996,26180999168.0,77748002816.0,51567003648.0,75.009,1.6720000697641295
0.462,0.487,416767008.0,96213843968.0,95797076960.0,714.051,
0.171,0.257,16362000384.0,229837996032.0,213475995648.0,440.083,14.896493173366602
1.477,1.483,793822976.0,454880000.0,-338942976.0,20.887,
1.044,2.188,909200000.0,3909792000.0,3000592000.0,46.099,3.5365291701931327
1.703,1.781,711000000.0,4184999936.0,3473999936.0,392.958,2.8842176095176244
2.876,3.201,975600000.0,489800000.0,-485800000.0,18.179,0.9283548142532221
2.869,3.018,604163968.0,7196993024.0,6592829056.0,145.886,5.308816903461718
0.526,0.983,27850240000.0,419985981440.0,392135741440.0,94.168,4.912705926544881
2.602,2.85,2253275904.0,567158016.0,-1686117888.0,21.893,3.967444179132676
0.175,0.369,2116000000.0,2975000064.0,859000064.0,27.905,2.277947981623277
1.344,1.541,291305984.0,853251968.0,561945984.0,275.632,-5.264745325250126
1.277,1.283,2680999936.0,7657999872.0,4976999936.0,22.153,-232.06060218181818
1.403,1.62,520544992.0,13657519104.0,13136974112.0,62.825,6.902090899587761
0.462,0.487,416767008.0,96213843968.0,95797076960.0,714.051,
0.929,1.683,299480992.0,1309673984.0,1010192992.0,94.931,1.651314392176331
1.972,2.447,699073984.0,3232854016.0,2533780032.0,119.115,2.9801411021980906
1.203,1.319,272000000.0,805000000.0,533000000.0,72.327,1.319672131147541
0.152,0.809,377224000.0,1112843008.0,735619008.0,14.999,0.47397192613656186
,,52716365676544.0,31475374227456.0,-21240991449088.0,,
0.571,0.704,912000000.0,6325000192.0,5413000192.0,162.722,7.976040595208071
,,52862625251328.0,91801293684736.0,38938668433408.0,,
0.671,0.788,159088000.0,5044620800.0,4885532800.0,73.57,5.1475406453015085
0.388,0.956,5756517089280.0,5312497057792.0,-444020031488.0,466.761,15.794738839286802
1.51,2.917,1565586048.0,81275000.0,-1484311048.0,1.507,0.06714489506669326
0.483,4.262,852310976.0,2942519040.0,2090208064.0,36.277,1.5235168802817671
0.25,0.742,817000000.0,16113000448.0,15296000448.0,453.887,1.7722174330936717
0.918,1.449,467900000.0,1162599936.0,694699936.0,45.35,1.4664479515640767
1.082,1.187,263706000.0,23157000.0,-240549000.0,9.239,0.08208238134737805
1.288,1.353,734184000.0,5021512192.0,4287328192.0,96.772,4.978596530591215
0.446,0.748,1213547020288.0,12667273084928.0,11453726064640.0,88.49,2.847774817350266
0.572,0.858,1165526016.0,6921413120.0,5755887104.0,50.679,3.044997464826866
0.388,0.956,5756517089280.0,5312497057792.0,-444020031488.0,466.761,15.794738839286802
0.572,0.858,1165526016.0,6921413120.0,5755887104.0,50.679,3.044997464826866
0.348,0.427,46330000.0,149832000.0,103502000.0,86.934,0.29583179960127387
1.284,4.413,3253900032.0,3835399936.0,581499904.0,26.57,2.3531504145648117
1.916,6.947,3468999936.0,6893000192.0,3424000256.0,74.015,11.987826420869565
2.099,2.999,2278500096.0,4115200000.0,1836699904.0,41.504,60.52654802176791
0.313,1.299,532200000.0,81200000.0,-451000000.0,4.506,0.1592156862745098
0.935,0.935,9697343488.0,46397902848.0,36700559360.0,220.603,2.2843753210874023
0.95,1.569,5918000128.0,5734000128.0,-184000000.0,47.221,3.7440417944437887
5.633,7.663,20159232000.0,56623000.0,-20102609000.0,0.146,0.016441241449660127
1.065,1.961,8000000.0,2545999872.0,2537999872.0,139.813,2.773420339869281
0.28,0.677,200000000.0,20157999104.0,19957999104.0,153.13,6.2389349132492
0.935,0.935,9697343488.0,46397902848.0,36700559360.0,220.603,2.2843753210874023
0.908,1.197,58086000.0,683222016.0,625136016.0,359.063,8.229111906052394
0.908,1.197,58086000.0,683222016.0,625136016.0,359.063,8.229111906052394
0.667,1.224,492000000.0,7815000064.0,7323000064.0,214.403,5.704379608759124
0.618,1.37,808600000.0,14758299648.0,13949699648.0,94.784,3.5882951940294348
0.793,1.161,1536000000.0,8115999744.0,6579999744.0,62.9,2.0562451513555384
0.823,1.061,99100000.0,2685700096.0,2586600096.0,86.967,2.0932969306539335
1.689,3.298,379400000.0,4056199936.0,3676799936.0,106.487,4.448094888013546
1.46,2.562,130157000.0,2323457024.0,2193300024.0,78.487,2.8810246234488828
0.883,1.116,1691000064.0,6083999744.0,4392999680.0,115.512,6.317756743509865
0.728,1.521,230000000.0,5976999936.0,5746999936.0,114.854,2.28740913983704
185.861,188.059,129274003456.0,4210512101376.0,4081238097920.0,4142.737,
0.513,0.585,55726000.0,4770766848.0,4715040848.0,526.062,4.73546407695742
0.291,0.584,3839000064.0,2728000000.0,-1111000064.0,11.84,0.5852821041891946
0.866,1.002,492000000.0,8869000192.0,8377000192.0,68.492,3.3367195707675337
16.887,17.225,990984000.0,40194000.0,-950790000.0,4.474,-0.0669394615990189
2.086,3.404,1253948032.0,1588628992.0,334680960.0,57.219,4.659146161088478
1.387,1.441,344500000.0,2141299968.0,1796799968.0,70.366,2.4200949005424954
1.261,3.326,132900000.0,981200000.0,848300000.0,31.485,1.9722613065326633
0.509,0.837,19722452992.0,30354034688.0,10631581696.0,414.976,-1.8510534119857636
1.209,2.296,1686000000.0,9724999680.0,8038999680.0,133.347,4.769494543772609
0.038,0.507,9908000.0,3274923008.0,3265015008.0,180.64,4.423790255789755
1.971,3.051,568200000.0,1875600000.0,1307400000.0,46.768,2.08585409252669
1.585,1.586,53211742208.0,35034992640.0,-18176749568.0,337.44,
0.883,1.116,1691000064.0,6083999744.0,4392999680.0,115.512,6.317756743509865
0.509,0.837,19722452992.0,30354034688.0,10631581696.0,414.976,-1.8510534119857636
1.156,1.893,66688000000.0,48644001792.0,-18043998208.0,13.751,0.5441345970573789
3.067,3.599,753657024.0,944774016.0,191116992.0,93.491,-12.721830442744801
0.26,0.809,69900000.0,7811700224.0,7741800224.0,128.427,3.622901612033069
2.307,3.163,20371439616.0,98415149056.0,78043709440.0,227.437,4.184465492722943
1.842,3.648,315500000.0,738300032.0,422800032.0,39.126,1.1676419336319122
6.202,6.468,840972992.0,11841000.0,-829131992.0,1.155,0.04854759184264666
1.54,4.007,99358000.0,9360363520.0,9261005520.0,109.007,6.174593932254269
0.106,0.188,6748000256.0,184853004288.0,178105004032.0,457.648,16.268332643021598
0.638,0.967,2273999872.0,3592000000.0,1318000128.0,33.96,2.8667200187311104
0.171,0.9,155300000.0,8516299776.0,8360999776.0,151.229,5.6635631823063255
3.679,3.884,2893044992.0,4191994880.0,1298949888.0,202.575,-8.373271971876
0.694,1.255,767099008.0,4105704960.0,3338605952.0,49.215,2.461641204648442
,,39870000.0,223444992.0,183574992.0,10.972,0.28672343109429205
,,10593000448.0,19829999616.0,9236999168.0,,
,,,,,,
3.72,10.095,3481400064.0,4027500032.0,546099968.0,35.579,1.7831053149779208
1.916,6.947,3468999936.0,6893000192.0,3424000256.0,74.015,11.987826420869565
1.534,1.934,617297984.0,929620992.0,312323008.0,48.456,
0.039,0.059,54482000.0,5073380864.0,5018898864.0,83.591,4.0907136814339164
0.643,1.064,936000000.0,6703000064.0,5767000064.0,198.784,3.2618004161775054
0.791,0.888,447582016.0,16584486912.0,16136904896.0,211.337,8.745832853233692
0.276,1.914,824000000.0,12172999680.0,11348999680.0,238.733,6.333506597294485
2.518,3.523,40862000.0,64291000.0,23429000.0,7.252,0.6158967677657924
3.032,3.318,1598000000.0,37000000.0,-1561000000.0,1.06,0.06583629893238434
1.169,1.344,30432800768.0,2278266880.0,-28154533888.0,12.769,0.6978012956653344
2.233,2.825,842492992.0,2082402944.0,1239909952.0,97.127,2.043581051120512
1.053,1.29,137595008.0,5007996928.0,4870401920.0,70.09,2.0766249328048874
0.926,1.486,378200000.0,280300000.0,-97900000.0,7.469,0.36144421461480997
0.658,1.019,494046016.0,792534016.0,298488000.0,,-3.187963153956927
0.653,0.785,8590000128.0,14021000192.0,5431000064.0,135.573,4.085373016317016
0.001,1.002,61838999552.0,52487999488.0,-9351000064.0,16.203,0.4795581619418223
2.017,3.054,1109200000.0,842300032.0,-266899968.0,16.935,0.6738939198619046
0.339,0.455,176800992.0,922905984.0,746104992.0,62.944,1.288946034725481
0.028,0.037,33091000.0,3828363008.0,3795272008.0,82.154,4.316211477158483
0.954,1.034,1984752000.0,12169550848.0,10184798848.0,,7.139233065682036
0.817,2.516,83669000.0,1553373952.0,1469704952.0,119.571,2.449660651180742
3.297,3.516,143551008.0,6688000.0,-136863008.0,0.257,0.012926269240581682
1.366,1.635,24048031744.0,6654898176.0,-17393133568.0,25.01,1.35456870582463
1.366,1.635,24048031744.0,6654898176.0,-17393133568.0,25.01,1.35456870582463
0.854,3.76,391600000.0,2609999872.0,2218399872.0,115.676,2.5673813417273266
0.653,0.785,8590000128.0,14021000192.0,5431000064.0,135.573,4.085373016317016
0.505,0.609,255386000.0,5038021120.0,4782635120.0,322.877,3.9198489087734134
0.634,0.709,187700000.0,1559000064.0,1371300064.0,100.451,5.366609514629948
0.281,1.043,311800000.0,7143300096.0,6831500096.0,78.818,4.919966897555658
0.502,0.632,355846016.0,3187182080.0,2831336064.0,58.815,2.102874730372362
0.835,0.86,4331576832.0,2355686912.0,-1975889920.0,42.088,
5.55,6.908,1708999936.0,56000000.0,-1652999936.0,0.464,-0.22544283413848631
2.195,2.203,490000000.0,5642999808.0,5152999808.0,83.267,3.496282408921933
0.782,1.625,849036032.0,3365046016.0,2516009984.0,89.674,1.412963410053899
,,14349652459520.0,28057372983296.0,13707720523776.0,,
0.778,2.003,223531008.0,1487545984.0,1264014976.0,57.764,2.0006992964255055
3.344,5.561,1432125056.0,603865984.0,-828259072.0,10.019,0.632219098748307
,,4239000064.0,5257999872.0,1018999808.0,,
1.135,1.662,546600000.0,3348800000.0,2802200000.0,1241.676,3.393595460072963
0.806,1.964,1351000064.0,1708999936.0,357999872.0,37.843,1.4544679514162138
0.742,1.483,432000000.0,1730000000.0,1298000000.0,71.37,2.0243388719868944
1.422,2.387,1317900032.0,1207800064.0,-110099968.0,21.368,1.3932404067178372
7.066,7.762,546851008.0,19265000.0,-527586008.0,1.635,-0.05677230639762391
0.699,0.808,12449999872.0,37768998912.0,25318999040.0,307.24,5.570648596742472
0.175,1.038,625200000.0,1229400064.0,604200064.0,45.495,4.69236665648855
0.575,0.902,5219999744.0,22766999552.0,17546999808.0,207.539,6.340016470687537
0.511,0.734,25071000.0,7803106816.0,7778035816.0,116.114,6.038981403231851
0.829,1.189,9343580160.0,12459504640.0,3115924480.0,38.453,1.2870751892957524
1.983,2.31,966624000.0,5271114752.0,4304490752.0,117.988,4.581549988251462
3.667,4.432,783600000.0,289300000.0,-494300000.0,14.76,4.3503759398496245
1.627,2.114,278000000.0,472000000.0,194000000.0,18.154,1.126491646778043
2.159,3.217,638268032.0,1430242944.0,791974912.0,84.615,1.7200798697306283
1.025,1.132,541600000.0,1034000000.0,492400000.0,64.045,1.8694629184183449
5.916,6.184,778030976.0,29046000.0,-748984976.0,1.242,0.04561530246874804
0.137,0.816,166400000.0,14314399744.0,14147999744.0,443.954,3.900062697437817
0.246,0.522,18841000.0,14004524032.0,13985683032.0,205.106,6.966606810876226
0.992,1.625,7409815040.0,6172419072.0,-1237395968.0,40.951,0.9857464833508642
1.871,2.927,332200000.0,60300000.0,-271900000.0,3.193,0.14228409627182634
1.005,1.172,228116992.0,21520000.0,-206596992.0,0.318,-0.2609117361784675
0.577,1.071,326000000.0,1440000000.0,1114000000.0,170.012,5.217391304347826
104.476,105.047,167516995584.0,3350240952320.0,3182723956736.0,5169.248,
0.136,0.407,1803000064.0,2084400000.0,281399936.0,37.909,1.701967784385589
0.637,1.03,613777984.0,6206436864.0,5592658880.0,119.064,5.263095464359381
1.024,1.056,27411987038208.0,22665303687168.0,-4746683351040.0,1196.866,
