Quick R,Curr R,Cash,Debt,Net Debt,D/E,D/EBITDA
0.928,1.112,7369999872.0,12341999616.0,4971999744.0,52.23,2.3598469051509743
0.731,1.338,4428000256.0,40747999232.0,36319998976.0,218.336,2.909116802014459
0.715,1.447,,,,,
,,1425618763776.0,5996128239616.0,4570509475840.0,,
,,382125998080.0,381009985536.0,-1116012544.0,,
,,791865982976.0,489414983680.0,-302450999296.0,,
0.497,0.637,3467000064.0,174740996096.0,171273996032.0,167.439,3.5006308481461206
1.179,1.248,17595000832.0,19239000064.0,1643999232.0,,2.1500894741196808
1.291,1.933,6390000128.0,35228999680.0,28838999552.0,69.618,3.2565169252019013
3.739,5.812,5359000064.0,14042999808.0,8683999744.0,85.612,1.8701557396364494
0.921,1.092,6131999744.0,2408999936.0,-3722999808.0,22.036,1.0501306894434488
1.395,1.69,367898558464.0,141732937728.0,-226165620736.0,43.692,1.6213129560280748
0.776,1.124,10440999936.0,140305006592.0,129864006656.0,156.357,3.3779945743655984
0.776,1.124,10440999936.0,140305006592.0,129864006656.0,156.357,3.3779945743655984
2.979,3.85,5820000256.0,1139000064.0,-4681000192.0,9.395,0.7240941578779568
0.969,1.339,163444965376.0,265481224192.0,102036258816.0,81.674,3.2234066319029107
0.136,1.093,1600109019136.0,1611381997568.0,11272978432.0,18.764,0.839230834764378
,,151082252632064.0,105838354104320.0,-45243898527744.0,,
1.915,2.273,364500844544.0,11252827136.0,-353248017408.0,3.413,0.11340812973562053
1.647,2.308,11658000384.0,14709999616.0,3051999232.0,28.507,1.7172541905430148
,,151082252632064.0,105838354104320.0,-45243898527744.0,,
0.561,0.561,82110996480.0,55318999040.0,-26791997440.0,111.866,
,,991104008192.0,778903027712.0,-212200980480.0,,
0.336,1.231,22257999872.0,55646998528.0,33388998656.0,,-7.941629516160369
0.807,0.982,1847000064.0,12014999552.0,10167999488.0,31.651,1.654958557621296
3.971,5.167,5326499840.0,0.0,-5326499840.0,,0.0
0.369,1.156,12007999488.0,13354999808.0,1347000320.0,57.694,1.8707102069164252
1.721,3.194,10010999808.0,14787999744.0,4776999936.0,54.35,1.0661091645603709
2.584,3.333,8844399616.0,0.0,-8844399616.0,,0.0
0.136,1.093,1600109019136.0,1611381997568.0,11272978432.0,18.764,0.839230834764378
0.669,1.028,7491999744.0,1059000000.0,-6432999744.0,10.646,0.437784196768008
0.817,1.306,8028000256.0,56204001280.0,48176001024.0,756.651,3.48055500192111
0.988,1.348,10785000448.0,5586999808.0,-5198000640.0,30.934,0.6290249818188693
1.318,1.461,9637395456.0,8165258240.0,-1472137216.0,25.881,0.6938659244439247
0.333,0.542,1728000000.0,93188997120.0,91460997120.0,152.939,6.364064405074055
0.645,1.372,534000000.0,12026999808.0,11492999808.0,53.092,2.556216784611663
0.533,0.765,5369999872.0,32024999936.0,26655000064.0,160.679,2.7080162593122004
0.522,1.174,4639000064.0,13121000448.0,8482000384.0,147.992,1.7140431532725326
0.533,0.765,5369999872.0,32024999936.0,26655000064.0,160.679,2.7080162593122004
0.824,0.993,5712999936.0,6581000192.0,868000256.0,57.486,0.7407699664157037
0.876,1.784,2464000000.0,17127999488.0,14663999488.0,80.827,2.681277422418131
0.778,1.158,13249000448.0,62044000256.0,48794999808.0,69.703,2.531788210085059
1.1,1.619,2956999936.0,18555000832.0,15598000896.0,35.45,2.467092273619719
0.248,0.317,2228000000.0,6895000064.0,4667000064.0,21.148,0.5031010650272505
7.986,8.1,2069258960896.0,225194999808.0,-1844063961088.0,41.354,1.7181506820632741
0.969,1.315,6057999872.0,24945999872.0,18888000000.0,127.34,1.8075501766309117
0.243,1.047,5256000000.0,39060000768.0,33804000768.0,,3.1163237565556345
,,,,,,
,,421010997248.0,366860009472.0,-54150987776.0,,
1.215,1.473,6850999808.0,2449999872.0,-4400999936.0,36.97,1.2720663925233644
,,421010997248.0,366860009472.0,-54150987776.0,,
2.536,2.736,1192608000.0,3510958080.0,2318350080.0,300.821,1.0732132401998828
4.878,4.988,2905999872.0,396000000.0,-2509999872.0,5.651,0.4204714376725419
1.062,1.46,11943999488.0,25551998976.0,13607999488.0,48.933,1.0618791657049247
0.514,0.996,25607000064.0,63082000384.0,37475000320.0,53.009,1.7788117268746595
0.514,0.996,25607000064.0,63082000384.0,37475000320.0,53.009,1.7788117268746595
0.909,1.294,10677000192.0,37647998976.0,26970998784.0,226.06,3.780299099714917
1.062,1.46,11943999488.0,25551998976.0,13607999488.0,48.933,1.0618791657049247
,,60996001792.0,55851999232.0,-5144002560.0,,
0.43,0.811,153390956544.0,41127972864.0,-112262983680.0,16.708,0.35289234751117454
0.686,1.24,584000000.0,11633999872.0,11049999872.0,62.391,1.978907934231994
0.464,0.648,1080000000.0,33955999744.0,32875999744.0,208.857,2.7459161727739554
1.338,2.016,3226400000.0,8062400000.0,4836000000.0,69.505,1.5453796833806233
1.978,2.193,6880999936.0,66645999616.0,59764999680.0,263.798,7.7939421257382415
,,,,,,
1.8,2.755,10810999808.0,16213000192.0,5402000384.0,31.948,1.0330041831657135
0.53,0.867,4893000192.0,35325001728.0,30432001536.0,74.878,2.879912002455062
