P/E (TTM),P/E (FWD),P/S (TTM),P/B,PEG R
27.136612,17.263035,2.2231061,11.081523,-29.408918228279386
44.172974,28.034306,14.862844,15.313407,40.57063096960927
5.0517387,,2.567915,0.4778591,
16.052813,39.92797,4.1518064,8.701634,112.47315492957748
21.277496,18.866367,3.100662,10.491051,-120.16794267515924
57.00654,31.388216,10.70381,9.675925,-169.66603243243244
25.056479,25.308723,0.07050346,0.106437325,-1150.3965
254.55092,,2.4766982,24.078735,
15.033112,14.692555,3.3049636,1.5725121,144.04465686274511
10.472093,9.520084,1.3858459,1.8421698,114.69980722891566
39.86555,27.213438,7.395985,-27.813446,-71.2393664921466
28.011581,20.594296,4.2273808,3.6164377,349.0558644067797
36.760075,34.134354,10.942903,11.122749,218.80996153846155
110.72853,52.51317,15.093965,16.647114,114.1590652173913
28.108696,,0.48220527,0.19889553,
12.29097,20.646069,1.49386,3.0449913,76.46692222222222
12.25418,,1.4893886,3.035877,
75.933334,73.88107,17.743149,14.647946,17.149737697307334
26.524391,17.4,0.21658453,1.2346205,-22.365038560411307
22.06015,,0.01351183,0.021235418,
14.259258,,0.032211687,0.008785321,
13.193133,8.726756,0.43347853,0.5191186,-18.372117894736842
27.161314,22.907333,8.07356,3.5419729,1145.36665
14.166666,14.854369,0.03200252,0.008728274,14854.369
25.758064,25.21579,8.042836,4.0727673,39.64746855345911
13.676514,12.877607,2.3405275,0.8657883,45.18458596491228
,477.5745,2.2532058,-51.375603,
42.397545,32.863773,11.473464,5.0512033,391.23539285714287
65.6257,59.78117,18.418936,9.436668,249.08820833333334
28.679504,,2.3793151,7.154377,
14.891788,12.602617,3.8446097,6.1403933,42.866044217687076
51.77647,13.569373,20.871044,15.275947,39.21784104046243
20.774435,23.218485,0.012724331,0.01999777,682.8966176470589
147.44525,87.82609,4.505469,18.583826,-146.37681666666666
24.1634,14.3086605,4.560127,21.433437,15.552891847826087
23.07306,22.457777,4.1003537,8.715075,2807.222125
20.206047,18.051884,2.310055,5.176603,122.80193197278913
26.508713,20.673914,6.049299,3.0842826,85.7838755186722
62.625,37.70968,8.429487,6.9473057,26.763435060326472
24.24138,18.077143,2.595371,8.717278,-531.6806764705882
32.431602,29.893478,2.6484056,17.49491,204.74984931506853
23.946362,19.715094,2.563785,8.611188,-579.8557058823529
22.62676,17.19854,6.633556,13.182768,133.32201550387597
50.90344,28.442719,6.1769757,6.942755,406.3245571428571
13.619047,8.784983,2.2926395,1.6497885,0.12596763693719532
43.29087,24.331741,6.080164,2.7892535,-65.93967750677507
14.033258,18.039854,1.77217,4.476069,15.326978759558196
5.368421,,0.4752239,0.16242038,
23.089462,15.631225,4.9928164,7.331608,74.79055023923445
21.145575,20.241488,1.7152998,-12.580582,843.3953333333334
4.5351562,,,0.9214285,
10.073684,12.113923,2.8344243,1.4438745,76.67039873417721
153.21555,77.38159,8.540165,21.408785,
10.052632,,2.8285007,1.440857,
57.364384,81.155045,24.687288,121.555885,48.077633293838865
201.93938,64.69903,34.258232,20.142057,-150.81358974358974
15.352113,12.330317,2.7130818,5.8028107,-36.26563823529412
11.494565,7.804428,0.74224216,1.198504,-29.012743494423788
11.442029,7.8459625,0.73884976,1.1930262,-29.167146840148696
24.734926,19.747501,3.4518456,8.576387,519.6710789473684
15.028249,,2.6677785,2.8321977,
573.0,13.538314,5.7032766,1.2845588,
20.239437,1.7341104,0.16384454,0.57929534,1.7569507598784195
34.74648,28.662241,5.17359,7.2265816,2388.5200833333333
19.574284,18.60446,5.4774694,8.217829,124.02973333333334
43.350597,50.374996,7.05964,11.525262,45.87886703096539
25.391758,21.955797,2.9791584,5.2339787,-89.61549795918367
919.58936,,,212.3247,
20.82554,8.996892,3.832374,2.5531962,1.9549960886571056
31.526596,12.610639,5.057447,2.8776035,788.1649375000001
19.05125,16.495356,4.482972,6.5398307,198.73922891566266
32.5,,0.0130072525,0.02198869,
64.71361,22.7084,5.955807,4.7829556,-74.21045751633987
32.418602,11.241935,0.012927311,0.021933619,102.19940909090909
10.595684,12.71848,2.0392323,1.0362489,3.4787964989059077
30.851065,12.008282,4.949079,2.815944,750.517625
