Rev,Gr P,EBITDA,Op P,Net Inc,ROA,ROE,EPS (TTM),EPS (FWD)
32163299328.0,16892399616.0,12091700224.0,11140081320.14506,9415199744.0,0.16354999,0.58245,28.03,26.7
41611001856.0,13274000384.0,10380000256.0,8694618837.8112,7584999936.0,0.046079997,0.39567003,7.01,5.24
996347019264.0,398061993984.0,189534994432.0,119940254179.00032,129469997056.0,0.05151,0.114379995,7.47,9.87
98455003136.0,98455003136.0,,30434410569.400322,26594000896.0,0.00838,0.0946,3.514,
98455003136.0,98455003136.0,,30434410569.400322,26594000896.0,0.00838,0.0946,3.514,
422817988608.0,88122998784.0,33577000960.0,19508821994.37312,21296001024.0,0.06464,0.21653,23.09,29.9
39058001920.0,25949999104.0,17838000128.0,19563762581.708797,8207000064.0,0.14794,,6.76,7.2
29600000000.0,15091999744.0,5510000128.0,-377400000.0,2729999872.0,0.0219,0.04699,1.67,5.1
56654000128.0,37211000832.0,15736000512.0,13475153930.4448,10453000192.0,0.06542,0.22583,2.61,3.9
48452151017472.0,8497662001152.0,6870736044032.0,4611191212332.811,4273084039168.0,0.03095,0.11652,22.01,15.78
98455003136.0,98455003136.0,,30434410569.400322,26594000896.0,0.00838,0.0946,3.514,
98455003136.0,98455003136.0,,30434410569.400322,26594000896.0,0.00838,0.0946,3.514,
48452151017472.0,8497662001152.0,6870736044032.0,4611191212332.811,4273084039168.0,0.03095,0.11652,2.2,2.09
98455003136.0,98455003136.0,,30434410569.400322,26594000896.0,0.00838,0.0946,3.514,
98455003136.0,98455003136.0,,30434410569.400322,26594000896.0,0.00838,0.0946,3.514,
56500998144.0,46479998976.0,19128000512.0,13628041317.342781,8295000064.0,0.08276,0.19670999,2.66,5.49
77618003968.0,77618003968.0,,25693887853.52704,19483000832.0,0.01059,0.114980005,5.82,5.49
56500998144.0,46479998976.0,19128000512.0,13628041317.342781,8295000064.0,0.08276,0.19670999,5.32,
98455003136.0,98455003136.0,,30434410569.400322,26594000896.0,0.00838,0.0946,3.514,
55186001920.0,42097000448.0,23552000000.0,20324451543.396763,13653999616.0,0.11875,0.32488,6.86,8.42
55186001920.0,42097000448.0,23552000000.0,20324451543.396763,13653999616.0,0.11875,0.32488,6.86,
311937990656.0,262831996928.0,159260999680.0,135758532913.39775,111067996160.0,0.21819,0.79168,3.89,
311937990656.0,262831996928.0,159260999680.0,135758532913.39775,111067996160.0,0.21819,0.79168,3.89,4.07
