Gr M,EBITDA M,Op M,Net Inc M
0.0,0.0,0.30912,0.28514
0.82264,0.33854,0.24120001,0.14681
0.0,0.0,0.33103,0.26516
0.82264,0.33854,0.24120001,0.14681
0.0,0.0,0.30912,0.28514
0.76282,0.42676997,0.36828998,0.24742001
0.76282,0.42676997,0.36828998,0.24742001
0.84258,0.51055,0.43521,0.35606
0.84258,0.51055,0.43521,0.35606
0.77336997,0.29038,0.20124,0.16079001
0.86474997,0.0,0.34117,0.22489999
0.56318,0.26568002,0.19726999,0.32426998
0.0,0.0,0.46557,0.33668
0.0,0.0,0.46557,0.33668
0.48446,0.39009997,0.28264,0.20196
0.56992,0.54377997,0.47654998,0.32206002
0.5757,0.22147,0.18319,0.091079995
,,,
0.82781,0.0,0.35735,0.28401
0.77411,0.44533002,0.37473,0.25789
0.34525,0.16676001,0.08655,0.057579998
0.64247,0.0,0.21002,0.15994
0.24923,0.17752,0.110369995,0.05
0.24923,0.17752,0.110369995,0.05
0.59666,0.35981,0.22725001,0.10288999
0.20049,0.16826999,0.11547,0.073520005
0.37612998,0.20618,0.15696,0.12219
0.54685,0.1856,0.17491,0.08229
1.0,0.0,0.5273,0.21204
0.0,0.0,0.33103,0.26516
0.33929002,0.1105,0.11462,0.26676
0.3103,0.22184,0.17738001,0.14946
0.80263,0.29317,0.15697,0.19072
0.0,0.0,0.29772,0.25794
0.0,0.0,0.33103,0.26516
0.0,0.0,0.41936,0.31331
0.59485,0.36436,0.23284,0.1328
0.86773,0.35756,0.33657002,0.19233
0.41278,0.25035,0.17844,0.15237
0.58027,0.45031,0.35027,0.30231002
0.78519,0.19026,0.12068,0.13776
0.24404,0.23366,0.102469996,0.15588
0.44708002,0.34453,0.23313,0.10451
0.44708002,0.34453,0.23313,0.10451
0.49341,0.15708,0.14216,0.23417
0.41263,0.10132,0.08309,0.024349999
0.28765,0.14755,0.13033,0.08813
0.0,0.0,0.38261002,0.23105
0.59733003,0.2464,0.16813,0.24629
0.4902,0.39707002,0.34225,0.29685
0.0,0.0,0.38261002,0.23105
0.97193,0.0,0.47906,0.33676997
0.0,0.0,0.27649,0.19466999
-0.00153,-0.09302,-0.00976,-0.14182
0.69558,0.49388,0.4269,0.27286
0.66612,0.34835,0.30466998,0.28514
0.15357,0.10196,0.0623,0.07044
0.55681,0.32066002,0.26647,0.26766002
0.64236,0.43651,0.4473,0.40895
0.28765,0.14755,0.13033,0.08813
0.18468,0.06607,0.059159998,0.031570002
0.69359,0.46247002,0.32727,0.18956
0.55862,0.22918,0.19845,0.15164
0.32069,0.17184,0.16825001,0.11607
0.61974996,0.56539,0.33851,0.22850001
0.68044,0.25441,0.18632999,0.1355
0.44134998,0.19785999,0.18847,0.092939995
0.30574,0.13215,0.11249,0.08587
