EV/Rev,EV/FCF,EV/EBITDA
-0.142,-0.5282058505319664,-0.37
19.013,12.401098251452044,39.077
7.789,33.18048914285714,22.02
0.918,122.17783010405779,10.351
8.525,-59.80111560816189,13.816
1.486,29.853797731806264,10.176
-0.146,-0.5430850899528293,-0.38
,,
7.501,-16.876620008755918,18.31
4.448,36.272420748942906,9.928
0.963,24.52737807136325,9.696
10.268,17.09731781166087,10.575
6.8,-17.29289940018826,12.926
4.133,66.7262275077159,27.988
2.961,21.92964981922654,15.861
1.561,45.252342674587226,39.375
6.27,28.39999103552054,12.213
1.908,290.85935878461163,13.786
1.569,20.907349342051905,5.005
1.195,,
4.852,-54.69616223209812,12.286
12.944,83.52313245588806,37.523
1.586,18.695120294060274,7.071
12.345,-29.71731073454839,-789.104
13.479,26.013716303839587,19.128
0.534,-595.6485893641134,18.595
0.638,50.94439641144233,11.086
9.586,35.38561252594874,21.038
2.196,14.255287830013891,6.195
2.985,20.698173013272577,14.363
1.058,6.590403482820674,3.887
1260.352,-3033.977256275712,-80563.3
1.053,6.56005150064827,3.869
5.511,79.94221677936459,26.793
1.569,30.12091321916791,10.382
6.108,65.29905241467917,22.599
4.185,48.26619504465294,15.798
7.825,35.26270901399868,25.555
2.364,9.399096880021036,
2.31,42.8682515826958,16.074
,,
2.881,45.207538184825175,17.07
1.183,8.143279720729138,3.821
1.475,87.71713553230023,23.472
0.505,28.452649141692522,9.295
0.461,11.752008752762602,4.646
0.353,36.201007853050896,9.332
2.821,54.41299073735777,11.522
14.156,38.59692689179294,49.86
9.099,47.81796459686865,21.942
0.37,13.499035583623487,5.638
1.681,48.132747480922404,17.288
1.573,3.1563168753639395,5.044
0.036,-3.2111780850282847,1.136
1.931,78.93145264409362,29.017
0.375,13.662207435056649,5.706
4.654,32.17934345312096,19.296
1.868,76.35973186656197,28.072
0.959,41.993346465214366,20.782
8.436,29.51274713446339,14.515
3.932,-50.268394718024425,12.118
13.976,51.199277630695846,1415.346
7.07,20.844042131689484,9.54
11.482,55.81695220303831,18.882
1.973,22.34828742407199,7.088
1.956,22.15390020247469,7.026
16.815,,31.654
6.201,54.714941860989825,21.569
2.586,26.129777816726495,13.323
0.573,20.250557355442158,6.973
8.803,50.44980748906033,36.939
4.716,27.028899142055472,19.79
16.319,43.62677570497146,28.214
2.732,16.426586329643055,5.613
0.468,11.921449227320306,4.713
3.682,38.8207737374897,7.199
0.448,19.813148005243264,10.417
5.388,-17.953122631610345,13.677
8.052,25.267969274385194,-1104.611
0.893,11.537122918009985,5.437
5.813,24.756134408893104,23.587
24.861,78.65087278712687,31.502
1.643,41.356509302471046,9.703
-0.002,0.20682923685136906,-0.073
6.292,30.915951800707205,19.925
0.404,1.7202464883163655,1.117
0.133,,0.482
8.154,34.752914892990034,22.557
0.611,-45.501345308459754,1.787
16.042,55.66423081293207,-558.983
7.528,35.60117309522082,72.673
0.122,,0.442
5.905,-68.08038360104982,15.643
2.525,29.706846923751883,15.516
9.957,17.62329992159642,14.007
3.248,25.663179064556083,13.862
6.713,39.362446165020884,19.068
23.281,133.63271978613994,263.523
11.71,141.78009517259693,77.923
-0.007,-0.16278824010249235,-0.058
3.157,28.92913566055428,23.63
2.99,27.398626952708,22.38
4.385,-140.14763566799186,6.038
5.659,-25.900529149289294,12.37
2.5,31.578576186770427,9.525
3.134,247.72531434218573,28.492
2.183,15.451870070032248,10.405
5.254,-846.9696088275862,35.139
0.035,,0.255
15.113,75.2653118092411,54.54
4.382,38.419916553181174,18.759
6.654,39.13366646710619,24.959
2.015,7.304430081176892,5.094
1.19,13.88032761113734,5.849
8.842,62.58168529415514,42.142
3.779,7.293418564495048,5.363
5.177,34.66988195143511,25.764
96.608,2418.3111405004884,5568.179
5.663,40.15928994764552,19.715
0.641,30.0411540426087,11.636
13.608,48.034981660362575,28.08
0.926,60.72822680129974,7.428
0.892,-4.847300159043138,22.016
1.723,22.672369149038172,20.328
1.405,6.267866388822606,8.536
11.855,295.92502356164385,190.751
10.952,95.35056324550172,41.017
10.139,-23.69156761258352,78.588
8.701,75.74964781993395,32.585
-3.827,17.378071155221395,-14.167
4.259,59.438278929423205,12.578
3.856,-92.0013510901034,11.026
2.467,36.470527451820125,6.144
,,
3.71,40.82153570812188,15.733
4.734,24.10767783896194,15.851
2.383,30.103360747081712,9.08
2.3,29.04963486381323,8.763
6.254,65.37417430496704,19.239
0.19,20.367909747090724,12.889
2.684,,
9.669,41.24521578621046,43.543
,,
0.212,-26.087608693070802,6.514
1.444,7.518093715568311,4.048
13.545,48.02038920431759,14.627
25.894,-28.444267707785613,28.529
6.022,-55.79110186084391,15.27
1.787,4.234425695040175,7.343
3.039,-89.09695363889219,11.557
1.65,18.416200864425914,9.164
0.224,1.1439083472307898,0.751
1.8,,5.294
5.792,19.08611779534028,15.365
4.595,42.76261907137571,20.496
0.079,1.8897263534064728,0.709
3.005,29.623510711477813,16.573
2.696,8.883314798893702,7.152
4.092,38.44642184805206,20.046
0.269,7.2491038995323125,2.767
0.317,16.966337687929386,3.824
,,
2.051,25.86622601677924,11.145
2.053,19.104661907007568,9.157
5.436,34.37028839574286,19.636
0.902,3.480048904495524,7.31
0.859,3.3119819140919367,6.957
14.506,,-191.609
-1.467,7.700954542084124,-8.66
3.749,27.53228777036332,14.176
1.248,-57.29909575362881,10.717
4.196,88.6902497461005,17.517
1.745,18.01396801543868,8.394
3.468,27.158425543310237,16.561
18.08,54.63503826885876,38.767
3.616,6.978151458755194,5.131
0.25,3.461067303178042,1.343
2.024,18.661552696233496,8.168
3.138,534.70103225966,5.188
6.12,34.87605451858789,9.607
2.487,51.48583366408612,19.363
1.576,,
3.876,-20.904551497703086,10.057
,,
2.905,495.02389692735704,4.803
-0.246,-2.0077989917626944,-0.914
-3.942,,
6.221,30.813227393361693,18.073
7.365,74.51295927575107,34.309
2.637,,19.327
2.943,18.84945774414044,15.81
5.626,57.15016804331353,17.75
0.854,21.29922504533606,5.945
8.43,39.014405726312425,22.044
1.693,12.863944686443913,9.073
2.973,25.93083324677505,11.597
8.675,42.43751792161055,32.39
1.707,,6.885
3.014,43.0983597419585,16.506
7.605,,18.01
0.294,,0.804
12.98,40.83808048051127,19.47
4.774,31.145763320743352,17.978
0.159,,0.64
5.801,34.54231515295474,18.07
1.782,18.400749535549107,8.574
4.873,32.392438131276634,19.902
7.94,,27.264
5.92,35.24742310061173,18.439
-0.383,-2.9265889085615147,-1.982
6.093,41.181981895508,19.559
2.9,,
0.234,-8.105229217759334,1.473
45.631,186.55845601003776,592.358
0.471,22.88114440398743,15.082
3.741,-35.94655696887686,15.553
4.082,34.063383289188444,10.815
4.13,31.061313677720236,14.182
-0.143,-2.0854701073227075,-5.235
2.172,,
7.496,16.915329865299043,17.22
0.23,-7.95923786935489,1.446
1.55,3.257894379088539,7.474
8.97,19.667227245662087,39.457
2.269,,
1.082,425.8788926905132,7.137
5.879,,
1.8,,5.294
0.264,-4.7676147845482655,17.107
8.763,-32.3067920878906,16.238
1.77,3.880057719510925,7.784
5.59,,
13.909,,
1.371,18.993871581125788,17.821
0.153,2.2565115805156513,0.987
-0.702,,-2.618
5.838,,
8.169,49.853455395858326,36.342
65.924,-48.405768169303634,-28.606
1.599,25.769074112543674,8.661
1.539,,5.749
9.549,,
0.428,14.211588085218413,3.856
2.696,56.273118500421134,15.07
3.831,31.827150472937827,7.866
6.678,167.17710407547295,384.926
5.218,67.2856291922165,23.405
0.103,,1.62
1.934,7.588456864384445,11.054
5.872,-20.171604402079083,14.444
0.67,10.36794922081996,4.159
2.918,,11.709
1.744,27.977565224457038,16.489
-0.516,-33.97583834151465,-6.648
5.109,-49.65631434878587,13.783
11.937,27.491279198838754,19.582
5.574,32.83347911483415,11.49
5.285,36.465431970047874,21.371
5.595,32.9551032838198,11.532
7.534,-20.922435985216296,15.535
7.012,-49.721548337783936,21.074
0.152,2.252678210949555,0.985
5.275,-37.0042306624811,8.549
2.149,33.540996401624405,10.725
4.513,-5.444839833974314,-26.31
0.589,-162.03837300680271,7.6
2.657,,
3.846,19.81938684637463,9.914
7.564,42.404361719895334,24.672
2.886,77.11959812926926,29.862
2.39,,4.715
1.0,,1.997
1.849,85.4859519787061,20.42
5.845,25.52403512457273,18.532
0.598,-164.3491671655329,7.709
2.833,75.7282557925555,29.323
-0.062,-0.44717301056531567,-1.144
2.023,25.23904300035274,-166.173
,,
4.996,-114.91792477083852,19.318
0.113,1.2094975253806257,1.282
1.84,85.0675767121844,20.32
0.752,56.724259747872196,2.982
0.114,1.2211144328043946,1.294
0.414,5.8509168841786865,2.436
4.856,14.236249906941454,10.687
5.288,-27.120807452282904,11.387
9.085,30.710387342709247,43.89
4.69,41.13312589171183,19.383
16.611,35.216538578237966,23.704
2.154,30.40802953764846,12.662
1.892,15.077782955669068,13.981
10.71,30.64512664505375,31.01
1.565,46.083487188229036,13.753
11.102,24.053587738591457,18.196
1.155,19.50172512268244,19.354
2.741,29.420537775918582,11.471
2.049,51.42779249014618,12.227
1.766,11.133022154068891,8.169
5.788,51.86260868299074,28.863
6.003,,
3.731,-42.73848318566309,11.411
1.63,10.278186340164456,7.542
5.83,52.239017518690005,29.072
6.542,58.62057577265418,32.624
0.628,12.847630329352398,7.282
1.474,1550.9642581295125,6.53
4.167,42.77935213050926,89.31
5.117,-22.81042175103623,13.939
0.072,0.35079388088981717,0.479
1.008,25.345474764805754,13.987
4.231,,
3.819,,
1.469,32.48612662674916,7.159
0.292,1.4128853624999382,1.93
10.829,46.83030892705846,54.421
3.116,57.90920083081294,22.256
34.618,210.32591351679267,83.881
4.735,28.986960980268965,17.531
3.361,32.881936823485056,15.36
4.603,,
4.155,-129.18578163052786,12.058
4.203,,
3.191,29.719438538513135,15.17
0.105,,1.642
2.638,42.587945421462265,16.684
9.824,87.51896849663056,465.884
7.907,38.00972904812711,-493.823
2.654,17.228657839405294,7.487
2.04,15.83789646057766,9.737
0.053,,0.316
-0.322,-21.190019733347356,-4.146
0.163,,1.113
4.709,13.803655709253952,10.362
3.867,15.057838255018963,6.829
2.244,20.389616068354137,8.104
0.169,,1.158
14.178,-365.21961969327134,21.546
5.531,23.786437705958825,78.856
10.38,38.23053850088109,32.773
1.693,25.408009441304344,14.723
2.167,28.25352040420732,13.449
3.093,,
,,
1.569,15.823300767176868,9.337
1.758,-44.08281403421465,8.16
1.775,-44.5219112842928,8.241
1.638,34.5241612657602,12.08
4.057,29.474795141362485,18.397
-10.411,,
10.052,210.52980839338053,49.85
-10.389,,
2.157,28.177945747062118,15.954
0.539,5.440207908836202,3.21
,,
3.093,27.063457277929825,7.993
4.309,51.28388264502267,-754.233
,,
1.151,8.115343357887847,2.639
1.114,16.12583805112782,9.08
3.029,11.774194729210144,8.255
4.347,50.79620498261336,18.296
3.231,12.489834034826513,40.428
1.098,15.883171609022556,8.944
5.793,,
6.828,23.462825854416415,12.964
1.504,8.710435700765835,4.398
1.507,8.723725444516946,4.405
10.807,141.95897801669977,-81.01
4.575,-32.788841238119524,13.141
3.001,7.900415252007357,14.323
0.833,16.954098428917014,11.338
4.585,22.527144737195165,10.034
2.089,18.52744567134076,10.982
18.055,64.90414353686599,1137.001
0.344,,-7.097
4.971,-30.465492637835187,13.95
0.418,9.85081412820905,7.768
1.592,-132.47323126385612,625.186
4.644,24.392410057239033,14.371
0.226,2.6350297629833905,1.11
2.14,22.194779036961066,7.87
3.25,18.437111553357923,13.025
0.761,57.42659766054564,3.019
1.261,28.802452200357035,13.865
1.802,-21.70742777650513,3.748
5.784,34.334217094224805,20.808
2.819,50.495232820157455,27.841
4.058,30.441274319605693,13.934
11.485,-35.459216753134,
-7.26,,
1.552,12.48736123136836,8.675
-7.26,,
7.976,-46.003472652744065,15.218
0.352,65.55420099759228,2.127
3.697,,
2.053,55.704752121142945,23.629
-0.641,,
3.546,12.455410237712192,8.277
18.43,42.88573646436863,24.825
95.647,222.5662475169041,128.834
3.691,-53.81095970450924,10.195
3.589,21.742457148717282,10.861
3.851,,27.698
5.077,-15.782988090972973,11.935
2.547,28.992151363708864,13.024
2.333,989.660872819788,17.187
3.332,27.413258923249654,14.866
4.905,16.04805275399361,132.185
2.422,10.657172692942302,7.514
149.006,,
151.555,,
149.275,,
0.513,18.56558181189902,8.117
26.956,-1034.3669702346363,32.725
1.618,17.87664808931862,8.078
7.097,26.725908717648075,20.011
1.913,19.841097681998676,7.036
4.837,18.75627251074646,19.722
0.883,5.052491300957413,2.804
149.138,,
1.268,14.012580377163143,6.332
148.993,,
4.095,45.70721589120132,19.272
38.303,-215.19198511536706,-102.306
1.349,7.177319726368077,8.69
151.306,,
3.291,20.987910363583264,11.797
2.282,968.1596806784453,16.813
1.021,,
6.134,-81.1444295712416,14.251
7.293,,
0.484,11.50167601028537,3.483
0.017,,-0.349
0.464,2.428910266364803,1.09
7.519,77.06641579399141,-472.539
7.877,80.72649064377683,-494.981
3.082,24.816977856886556,6.903
3.124,25.157836708795656,6.997
,456.42714645492634,-24.929
151.245,,
151.257,,
6.498,20.882201657453457,14.329
3.409,53.59746147575749,17.939
5.686,56.64784501020683,27.658
148.649,,
3.428,53.89784833744392,18.039
3.005,24.838651078399433,13.223
10563.555,,
40.701,-1426.2831409974826,296.605
1.363,49.646024178572006,18.203
1.053,112.64213827232096,13.176
150.977,,
2.272,37.67729398548279,10.826
1.384,11.437913375662426,6.089
4.704,46.6640855723517,23.779
10.156,27.307178417729475,18.506
151.058,,
-2.087,-171.87451988603988,-5.143
13.608,76.70407452278695,-128.773
0.289,1.2908434557011867,1.758
2.814,-12.537519349168555,11.003
3.322,48.642489140478666,22.736
4.17,31.299652295982728,18.248
2.984,16.7684305115199,14.49
1.267,-40.058194218496844,12.044
13.679,-60.94051500105571,53.483
-2.627,,
0.784,25.384361553645938,10.903
3.171,35.63664572513393,13.518
4.377,32.850908169041254,19.153
0.376,-3.684003671579583,1.897
0.783,-7.684514467622126,3.956
1.837,24.79128896393711,20.458
1.017,11.348659398439713,2.708
8.398,,
5.718,43.3999886703977,25.279
5.177,40.6635818746501,75.885
7.514,43.37270701081391,84.146
12.623,25.654975088352053,19.804
0.654,-5.266082660493276,4.554
1.104,14.420733662719257,5.537
2.48,14.66796162356789,7.841
-0.141,0.7045854099019342,-0.21
150.711,,
5.612,19.788288425746824,19.895
0.814,149.78227230006516,4.812
,,
150.639,,
15.812,87.01449463839886,539.056
1.572,283.13541720867835,11.155
3.519,17.038446137234093,5.329
0.765,54.21005449285594,10.51
,,
2.423,55.272148124156544,18.058
0.403,6.762636371759374,2.588
2.115,48.24240608906882,15.762
1.702,18.206165145612403,16.113
0.786,1.5533615627265027,8.773
1.516,3.921890314140763,4.587
1.484,3.8392763675304,4.49
-5.838,,
1.139,10.520627602527986,10.178
5.917,84.26762777002646,22.185
0.587,28.70284567910777,13.739
6.057,39.97490942231253,25.558
2.065,-49.64557597205053,20.734
7.126,35.599544350552954,-97.57
2.512,29.522467330046446,15.09
6.202,40.59726041264361,17.898
0.133,7.328354683288637,0.32
4.556,25.196518455325695,17.645
1.927,43.957464960863696,14.362
2.279,72.69655713923403,21.861
,,
0.265,48.814244064565315,1.568
6.762,-21.424135828746177,15.457
3.281,28.12509049262591,16.115
2.036,7.099942334337611,13.0
9.937,22.39830113795773,17.628
3.152,21.243483330627363,13.624
3.964,45.008975157256536,33.026
4.982,39.82726557883204,15.258
0.808,-45.146724713279156,8.751
3.298,25.589892130481505,12.357
0.588,,2.772
5.363,-114.41791071117562,11.804
0.445,-20.90597755099748,12.081
1.52,32.26833028834546,10.058
1.398,43.762116060623526,83.464
5.936,23.06070824052385,15.444
2.198,70.11003398860004,21.083
16.435,70.19106066536203,-33.391
0.237,,2.793
9.116,26.8595127971647,36.533
2.992,113.71765856991087,21.151
0.582,,2.741
0.651,-58.80708042105263,10.828
3.637,26.792517839781596,14.858
12.459,36.18574875739293,23.588
-1.472,-3.6268307510915423,-2.233
12.719,46.048167745724236,45.569
1.19,15.105611243900501,7.517
0.282,4.111340251620089,2.415
3.156,15.055473897157292,12.331
0.226,2.6372614438984994,1.111
1.281,11.001021822482901,7.006
2453.934,-20.480380073565442,-56.005
5.972,50.64782034288202,24.72
3.013,25.552409550320277,12.471
1.088,27.81642005242484,14.694
1.386,24.181676805580032,13.288
0.519,5.124733971042835,1.698
10.238,116.99414814438519,112.731
2.532,44.68749629468495,16.8
,,
0.143,2.819780386512043,0.461
1.503,39.87863386751418,13.713
4.779,-14.156780394912607,17.794
16.412,56.38096752094802,145.788
-0.006,,-0.045
62.643,,-40.208
4.246,27.243098824732936,15.174
5.281,17.426365890023025,137.465
3.953,152.0624875600449,24.474
9.738,30.70521146156126,
3.272,19.181196682025945,17.329
5.075,33.69609780424231,17.85
1.507,35.15937973662241,7.195
0.396,75.05613444942848,15.473
0.226,2.6340682072876573,1.11
0.659,2.4250767696112074,3.854
2.737,19.52601824306121,10.894
2.1,-1689.6892017777777,6.534
0.186,3.6837663717557096,0.603
3.003,18.901677310054772,50.326
9.013,31.839123447805505,-187.76
1.001,,
0.434,12.903567854366562,6.939
2.197,-1767.9132030707071,6.837
0.961,0.1744543683951803,2.466
4.417,44.24321666833037,21.883
1.547,0.2807701892220165,3.97
8.377,,
2.395,26.612152307655762,12.237
7.964,53.55368570949118,25.135
5.741,75.75093326945579,39.744
-0.272,,-1.123
2.365,168.9357710412486,15.539
