Rev/Sh,FCF/Sh,Cash/Sh,BV/Sh
140.609,23.399802347634964,3.801,55.618
10.861,1.7525277194740034,73.21,18.84
23.155,7.120349154121571,4.882,15.841
148.908,12.268528707374484,9.369,-20.321
,,,25.2
3.308,,28.075,6.628
81.594,3.6513863289564483,33.293,32.205
3.308,,28.075,6.628
16.943,6.772498407208519,3.526,3.445
3.912,0.23589581448495547,2.744,6.617
20.21,3.8788349686941848,2.353,9.392
82.93,4.98200013379322,11.622,52.941
82.93,4.98200013379322,11.622,52.941
61.842,7.2009706191346075,16.817,25.351
10.105,1.9394212017017403,2.353,9.392
57.464,,95.378,165.045
94.125,-3.6325317805511306,17.425,24.806
66.063,5.929232242486514,1.5,47.793
40.54,8.416801187103736,1.821,27.416
15.559,1.471953479175521,2.643,9.441
162.983,12.679218994288782,25.419,93.0
,,,5.063
30.394,1.0900207852888695,9.66,45.351
2.3274,4.244693761822278,2.23,20.597
35.303,4.262160289738497,8.789,24.441
2143.374,,355.661,1271.108
24.104,,44.981,28.819
2143.374,,355.661,1271.108
35.622,,372.437,71.064
11.637,4.244693761822278,2.23,20.597
14.769,,173.19,28.17
23.505,,119.286,51.082
14.334,3.4942906589792364,5.049,7.773
36.902,7.203479557661715,12.619,57.521
32.758,0.9708751301024254,2.624,26.19
47.525,3.4363202966520325,2.848,42.511
50.506,8.680590639895701,19.277,15.268
18.451,3.6017397788308574,12.619,57.521
20.95,6.761165997646338,7.052,69.286
13.919,,4.337,11.689
29.333,5.873107662012534,3.775,41.314
4.898611,5.873107662012534,3.775,41.314
18.263,1.7782899952511726,2.8,7.709
4.56575,1.7782899952511726,2.8,7.709
581.114,,275.791,461.866
475.291,-75.38355055683328,78.564,112.688
33.091,11.777846816947545,5.748,35.844
48.482,5.810427099833725,4.276,52.502
26.663,,6.997,37.462
91.379,20.86273223149264,34.06,35.543
11.97,4.19402443177043,0.766,-1.937
31.187,3.131365657315282,6.196,8.952
14.626,3.089955739518637,6.593,53.976
143.085,32.150606522385075,16.797,174.07
40.357,10.477358639026393,91.93,63.912
5.454,,22.567,9.86
5.454,,22.567,9.86
860.4,,26470.443,3753.056
33.14,1.6831459603056025,15.874,16.323
516.24,,26470.443,3753.056
12.923,,247.608,10.932
28.376,-1.927995087555605,11.702,20.901
29.583,0.9177899170624836,0.56,26.882
305.2,16.369156914112416,5.538,22.991
25.82,-0.9970000492195787,1.149,30.92
52.437,8.83500353115389,3.411,32.068
16.795,5.258727949672616,18.512,13.855
12.254,-1.9009881822397174,4.845,22.363
16.893,6.945257487358439,1.752,49.727
44.388,11.367890967533464,24.895,67.015
32.321,1.454550429712665,3.964,-6.781
9.615,5.427251557549474,1.149,56.748
164.836,6.209988425616516,24.476,113.667
25.381,,,6.701
33.091,3.486876703384607,5.748,35.844
23.488,7.950492379043352,6.683,8.568
17.89,8.109007980176493,5.824,77.128
33.091,3.486876703384607,5.748,35.844
21.942,9.524886344718771,4.434,7.93
79.045,11.255385402053205,6.319,43.041
39.804,-2.0757140417476827,0.442,64.162
3.6473,0.5845151967145016,28.52,37.587
52.034,-4.642561074865257,9.161,28.411
36.473,5.845151687023473,28.52,37.587
1.944,15.867577205141913,0.177,168.983
2.668,1.562509650922656,0.298,5.251
18.718,5.557971804204003,11.013,18.373
292.286,23.90659534859868,4.445,-18.607
4.036,,21.673,9.088
92.387,10.577376821252434,3.479,35.178
154.716,23.30906666249276,3.671,107.563
29.583,1.1605553438787712,0.56,26.882
59.577,3.600464171964782,1.092,22.854
40.482,11.620548124351803,12.768,22.017
4120.9,155.2497971047317,24.476,113.667
92.486,7.145263599933057,1.103,17.717
304.54,4.596004290315666,11.175,61.073
5.148,1.0577469700951265,0.115,1.19
17.4285,3.6116639796787666,2.257,3.786
64.239,9.00404235204029,2.706,33.756
1.287,1.0577469700951265,0.115,1.19
11.619,0.6019455304682602,2.257,3.786
2992.629,42.500441471571904,19.44,-15.736
19.861,1.525240526948507,0.234,-1.448
25.624,3.8632910724969034,0.655,11.626
137.947,5.559216575642134,11.344,-4.428
7.103,,52.002,-6.813
279.221,17.279459976144654,13.263,107.98
185.34,12.978497937968585,5.67,87.792
16.39,,39.846,35.024
3.312,,37.675,21.067
38.892,3.197044518511037,8.245,19.873
1543.31,,47893.52,4217.532
34.449,47.829776447056965,46.004,46.913
59.178,18.973891776167125,21.622,30.342
45.233,-6.277809713225024,7.912,8.054
34.449,9.565955869534351,46.004,46.913
171.017,,3402.823,376.888
28.174,2.7241200500465723,1.162,20.247
42.005,,570.023,116.394
77.323,14.52508212700331,5.7,36.361
15.512,2.718332552267173,0.894,3.655
308.662,,47893.52,4217.532
961.023,16.739065156146975,19.264,150.84
55.483,7.506302462936693,4.903,23.458
,,,170.017
6.03,1.3581238780109341,3.79,0.51
16.254,3.025097131496734,1.613,27.993
7.756,1.3591697294319816,0.894,3.655
147.676,28.966127669240446,49.902,-88.848
48.292,3.841817802356259,55.781,89.794
41.448,,352.684,61.587
18.587,7.884601920387807,18.548,12.695
26.572,1.8060759231609769,29.343,47.166
66.445,12.1995868526566,19.243,11.813
18.24,8.342437070019592,6.057,29.166
42.901,,48.735,31.333
53.367,,28.125,131.614
14.757,4.138814902824982,4.938,11.821
37.476,8.045540893475483,1.838,46.351
53.689,7.982847560891938,2.703,11.012
18.24,8.342437070019592,6.057,29.166
92.169,22.970653151312025,37.399,143.913
